,incident_name,incident_is_final,incident_date_last_update,incident_date_created,incident_administrative_unit,incident_administrative_unit_url,incident_county,incident_location,incident_acres_burned,incident_containment,incident_control,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_type,incident_id,incident_url,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired
1,Pala Fire,True,2020-09-16 14:07:35,2009-05-24 14:56:00,CAL FIRE San Diego Unit,,San Diego,"Hwy 76 and Pala Temecula, northwest of Pala",122,100,,CAL FIRE San Diego Unit,1.0,1.0,Wildfire,8f61f461-552d-4538-b186-35ab030da416,https://www.fire.ca.gov/incidents/2009/5/24/pala-fire/,2009-05-25 00:00:00,2009-05-25,20090524,N,True,False
188,Sand Fire,True,2019-11-12 10:27:44,2014-07-25 16:34:00,CAL FIRE Amador-El Dorado Unit,,"Amador, El Dorado","East of Highway 49, 5 miles north of Plymouth",4240,100,,"CAL FIRE Amador-El Dorado Unit, CHP, El Dorado Co SO, Amador SO, Cal OES, CDCR, El Dorado Co Animal Control, USFS, BLM, El Dorado Co DOT, CCC, Red Cross, PG&E, Cal Trans",-120.7819,38.5691,Wildfire,4d07ccc3-32be-4a1d-acac-18333884c97d,https://www.fire.ca.gov/incidents/2014/7/25/sand-fire/,2014-08-02 19:15:00,2014-08-02,20140725,N,True,False
840,Atlas Fire (Southern LNU Complex),True,2019-10-25 08:47:30,2017-10-08 21:52:00,CAL FIRE Sonoma-Lake-Napa Unit,,"Napa, Solano","Off of Altas Peak Rd, south of Lake Berryessa",51624,100,,"CAL FIRE Sonoma-Lake-Napa Unit, CHP, Napa County	OES, Sonoma	County OES, Solano County OES, California State Parks, PG&E	and	CDCR.",-122.24367,38.39206,Wildfire,676946dc-1b38-4a09-9bbe-9ce638cfed52,https://www.fire.ca.gov/incidents/2017/10/8/atlas-fire-southern-lnu-complex/,2018-02-09 09:37:00,2018-02-09,20171008,N,True,False
841,Tubbs Fire (Central LNU Complex),True,2019-10-25 08:50:05,2017-10-08 21:45:00,CAL FIRE Sonoma-Lake-Napa Unit,,"Napa, Sonoma","off of Hwy 128 and Bennett Ln, Calistoga",36807,100,,CAL FIRE Sonoma-Lake-Napa Unit,-122.62879,38.60895,Wildfire,82c2aafa-ef04-49f0-a172-0dfa8a15582e,https://www.fire.ca.gov/incidents/2017/10/8/tubbs-fire-central-lnu-complex/,2018-02-09 09:27:00,2018-02-09,20171008,N,True,False
842,Nuns / Adobe / Norrbom/ Pressley / Partrick Fires / Oakmont (Central LNU Complex),True,2019-10-25 08:54:34,2017-10-08 22:00:00,CAL FIRE Sonoma-Lake-Napa Unit,,"Napa, Sonoma","Hwy 12, north of Glen Ellen",56556,100,,CAL FIRE Sonoma-Lake-Napa Unit,-122.5209,38.4041,Wildfire,be79d28c-767d-4a0d-b168-e86a5842004f,https://www.fire.ca.gov/incidents/2017/10/8/nuns-adobe-norrbom-pressley-partrick-fires-oakmont-central-lnu-complex/,2018-02-09 09:30:00,2018-02-09,20171008,N,True,False
845,Cascade Fire (Wind Complex),True,2019-10-25 08:43:59,2017-10-08 23:03:00,CAL FIRE Nevada-Yuba-Placer Unit,,Yuba,"Cascade Way and Marysville Rd, north of Collins Lake ",9989,100,,"CAL FIRE Nevada-Yuba-Placer Unit, Nevada County Sheriff’s Office, Butte County Sheriff’s Office, Yuba County Sheriff’s Office, Cal OES, Red Cross, California Highway Patrol, United States Forest Service, California Department of Corrections and Rehabilitation, PG & E, California Department of Transportation, Nevada Irrigation District, California Conservation Corps.",-121.4021,39.321979999999996,Wildfire,608ed849-d1ec-4b0d-a477-d1b8e9c7e6dd,https://www.fire.ca.gov/incidents/2017/10/8/cascade-fire-wind-complex/,2018-02-09 09:39:00,2018-02-09,20171008,N,True,False
847,Redwood Valley Fire (Mendocino Lake Complex),True,2019-10-25 08:48:34,2017-10-08 23:36:00,CAL FIRE Mendocinio Unit,,Mendocino,"North of Hwy 20, west of Mendocino National Forest, south of Black Bart",36523,100,,"CAL FIRE Mendocinio Unit, Mendocino County, CALTRANS, California Dept. of Corrections and Rehabilitation, American Red Cross, PG&E, National Weather Service, and California Conservations Corps.",-123.16635,39.24873,Wildfire,c229ea5c-2ebd-4f80-892e-fc5da8a1eeea,https://www.fire.ca.gov/incidents/2017/10/8/redwood-valley-fire-mendocino-lake-complex/,2018-02-09 08:56:00,2018-02-09,20171008,N,True,False
853,Lobo Fire (Wind Complex),True,2019-10-25 14:25:47,2017-10-09 00:01:00,CAL FIRE Nevada-Yuba-Placer Unit,,Nevada,"near Lone Lobo Trail, Rough and Ready",821,100,,"CAL FIRE Nevada-Yuba-Placer Unit, Nevada County Sheriff’s Office, Butte County Sheriff’s Office, Yuba County Sheriff’s Office, Cal OES, Red Cross, California Highway Patrol, California Department of Corrections and Rehabilitation, PG & E, California Department of Transportation and Nevada Irrigation District.",-121.12791999999999,39.245490000000004,Wildfire,29c37ab7-3af9-458f-b6d3-72023a8c1046,https://www.fire.ca.gov/incidents/2017/10/9/lobo-fire-wind-complex/,2018-02-09 09:51:00,2018-02-09,20171009,N,True,False
884,Thomas Fire,True,2020-04-27 13:46:23,2017-12-04 18:28:00,US Forest Service - Los Padres National Forest ,,"Santa Barbara, Ventura","Hwy 150 and Hwy 126, north of Santa Paula ",281893,100,,"US Forest Service - Los Padres National Forest , CAL FIRE, Ventura County Fire, Ventura County Sheriff, Santa Barbara County Fire, Santa Barbara County Sheriff, City of Ventura Fire Department, City of Ventura Police Department, USFS/Los Padres National Forest, CAL OES, Red Cross, Southern California Edison, CHP, California Dept. of Corrections and Rehabilitation, SoCaGas, Crimson Pipeline, Wildfire Defense Systems, CA Resources Group, Santa Paula Police, Santa Paula Fire, Ventura County OES, Santa Barbara OEM",-119.09123999999998,34.415209999999995,Wildfire,d28bc34e-73a8-454d-9e55-dea7bdd40bee,https://www.fire.ca.gov/incidents/2017/12/4/thomas-fire/,2018-01-12 11:24:00,2018-01-12,20171204,N,True,False
899,Drum Fire,True,2019-07-09 13:53:15,2017-12-16 12:21:00,Santa Barbara County Fire,,Santa Barbara,"off Drum Canyon Rd, south of Los Alamos",14,100,,Santa Barbara County Fire,-120.27077,34.71796,Wildfire,64779f92-8353-4187-ae56-2b83eb66d7ca,https://www.fire.ca.gov/incidents/2017/12/16/drum-fire/,2018-01-09 13:49:00,2018-01-09,20171216,N,True,False
