date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01,14,5,0.0,8.7,3,68,09:18 PM,09:26 AM,06:59 AM,04:55 PM,-4,9,10,9,18,10,39,0.0,1023,14,10,47,10,90003
2013-01-02,17,7,0.0,8.7,4,60,10:16 PM,09:58 AM,06:59 AM,04:56 PM,-2,11,13,11,21,0,38,0.0,1020,17,10,58,11,90003
2013-01-03,19,8,0.0,8.7,4,53,11:17 PM,10:31 AM,06:59 AM,04:57 PM,-1,13,14,13,22,0,37,0.0,1021,19,10,103,12,90003
2013-01-04,17,8,0.0,8.7,4,46,No moonrise,11:05 AM,06:59 AM,04:58 PM,-3,12,13,12,16,1,34,0.0,1023,17,10,112,9,90003
2013-01-05,16,7,0.0,8.7,4,38,12:19 AM,11:43 AM,06:59 AM,04:59 PM,-2,11,12,11,13,10,40,0.0,1024,16,10,149,8,90003
2013-01-06,12,5,0.0,8.7,3,31,01:24 AM,12:24 PM,06:59 AM,04:59 PM,5,9,10,9,10,23,72,0.0,1020,12,10,175,7,90003
2013-01-07,18,6,0.0,8.7,4,24,02:30 AM,01:12 PM,06:59 AM,05:00 PM,-2,10,12,10,26,4,43,0.1,1018,18,10,173,14,90003
2013-01-08,21,10,0.0,8.7,4,17,03:38 AM,02:07 PM,06:59 AM,05:01 PM,2,15,16,15,18,1,42,0.0,1019,21,10,86,10,90003
2013-01-09,18,9,0.0,8.7,4,9,04:42 AM,03:09 PM,06:59 AM,05:02 PM,5,13,13,13,10,45,59,0.0,1018,18,10,158,6,90003
2013-01-10,12,6,0.0,8.7,3,2,05:43 AM,04:15 PM,06:59 AM,05:03 PM,2,8,10,8,22,14,64,0.4,1016,12,10,268,15,90003
2013-01-11,11,3,0.0,8.7,3,0,06:37 AM,05:25 PM,06:59 AM,05:04 PM,-5,4,7,4,24,4,46,0.0,1021,11,10,293,14,90003
2013-01-12,10,2,0.0,8.7,3,0,07:26 AM,06:33 PM,06:59 AM,05:05 PM,-4,5,7,5,21,3,45,0.0,1020,10,10,108,12,90003
2013-01-13,11,3,0.0,8.7,3,5,08:08 AM,07:41 PM,06:59 AM,05:06 PM,-7,4,7,4,24,14,37,0.0,1020,11,10,128,14,90003
2013-01-14,11,2,0.0,8.7,3,12,08:46 AM,08:45 PM,06:58 AM,05:07 PM,-12,4,6,4,27,5,25,0.0,1026,11,10,68,15,90003
2013-01-15,14,4,0.0,8.7,3,20,09:21 AM,09:46 PM,06:58 AM,05:08 PM,-7,8,10,8,19,1,31,0.0,1030,14,10,183,11,90003
2013-01-16,19,7,0.0,8.7,4,27,09:54 AM,10:45 PM,06:58 AM,05:09 PM,-1,11,13,11,26,0,39,0.0,1026,19,10,98,14,90003
2013-01-17,22,10,0.0,8.7,5,34,10:27 AM,11:43 PM,06:58 AM,05:10 PM,1,15,16,15,27,0,38,0.0,1022,22,10,28,15,90003
2013-01-18,23,11,0.0,8.7,5,41,11:02 AM,No moonset,06:57 AM,05:10 PM,1,16,17,16,25,0,35,0.0,1021,23,10,65,14,90003
2013-01-19,23,11,0.0,8.7,5,49,11:38 AM,12:39 AM,06:57 AM,05:11 PM,-1,16,17,16,25,0,30,0.0,1022,23,10,62,13,90003
2013-01-20,23,11,0.0,8.7,5,56,12:16 PM,01:34 AM,06:57 AM,05:12 PM,-3,16,17,16,25,0,26,0.0,1020,23,10,64,13,90003
2013-01-21,24,12,0.0,8.7,5,63,12:57 PM,02:27 AM,06:56 AM,05:13 PM,-2,18,18,18,22,0,26,0.0,1019,24,10,107,12,90003
2013-01-22,24,13,0.0,8.7,5,70,01:43 PM,03:19 AM,06:56 AM,05:14 PM,-2,18,18,18,17,4,27,0.0,1018,24,10,79,9,90003
2013-01-23,23,14,0.0,8.7,5,78,02:32 PM,04:08 AM,06:55 AM,05:15 PM,-1,18,18,18,22,50,31,0.0,1018,23,10,103,13,90003
2013-01-24,17,12,0.0,5.6,4,85,03:24 PM,04:54 AM,06:55 AM,05:16 PM,11,14,14,14,15,65,79,1.5,1020,17,9,115,9,90003
2013-01-25,17,14,0.0,4.0,4,92,04:19 PM,05:37 AM,06:54 AM,05:17 PM,11,15,15,15,16,74,73,2.5,1018,17,9,110,9,90003
2013-01-26,18,12,0.0,7.1,3,100,05:16 PM,06:16 AM,06:54 AM,05:18 PM,11,14,14,14,10,59,82,2.0,1013,18,9,151,7,90003
2013-01-27,12,8,0.0,7.1,3,100,06:13 PM,06:53 AM,06:53 AM,05:19 PM,9,11,12,11,13,50,84,1.7,1016,12,8,156,8,90003
2013-01-28,13,5,0.0,8.7,3,86,07:12 PM,07:28 AM,06:52 AM,05:20 PM,-2,6,9,6,28,11,48,0.0,1020,13,10,165,17,90003
2013-01-29,14,6,0.0,8.7,3,79,08:11 PM,08:01 AM,06:52 AM,05:21 PM,2,9,10,9,14,4,56,0.0,1023,14,10,112,9,90003
2013-01-30,18,7,0.0,8.7,4,71,09:11 PM,08:34 AM,06:51 AM,05:22 PM,5,14,14,14,11,0,54,0.0,1025,18,10,156,8,90003
2013-01-31,22,10,0.0,8.7,4,68,10:12 PM,09:09 AM,06:50 AM,05:23 PM,2,16,17,16,17,0,40,0.0,1022,22,10,176,10,90003
2013-02-01,22,11,0.0,8.7,5,51,11:16 PM,09:45 AM,06:50 AM,05:24 PM,1,17,17,17,13,20,35,0.0,1021,22,10,130,8,90003
2013-02-02,23,14,0.0,8.7,5,44,No moonrise,10:24 AM,06:49 AM,05:25 PM,4,18,18,18,18,54,40,0.0,1022,23,10,120,10,90003
2013-02-03,22,13,0.0,8.7,5,36,12:19 AM,11:08 AM,06:48 AM,05:26 PM,6,17,17,17,17,16,51,0.1,1019,22,10,128,9,90003
2013-02-04,20,10,0.0,8.7,4,29,01:25 AM,11:58 AM,06:47 AM,05:27 PM,5,15,16,15,13,0,52,0.0,1017,20,10,138,8,90003
2013-02-05,14,8,0.0,8.7,4,21,02:28 AM,12:54 PM,06:47 AM,05:28 PM,10,12,12,12,7,31,84,0.1,1016,14,9,182,5,90003
2013-02-06,16,7,0.0,8.7,4,14,03:29 AM,01:57 PM,06:46 AM,05:29 PM,7,13,13,13,7,4,72,0.0,1018,16,8,192,5,90003
2013-02-07,15,6,0.0,8.7,3,6,04:24 AM,03:03 PM,06:45 AM,05:30 PM,6,12,12,12,9,10,68,0.0,1018,15,10,156,6,90003
2013-02-08,10,5,0.0,7.2,3,0,05:14 AM,04:11 PM,06:44 AM,05:31 PM,3,6,8,6,19,27,71,1.2,1014,10,10,234,13,90003
2013-02-09,12,3,0.0,8.7,3,0,05:59 AM,05:18 PM,06:43 AM,05:32 PM,3,7,8,7,12,2,68,0.0,1016,12,10,116,8,90003
2013-02-10,12,5,0.0,8.7,3,0,06:39 AM,06:24 PM,06:42 AM,05:33 PM,5,8,9,8,13,19,75,0.0,1018,12,10,133,9,90003
2013-02-11,14,5,0.0,8.7,3,1,07:16 AM,07:28 PM,06:41 AM,05:34 PM,1,10,11,10,11,4,54,0.1,1021,14,10,171,7,90003
2013-02-12,16,6,0.0,8.7,3,9,07:51 AM,08:29 PM,06:40 AM,05:35 PM,-3,11,12,11,14,1,39,0.0,1025,16,10,168,9,90003
2013-02-13,18,7,0.0,8.7,4,16,08:25 AM,09:29 PM,06:39 AM,05:36 PM,1,13,14,13,13,0,44,0.0,1023,18,10,119,8,90003
2013-02-14,20,8,0.0,8.7,4,24,09:00 AM,10:27 PM,06:38 AM,05:37 PM,4,16,16,16,14,0,47,0.0,1021,20,10,131,8,90003
2013-02-15,24,13,0.0,8.7,5,31,09:36 AM,11:23 PM,06:37 AM,05:38 PM,2,18,18,18,24,25,36,0.0,1022,24,10,73,13,90003
2013-02-16,24,13,0.0,7.2,5,39,10:13 AM,No moonset,06:36 AM,05:39 PM,0,18,18,18,22,22,31,0.0,1019,24,10,124,12,90003
2013-02-17,18,9,0.0,8.7,4,46,10:54 AM,12:18 AM,06:35 AM,05:40 PM,7,14,14,14,13,4,63,0.0,1015,18,9,151,9,90003
2013-02-18,15,8,0.0,8.7,4,54,11:38 AM,01:11 AM,06:34 AM,05:40 PM,8,11,11,11,12,23,82,0.0,1016,15,8,151,8,90003
2013-02-19,11,7,0.0,7.2,3,62,12:25 PM,02:01 AM,06:33 AM,05:41 PM,6,8,9,8,16,45,80,0.2,1011,11,10,188,12,90003
2013-02-20,13,3,0.0,8.7,3,69,01:16 PM,02:48 AM,06:32 AM,05:42 PM,1,6,8,6,28,3,61,1.2,1011,13,10,261,17,90003
2013-02-21,14,5,0.0,8.7,3,77,02:09 PM,03:32 AM,06:31 AM,05:43 PM,0,8,10,8,18,7,52,0.0,1017,14,10,133,10,90003
2013-02-22,16,7,0.0,8.7,4,84,03:05 PM,04:12 AM,06:29 AM,05:44 PM,2,11,12,11,16,4,50,0.0,1021,16,10,160,10,90003
2013-02-23,16,7,0.0,8.7,4,92,04:03 PM,04:50 AM,06:28 AM,05:45 PM,3,12,13,12,12,1,54,0.0,1018,16,10,142,8,90003
2013-02-24,17,7,0.0,8.7,4,99,05:01 PM,05:27 AM,06:27 AM,05:46 PM,-4,11,12,11,25,3,34,0.0,1020,17,10,96,14,90003
2013-02-25,18,8,0.0,8.7,4,100,06:01 PM,06:01 AM,06:26 AM,05:47 PM,-3,12,13,12,17,5,37,0.0,1021,18,10,154,10,90003
2013-02-26,20,7,0.0,8.7,4,86,07:02 PM,06:35 AM,06:25 AM,05:47 PM,-1,13,13,13,17,6,38,0.0,1018,20,10,142,9,90003
2013-02-27,21,11,0.0,8.7,5,78,08:05 PM,07:10 AM,06:24 AM,05:48 PM,-1,16,16,16,22,0,31,0.0,1023,21,10,99,12,90003
2013-02-28,23,12,0.0,8.7,5,71,09:08 PM,07:46 AM,06:22 AM,05:49 PM,-2,17,17,17,21,0,26,0.0,1026,23,10,134,11,90003
2013-03-01,26,15,0.0,8.7,5,68,10:13 PM,08:25 AM,06:21 AM,05:50 PM,-1,20,20,20,21,0,25,0.0,1025,26,10,129,11,90003
2013-03-02,26,14,0.0,8.7,5,61,11:18 PM,09:08 AM,06:20 AM,05:51 PM,1,19,19,19,17,11,31,0.0,1021,26,10,155,10,90003
2013-03-03,19,11,0.0,8.7,4,53,No moonrise,09:56 AM,06:19 AM,05:52 PM,7,15,14,15,8,18,63,0.0,1017,19,10,210,6,90003
2013-03-04,18,9,0.0,8.7,4,46,12:21 AM,10:50 AM,06:17 AM,05:52 PM,10,14,14,14,10,5,78,0.0,1018,18,10,152,7,90003
2013-03-05,16,9,0.0,8.7,4,39,01:21 AM,11:49 AM,06:16 AM,05:53 PM,9,12,13,12,9,22,81,0.0,1018,16,8,187,7,90003
2013-03-06,15,9,0.0,8.7,4,32,02:17 AM,12:51 PM,06:15 AM,05:54 PM,7,11,12,11,10,31,77,0.2,1019,15,9,249,8,90003
2013-03-07,14,8,0.0,7.2,4,24,03:08 AM,01:57 PM,06:14 AM,05:55 PM,6,11,11,11,10,54,73,0.1,1015,14,10,155,7,90003
2013-03-08,12,8,0.0,8.7,3,17,03:53 AM,03:02 PM,06:12 AM,05:56 PM,5,9,10,9,14,40,73,0.1,1012,12,10,240,10,90003
2013-03-09,16,8,0.0,8.7,4,10,04:33 AM,04:07 PM,06:11 AM,05:57 PM,5,12,13,12,10,6,64,0.0,1020,16,10,238,7,90003
2013-03-10,21,8,0.0,8.7,4,3,05:11 AM,05:11 PM,06:10 AM,05:57 PM,1,14,15,14,18,0,41,0.0,1024,21,10,134,10,90003
2013-03-11,23,11,0.0,8.7,4,0,05:47 AM,06:12 PM,06:08 AM,05:58 PM,1,17,17,17,14,0,36,0.0,1020,23,10,151,9,90003
2013-03-12,24,10,0.0,8.7,5,0,06:21 AM,07:13 PM,06:07 AM,05:59 PM,6,18,18,18,11,4,46,0.0,1018,24,10,159,7,90003
2013-03-13,27,13,0.0,11.6,5,5,06:56 AM,08:12 PM,06:06 AM,06:00 PM,8,21,21,21,13,0,45,0.0,1019,27,10,209,8,90003
