date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01,13,0,0.0,8.7,2,68,09:20 PM,09:30 AM,07:05 AM,04:55 PM,-5,3,5,3,12,4,53,0.0,1024,13,10,90,6,Bakersfield
2013-01-02,13,1,0.0,8.7,3,60,10:20 PM,10:01 AM,07:05 AM,04:56 PM,-5,5,6,5,12,0,49,0.0,1022,13,10,160,6,Bakersfield
2013-01-03,15,1,0.0,8.7,3,53,11:21 PM,10:33 AM,07:06 AM,04:56 PM,-4,5,6,5,8,0,54,0.0,1022,15,10,110,5,Bakersfield
2013-01-04,15,3,0.0,8.7,3,46,No moonrise,11:07 AM,07:06 AM,04:57 PM,-4,6,7,6,11,2,48,0.0,1023,15,10,148,6,Bakersfield
2013-01-05,18,5,0.0,8.7,4,38,12:24 AM,11:44 AM,07:06 AM,04:58 PM,-7,9,10,9,15,8,29,0.0,1023,18,10,107,8,Bakersfield
2013-01-06,11,2,0.0,7.0,3,31,01:29 AM,12:25 PM,07:06 AM,04:59 PM,1,6,6,6,8,46,71,0.5,1020,11,8,236,5,Bakersfield
2013-01-07,9,0,0.0,8.7,2,24,02:36 AM,01:12 PM,07:06 AM,05:00 PM,1,3,4,3,9,19,79,0.1,1021,9,10,242,6,Bakersfield
2013-01-08,14,1,0.0,8.7,3,17,03:44 AM,02:07 PM,07:06 AM,05:01 PM,2,6,7,6,9,3,72,0.0,1021,14,10,207,5,Bakersfield
2013-01-09,22,7,0.0,8.7,4,9,04:49 AM,03:08 PM,07:06 AM,05:02 PM,2,12,13,12,14,22,51,0.0,1018,22,10,168,8,Bakersfield
2013-01-10,7,-2,0.0,8.7,2,2,05:50 AM,04:15 PM,07:05 AM,05:03 PM,-1,2,3,2,11,40,75,0.3,1017,7,10,266,7,Bakersfield
2013-01-11,3,-3,0.0,7.0,2,0,06:43 AM,05:25 PM,07:05 AM,05:03 PM,-6,-3,-1,-3,9,19,72,0.0,1022,3,10,193,6,Bakersfield
2013-01-12,6,-4,0.0,8.7,2,0,07:31 AM,06:34 PM,07:05 AM,05:04 PM,-7,-2,-1,-2,9,7,64,0.0,1022,6,10,208,5,Bakersfield
2013-01-13,7,-5,0.0,8.7,2,5,08:12 AM,07:43 PM,07:05 AM,05:05 PM,-8,-2,-0,-2,10,10,62,0.0,1022,7,10,158,6,Bakersfield
2013-01-14,7,-3,0.0,8.7,2,12,08:50 AM,08:47 PM,07:05 AM,05:06 PM,-13,-1,1,-1,14,6,38,0.0,1027,7,10,132,8,Bakersfield
2013-01-15,12,-0,0.0,8.7,2,20,09:24 AM,09:50 PM,07:04 AM,05:07 PM,-11,3,5,3,11,1,34,0.0,1030,12,10,116,6,Bakersfield
2013-01-16,18,3,0.0,8.7,3,27,09:57 AM,10:50 PM,07:04 AM,05:08 PM,-4,7,8,7,15,0,44,0.0,1027,18,10,129,8,Bakersfield
2013-01-17,21,5,0.0,8.7,4,34,10:29 AM,11:48 PM,07:04 AM,05:09 PM,-5,10,11,10,20,0,31,0.0,1023,21,10,125,10,Bakersfield
2013-01-18,21,8,0.0,8.7,4,41,11:03 AM,No moonset,07:03 AM,05:10 PM,-7,12,13,12,17,0,26,0.0,1022,21,10,165,9,Bakersfield
2013-01-19,20,7,0.0,8.7,4,49,11:38 AM,12:44 AM,07:03 AM,05:11 PM,-7,11,12,11,15,0,27,0.0,1023,20,10,170,8,Bakersfield
2013-01-20,20,6,0.0,8.7,4,56,12:16 PM,01:40 AM,07:03 AM,05:12 PM,-9,10,11,10,12,0,27,0.0,1022,20,10,163,6,Bakersfield
2013-01-21,21,6,0.0,8.7,4,63,12:57 PM,02:34 AM,07:02 AM,05:13 PM,-5,11,12,11,12,0,34,0.0,1020,21,10,166,6,Bakersfield
2013-01-22,23,9,0.0,8.7,4,70,01:43 PM,03:26 AM,07:02 AM,05:14 PM,-6,14,14,14,19,9,25,0.0,1019,23,10,111,10,Bakersfield
2013-01-23,23,13,0.0,3.8,4,78,02:31 PM,04:14 AM,07:01 AM,05:15 PM,-6,16,16,16,24,65,22,0.0,1018,23,10,122,13,Bakersfield
2013-01-24,20,11,0.0,7.1,4,85,03:24 PM,05:00 AM,07:01 AM,05:17 PM,6,14,15,14,16,43,56,0.5,1020,20,10,117,10,Bakersfield
2013-01-25,17,8,0.0,8.7,4,92,04:19 PM,05:43 AM,07:00 AM,05:18 PM,8,12,12,12,5,43,77,0.7,1019,17,8,214,3,Bakersfield
2013-01-26,15,6,0.0,8.7,4,100,05:17 PM,06:21 AM,06:59 AM,05:19 PM,5,10,10,10,7,17,74,0.0,1014,15,8,242,4,Bakersfield
2013-01-27,9,-0,0.0,8.7,3,100,06:15 PM,06:58 AM,06:59 AM,05:20 PM,-2,4,6,4,13,24,61,0.2,1017,9,9,229,9,Bakersfield
2013-01-28,6,-2,0.0,8.7,2,86,07:14 PM,07:32 AM,06:58 AM,05:21 PM,-4,0,1,0,9,12,68,0.0,1022,6,10,183,6,Bakersfield
2013-01-29,9,-1,0.0,8.7,2,79,08:14 PM,08:05 AM,06:57 AM,05:22 PM,-2,3,3,3,6,4,72,0.0,1024,9,10,213,4,Bakersfield
2013-01-30,17,1,0.0,8.7,3,71,09:15 PM,08:37 AM,06:57 AM,05:23 PM,-0,7,8,7,7,0,62,0.0,1026,17,10,193,4,Bakersfield
2013-01-31,19,3,0.0,8.7,3,68,10:17 PM,09:11 AM,06:56 AM,05:24 PM,-1,9,9,9,7,0,56,0.0,1023,19,10,166,4,Bakersfield
2013-02-01,21,4,0.0,8.7,4,51,11:21 PM,09:46 AM,06:55 AM,05:25 PM,-3,11,12,11,9,17,42,0.0,1022,21,10,134,5,Bakersfield
2013-02-02,21,11,0.0,8.7,4,44,No moonrise,10:24 AM,06:54 AM,05:26 PM,-2,14,15,14,12,46,33,0.0,1023,21,10,158,7,Bakersfield
2013-02-03,17,5,0.0,8.7,4,36,12:25 AM,11:08 AM,06:54 AM,05:27 PM,2,11,11,11,8,10,57,0.1,1020,17,10,222,5,Bakersfield
2013-02-04,17,3,0.0,8.7,3,29,01:31 AM,11:58 AM,06:53 AM,05:28 PM,2,9,9,9,9,3,64,0.0,1019,17,10,279,5,Bakersfield
2013-02-05,19,6,0.0,8.7,4,21,02:34 AM,12:54 PM,06:52 AM,05:29 PM,-2,10,11,10,13,10,46,0.0,1016,19,10,150,8,Bakersfield
2013-02-06,12,1,0.0,8.7,3,14,03:35 AM,01:57 PM,06:51 AM,05:30 PM,-2,5,6,5,9,0,61,0.0,1019,12,10,240,5,Bakersfield
2013-02-07,15,0,0.0,8.7,3,6,04:30 AM,03:03 PM,06:50 AM,05:31 PM,-4,6,7,6,12,5,48,0.0,1018,15,10,138,8,Bakersfield
2013-02-08,8,-1,0.0,8.7,2,0,05:20 AM,04:11 PM,06:49 AM,05:32 PM,-5,1,3,1,11,28,60,0.1,1014,8,10,228,7,Bakersfield
2013-02-09,10,-1,0.0,8.7,2,0,06:04 AM,05:20 PM,06:48 AM,05:33 PM,-4,1,3,1,11,17,60,0.0,1017,10,10,196,6,Bakersfield
2013-02-10,11,-3,0.0,8.7,2,0,06:43 AM,06:26 PM,06:47 AM,05:34 PM,-5,2,3,2,8,7,60,0.0,1018,11,10,141,5,Bakersfield
