date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01,15,8,0.0,8.7,4,68,09:14 PM,09:20 AM,06:50 AM,04:54 PM,1,11,12,11,15,17,51,0.0,1022,15,10,60,9,Chula
2013-01-02,16,8,0.0,8.7,4,60,10:11 PM,09:53 AM,06:51 AM,04:55 PM,-1,13,13,13,16,1,39,0.0,1019,16,10,126,10,Chula
2013-01-03,18,9,0.0,8.7,4,53,11:11 PM,10:26 AM,06:51 AM,04:55 PM,1,15,16,15,13,0,38,0.0,1020,18,10,128,8,Chula
2013-01-04,17,9,0.0,8.7,4,46,No moonrise,11:01 AM,06:51 AM,04:56 PM,-3,14,14,14,15,0,31,0.0,1023,17,10,122,9,Chula
2013-01-05,17,8,0.0,8.7,4,38,12:13 AM,11:40 AM,06:51 AM,04:57 PM,-1,14,14,14,11,11,39,0.0,1023,17,10,194,7,Chula
2013-01-06,13,7,0.0,7.1,3,31,01:17 AM,12:21 PM,06:51 AM,04:58 PM,6,10,10,10,9,38,76,0.1,1020,13,10,233,6,Chula
2013-01-07,16,8,0.0,8.7,4,24,02:23 AM,01:10 PM,06:51 AM,04:59 PM,5,11,12,11,18,8,66,0.9,1016,16,10,258,11,Chula
2013-01-08,19,8,0.0,8.7,4,17,03:30 AM,02:05 PM,06:51 AM,04:59 PM,8,16,17,16,8,0,58,0.0,1018,19,10,178,5,Chula
2013-01-09,18,10,0.0,8.7,4,9,04:34 AM,03:07 PM,06:51 AM,05:00 PM,7,14,14,14,9,30,68,0.0,1018,18,10,192,6,Chula
2013-01-10,12,9,0.0,8.7,4,2,05:36 AM,04:13 PM,06:51 AM,05:01 PM,6,8,11,8,33,35,73,0.4,1016,12,10,262,23,Chula
2013-01-11,10,4,0.0,8.7,3,0,06:30 AM,05:22 PM,06:51 AM,05:02 PM,0,7,9,7,17,3,57,0.3,1020,10,10,300,10,Chula
2013-01-12,11,4,0.0,8.7,3,0,07:19 AM,06:30 PM,06:51 AM,05:03 PM,-0,8,9,8,11,3,54,0.1,1020,11,10,166,8,Chula
2013-01-13,12,5,0.0,7.1,3,5,08:01 AM,07:37 PM,06:51 AM,05:04 PM,-4,7,9,7,18,14,43,0.0,1020,12,10,158,11,Chula
2013-01-14,11,4,0.0,8.7,3,12,08:40 AM,08:40 PM,06:51 AM,05:05 PM,-7,7,9,7,19,4,35,0.0,1025,11,10,135,12,Chula
2013-01-15,14,4,0.0,8.7,3,20,09:16 AM,09:41 PM,06:50 AM,05:06 PM,-6,9,11,9,17,0,31,0.0,1029,14,10,120,12,Chula
2013-01-16,18,7,0.0,8.7,4,27,09:50 AM,10:40 PM,06:50 AM,05:07 PM,1,13,14,13,17,0,40,0.0,1025,18,10,126,11,Chula
2013-01-17,21,10,0.0,8.7,5,34,10:24 AM,11:37 PM,06:50 AM,05:08 PM,3,17,18,17,19,0,41,0.0,1021,21,10,105,11,Chula
2013-01-18,22,12,0.0,8.7,5,41,10:58 AM,No moonset,06:50 AM,05:09 PM,3,18,18,18,13,2,38,0.0,1020,22,10,103,8,Chula
2013-01-19,22,13,0.0,8.7,5,49,11:35 AM,12:32 AM,06:49 AM,05:09 PM,1,18,18,18,14,5,32,0.0,1020,22,10,105,8,Chula
