date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01,14,3,0.0,8.7,3,68,09:15 PM,09:23 AM,06:56 AM,04:53 PM,-6,7,9,7,16,12,37,0.0,1023,14,10,60,9,Corona
2013-01-02,17,5,0.0,8.7,3,60,10:13 PM,09:55 AM,06:56 AM,04:53 PM,-4,10,12,10,23,0,35,0.0,1021,17,10,77,12,Corona
2013-01-03,18,6,0.0,8.7,4,53,11:14 PM,10:28 AM,06:56 AM,04:54 PM,-2,12,13,12,20,0,38,0.0,1021,18,10,31,11,Corona
2013-01-04,17,6,0.0,8.7,3,46,No moonrise,11:02 AM,06:56 AM,04:55 PM,-4,12,13,12,13,0,32,0.0,1024,17,10,88,7,Corona
2013-01-05,17,5,0.0,8.7,3,38,12:16 AM,11:40 AM,06:56 AM,04:56 PM,-5,11,11,11,10,12,35,0.0,1024,17,10,149,6,Corona
2013-01-06,11,4,0.0,8.7,3,31,01:21 AM,12:21 PM,06:56 AM,04:57 PM,2,7,7,7,10,20,71,0.0,1020,11,10,161,7,Corona
2013-01-07,17,4,0.0,8.7,3,24,02:27 AM,01:09 PM,06:56 AM,04:58 PM,-3,9,11,9,22,7,44,0.0,1017,17,10,98,12,Corona
2013-01-08,21,9,0.0,8.7,4,17,03:35 AM,02:04 PM,06:56 AM,04:59 PM,2,15,16,15,17,1,39,0.0,1019,21,10,96,9,Corona
2013-01-09,19,8,0.0,8.7,4,9,04:39 AM,03:06 PM,06:56 AM,04:59 PM,4,13,13,13,12,33,57,0.0,1018,19,10,170,8,Corona
2013-01-10,10,4,0.0,7.1,3,2,05:40 AM,04:12 PM,06:56 AM,05:00 PM,3,6,8,6,20,37,70,1.7,1015,10,8,242,13,Corona
2013-01-11,9,-1,0.0,8.7,2,0,06:34 AM,05:22 PM,06:56 AM,05:01 PM,-5,3,5,3,16,3,49,0.0,1020,9,10,245,10,Corona
2013-01-12,9,0,0.0,8.7,2,0,07:23 AM,06:30 PM,06:56 AM,05:02 PM,-6,4,6,4,14,3,46,0.0,1020,9,10,116,8,Corona
2013-01-13,10,1,0.0,8.7,2,5,08:05 AM,07:38 PM,06:56 AM,05:03 PM,-10,3,5,3,20,9,35,0.0,1020,10,10,137,11,Corona
2013-01-14,10,-0,0.0,8.7,2,12,08:43 AM,08:42 PM,06:55 AM,05:04 PM,-16,2,5,2,27,6,22,0.0,1026,10,10,32,15,Corona
2013-01-15,14,2,0.0,8.7,3,20,09:18 AM,09:43 PM,06:55 AM,05:05 PM,-8,8,9,8,19,1,29,0.0,1030,14,10,107,11,Corona
2013-01-16,19,6,0.0,8.7,4,27,09:52 AM,10:42 PM,06:55 AM,05:06 PM,-3,11,12,11,27,0,36,0.0,1027,19,10,24,15,Corona
2013-01-17,22,8,0.0,8.7,4,34,10:25 AM,11:40 PM,06:55 AM,05:07 PM,-1,14,15,14,28,0,36,0.0,1023,22,10,37,16,Corona
2013-01-18,23,10,0.0,8.7,5,41,10:59 AM,No moonset,06:54 AM,05:08 PM,0,16,17,16,22,0,34,0.0,1022,23,10,37,12,Corona
