date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01,13,5,0.0,8.7,3,68,09:13 PM,09:20 AM,06:52 AM,04:53 PM,-2,7,9,7,19,11,50,0.0,1022,13,10,79,10,Escondido
2013-01-02,16,5,0.0,8.7,3,60,10:11 PM,09:53 AM,06:52 AM,04:53 PM,-4,9,10,9,18,1,38,0.0,1020,16,10,98,9,Escondido
2013-01-03,18,6,0.0,8.7,4,53,11:12 PM,10:26 AM,06:52 AM,04:54 PM,-2,11,12,11,15,0,39,0.0,1020,18,10,110,8,Escondido
2013-01-04,17,6,0.0,8.7,3,46,No moonrise,11:01 AM,06:52 AM,04:55 PM,-7,10,11,10,17,0,29,0.0,1023,17,10,121,9,Escondido
2013-01-05,17,6,0.0,8.7,3,38,12:13 AM,11:39 AM,06:52 AM,04:56 PM,-6,10,10,10,13,13,32,0.0,1024,17,10,138,7,Escondido
2013-01-06,12,4,0.0,7.1,3,31,01:18 AM,12:21 PM,06:52 AM,04:57 PM,3,7,8,7,9,32,75,0.3,1020,12,10,226,6,Escondido
2013-01-07,16,4,0.0,8.7,3,24,02:24 AM,01:09 PM,06:52 AM,04:58 PM,2,9,10,9,12,6,64,0.0,1016,16,10,218,7,Escondido
2013-01-08,20,6,0.0,8.7,4,17,03:31 AM,02:04 PM,06:52 AM,04:58 PM,4,14,14,14,8,0,55,0.0,1018,20,10,142,5,Escondido
2013-01-09,19,8,0.0,8.7,4,9,04:35 AM,03:06 PM,06:52 AM,04:59 PM,5,12,12,12,10,31,65,0.0,1018,19,10,188,6,Escondido
2013-01-10,10,6,0.0,7.1,3,2,05:37 AM,04:12 PM,06:52 AM,05:00 PM,4,6,8,6,30,33,75,1.0,1015,10,9,247,20,Escondido
2013-01-11,9,-1,0.0,8.7,2,0,06:31 AM,05:21 PM,06:52 AM,05:01 PM,-3,3,5,3,14,3,58,0.0,1020,9,10,278,9,Escondido
2013-01-12,10,-1,0.0,8.7,2,0,07:20 AM,06:29 PM,06:52 AM,05:02 PM,-3,4,5,4,11,2,57,0.0,1020,10,10,158,6,Escondido
2013-01-13,10,2,0.0,8.7,3,5,08:02 AM,07:36 PM,06:52 AM,05:03 PM,-8,3,5,3,18,7,41,0.0,1020,10,10,158,10,Escondido
2013-01-14,10,1,0.0,8.7,2,12,08:40 AM,08:40 PM,06:52 AM,05:04 PM,-12,3,5,3,20,6,31,0.0,1026,10,10,131,10,Escondido
2013-01-15,13,2,0.0,8.7,3,20,09:16 AM,09:41 PM,06:51 AM,05:05 PM,-10,6,8,6,18,1,28,0.0,1030,13,10,133,10,Escondido
2013-01-16,18,6,0.0,8.7,4,27,09:50 AM,10:40 PM,06:51 AM,05:06 PM,-3,10,11,10,22,0,38,0.0,1026,18,10,57,12,Escondido
2013-01-17,22,8,0.0,8.7,4,34,10:23 AM,11:37 PM,06:51 AM,05:07 PM,-0,14,15,14,25,0,38,0.0,1022,22,10,71,14,Escondido
2013-01-18,23,11,0.0,8.7,4,41,10:58 AM,No moonset,06:51 AM,05:08 PM,-1,15,16,15,18,0,35,0.0,1021,23,10,94,10,Escondido
2013-01-19,23,11,0.0,8.7,5,49,11:34 AM,12:33 AM,06:50 AM,05:08 PM,-4,15,16,15,18,1,27,0.0,1021,23,10,107,10,Escondido
2013-01-20,23,11,0.0,8.7,5,56,12:12 PM,01:28 AM,06:50 AM,05:09 PM,-4,16,16,16,16,0,26,0.0,1019,23,10,99,8,Escondido
2013-01-21,23,11,0.0,8.7,5,63,12:54 PM,02:21 AM,06:50 AM,05:10 PM,-6,16,16,16,17,0,22,0.0,1018,23,10,122,9,Escondido
2013-01-22,24,11,0.0,8.7,5,70,01:40 PM,03:12 AM,06:49 AM,05:11 PM,-4,17,17,17,15,2,26,0.0,1018,24,10,107,8,Escondido
