date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01,9,2,0.0,8.7,2,68,09:32 PM,09:43 AM,07:23 AM,05:01 PM,-2,3,4,3,13,9,65,0.0,1024,9,10,89,8,Fremont
2013-01-02,12,2,0.0,8.7,3,60,10:32 PM,10:14 AM,07:23 AM,05:02 PM,-0,4,6,4,14,0,66,0.0,1022,12,10,82,8,Fremont
2013-01-03,11,1,0.0,8.7,2,53,11:35 PM,10:45 AM,07:23 AM,05:03 PM,-3,5,6,5,10,6,57,0.0,1022,11,10,69,5,Fremont
2013-01-04,12,2,0.0,8.7,3,46,No moonrise,11:18 AM,07:23 AM,05:03 PM,-2,5,7,5,12,18,55,0.0,1023,12,10,92,6,Fremont
2013-01-05,12,4,0.0,3.7,2,38,12:38 AM,11:53 AM,07:23 AM,05:04 PM,5,6,8,6,14,76,81,4.9,1022,12,9,167,8,Fremont
2013-01-06,8,4,0.0,7.0,3,31,01:45 AM,12:33 PM,07:23 AM,05:05 PM,5,5,6,5,12,52,89,0.3,1021,8,8,228,7,Fremont
2013-01-07,11,2,0.0,8.7,3,24,02:53 AM,01:20 PM,07:23 AM,05:06 PM,3,6,7,6,9,6,75,0.0,1022,11,10,190,5,Fremont
2013-01-08,13,5,0.0,8.7,3,17,04:02 AM,02:13 PM,07:23 AM,05:07 PM,5,8,9,8,11,19,77,0.0,1022,13,10,61,6,Fremont
2013-01-09,11,5,0.0,7.0,3,9,05:07 AM,03:15 PM,07:23 AM,05:08 PM,4,6,8,6,17,27,76,0.3,1019,11,10,184,10,Fremont
2013-01-10,8,2,0.0,8.7,2,2,06:07 AM,04:22 PM,07:23 AM,05:09 PM,-1,2,5,2,25,10,69,0.0,1020,8,10,302,15,Fremont
2013-01-11,9,0,0.0,7.0,2,0,07:01 AM,05:33 PM,07:23 AM,05:10 PM,-1,2,4,2,17,27,70,0.7,1022,9,10,271,9,Fremont
