date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01,10,-1,0.0,8.7,2,68,09:23 PM,09:34 AM,07:12 AM,04:54 PM,-0,4,5,4,10,1,72,0.0,1025,10,10,221,6,Fresno
2013-01-02,12,2,0.0,8.7,3,60,10:23 PM,10:05 AM,07:12 AM,04:55 PM,1,6,7,6,8,1,67,0.0,1023,12,10,221,5,Fresno
2013-01-03,13,2,0.0,8.7,3,53,11:25 PM,10:36 AM,07:12 AM,04:56 PM,0,7,7,7,8,0,62,0.0,1022,13,10,296,4,Fresno
2013-01-04,13,1,0.0,8.7,3,46,No moonrise,11:09 AM,07:12 AM,04:57 PM,-1,7,7,7,7,3,59,0.0,1023,13,10,217,4,Fresno
2013-01-05,15,2,0.0,8.7,3,38,12:28 AM,11:45 AM,07:12 AM,04:57 PM,-4,8,9,8,13,20,44,0.0,1022,15,10,130,7,Fresno
2013-01-06,7,3,0.0,8.7,3,31,01:35 AM,12:25 PM,07:12 AM,04:58 PM,3,4,5,4,16,38,83,0.4,1021,7,8,188,9,Fresno
2013-01-07,9,2,0.0,8.7,2,24,02:42 AM,01:12 PM,07:12 AM,04:59 PM,2,5,6,5,9,4,80,0.0,1023,9,10,288,5,Fresno
2013-01-08,12,3,0.0,8.7,3,17,03:50 AM,02:06 PM,07:12 AM,05:00 PM,4,7,8,7,8,6,78,0.0,1022,12,10,262,5,Fresno
2013-01-09,18,6,0.0,8.7,4,9,04:56 AM,03:08 PM,07:12 AM,05:01 PM,2,11,11,11,11,34,56,0.0,1018,18,10,147,6,Fresno
2013-01-10,8,0,0.0,8.7,2,2,05:56 AM,04:15 PM,07:12 AM,05:02 PM,0,2,5,2,16,15,74,2.4,1019,8,10,247,10,Fresno
2013-01-11,6,-1,0.0,8.7,2,0,06:50 AM,05:26 PM,07:12 AM,05:03 PM,-3,0,2,0,9,24,74,0.0,1023,6,10,186,5,Fresno
2013-01-12,6,-2,0.0,8.7,2,0,07:37 AM,06:36 PM,07:12 AM,05:04 PM,-2,1,1,1,6,9,77,0.0,1023,6,10,176,4,Fresno
2013-01-13,6,-2,0.0,8.7,2,5,08:17 AM,07:44 PM,07:11 AM,05:05 PM,-6,0,1,0,9,8,61,0.0,1024,6,10,314,5,Fresno
2013-01-14,6,-2,0.0,8.7,2,12,08:54 AM,08:50 PM,07:11 AM,05:06 PM,-9,-0,1,-0,9,11,45,0.0,1028,6,10,237,6,Fresno
2013-01-15,7,-2,0.0,8.7,2,20,09:27 AM,09:53 PM,07:11 AM,05:07 PM,-9,2,3,2,8,0,45,0.0,1030,7,10,236,5,Fresno
2013-01-16,12,-0,0.0,8.7,3,27,09:59 AM,10:54 PM,07:10 AM,05:08 PM,-2,6,6,6,7,0,56,0.0,1029,12,10,214,4,Fresno
2013-01-17,17,3,0.0,8.7,3,34,10:31 AM,11:53 PM,07:10 AM,05:09 PM,-0,10,10,10,9,0,50,0.0,1025,17,10,272,5,Fresno
2013-01-18,18,5,0.0,8.7,4,41,11:04 AM,No moonset,07:10 AM,05:10 PM,0,11,11,11,9,0,47,0.0,1023,18,10,201,5,Fresno
2013-01-19,18,6,0.0,8.7,4,49,11:39 AM,12:50 AM,07:09 AM,05:11 PM,-0,11,11,11,10,1,46,0.0,1024,18,10,232,6,Fresno
2013-01-20,18,5,0.0,8.7,4,56,12:16 PM,01:46 AM,07:09 AM,05:12 PM,-1,11,11,11,11,3,45,0.0,1023,18,10,199,6,Fresno
2013-01-21,19,6,0.0,8.7,4,63,12:57 PM,02:40 AM,07:08 AM,05:13 PM,0,12,12,12,7,0,45,0.0,1021,19,10,200,4,Fresno
2013-01-22,20,7,0.0,8.7,4,70,01:43 PM,03:32 AM,07:08 AM,05:14 PM,0,13,14,13,9,20,42,0.0,1020,20,10,139,4,Fresno
2013-01-23,19,12,0.0,7.1,5,78,02:31 PM,04:21 AM,07:07 AM,05:16 PM,-3,15,15,15,17,56,29,0.0,1018,19,10,101,9,Fresno
2013-01-24,16,11,0.0,7.1,4,85,03:24 PM,05:07 AM,07:07 AM,05:17 PM,9,13,13,13,9,69,74,5.3,1020,16,9,177,5,Fresno
2013-01-25,18,9,0.0,8.7,4,92,04:20 PM,05:49 AM,07:06 AM,05:18 PM,8,13,13,13,10,20,74,1.1,1020,18,10,238,6,Fresno
2013-01-26,17,7,0.0,8.7,4,100,05:18 PM,06:27 AM,07:05 AM,05:19 PM,7,11,12,11,12,27,77,0.4,1015,17,10,312,6,Fresno
2013-01-27,11,3,0.0,8.7,3,100,06:16 PM,07:03 AM,07:05 AM,05:20 PM,1,5,7,5,17,20,65,0.5,1019,11,9,325,10,Fresno
2013-01-28,9,-0,0.0,8.7,2,86,07:16 PM,07:37 AM,07:04 AM,05:21 PM,-1,4,4,4,7,10,69,0.0,1023,9,10,234,4,Fresno
2013-01-29,10,0,0.0,8.7,3,79,08:17 PM,08:08 AM,07:03 AM,05:22 PM,2,5,6,5,8,8,78,0.0,1025,10,10,250,5,Fresno
2013-01-30,15,4,0.0,8.7,3,71,09:19 PM,08:40 AM,07:02 AM,05:23 PM,5,9,9,9,6,1,75,0.0,1026,15,10,212,4,Fresno
2013-01-31,18,5,0.0,8.7,4,68,10:21 PM,09:13 AM,07:02 AM,05:24 PM,3,11,11,11,6,0,59,0.0,1024,18,10,210,3,Fresno
2013-02-01,20,5,0.0,8.7,4,51,11:26 PM,09:48 AM,07:01 AM,05:25 PM,2,13,13,13,8,10,50,0.0,1022,20,10,154,4,Fresno
2013-02-02,19,9,0.0,8.7,4,44,No moonrise,10:25 AM,07:00 AM,05:26 PM,-2,13,13,13,6,44,36,0.0,1023,19,10,158,4,Fresno
2013-02-03,17,6,0.0,8.7,4,36,12:31 AM,11:09 AM,06:59 AM,05:27 PM,2,11,11,11,11,7,55,0.0,1021,17,10,296,6,Fresno
2013-02-04,17,5,0.0,8.7,4,29,01:37 AM,11:58 AM,06:58 AM,05:29 PM,2,11,11,11,9,5,57,0.0,1020,17,10,301,5,Fresno
2013-02-05,18,6,0.0,8.7,4,21,02:41 AM,12:54 PM,06:57 AM,05:30 PM,1,10,11,10,14,13,53,0.0,1017,18,10,264,8,Fresno
2013-02-06,14,3,0.0,8.7,3,14,03:42 AM,01:56 PM,06:56 AM,05:31 PM,1,7,8,7,11,1,62,0.0,1020,14,10,288,6,Fresno
2013-02-07,14,3,0.0,8.7,3,6,04:36 AM,03:03 PM,06:55 AM,05:32 PM,-3,8,9,8,10,15,47,0.0,1019,14,10,234,5,Fresno
2013-02-08,9,2,0.0,8.7,2,0,05:26 AM,04:12 PM,06:54 AM,05:33 PM,-2,4,5,4,9,42,61,0.2,1015,9,10,239,5,Fresno
2013-02-09,10,-0,0.0,8.7,2,0,06:09 AM,05:21 PM,06:53 AM,05:34 PM,-0,4,5,4,8,8,71,0.0,1017,10,10,160,5,Fresno
2013-02-10,11,-0,0.0,8.7,2,0,06:47 AM,06:28 PM,06:52 AM,05:35 PM,-1,5,5,5,6,5,68,0.0,1019,11,10,233,4,Fresno
2013-02-11,13,1,0.0,8.7,3,1,07:23 AM,07:34 PM,06:51 AM,05:36 PM,-2,6,7,6,10,2,58,0.0,1022,13,10,166,5,Fresno
2013-02-12,15,1,0.0,8.7,3,9,07:57 AM,08:36 PM,06:50 AM,05:37 PM,1,7,8,7,7,4,62,0.0,1026,15,10,220,4,Fresno
2013-02-13,16,3,0.0,8.7,3,16,08:29 AM,09:38 PM,06:49 AM,05:38 PM,1,9,9,9,9,0,58,0.0,1025,16,10,295,5,Fresno
2013-02-14,18,5,0.0,8.7,4,24,09:02 AM,10:37 PM,06:48 AM,05:39 PM,3,12,12,12,10,0,58,0.0,1023,18,10,277,6,Fresno
2013-02-15,22,7,0.0,8.7,4,31,09:37 AM,11:35 PM,06:47 AM,05:40 PM,1,14,14,14,10,0,45,0.0,1025,22,10,186,6,Fresno
2013-02-16,22,8,0.0,7.2,4,39,10:14 AM,No moonset,06:46 AM,05:41 PM,-7,14,14,14,11,25,26,0.0,1021,22,10,126,6,Fresno
2013-02-17,18,6,0.0,8.7,4,46,10:54 AM,12:30 AM,06:44 AM,05:42 PM,-5,11,11,11,10,0,35,0.0,1016,18,10,248,6,Fresno
2013-02-18,18,5,0.0,8.7,4,54,11:38 AM,01:23 AM,06:43 AM,05:43 PM,-2,11,11,11,9,11,45,0.0,1015,18,10,157,5,Fresno
2013-02-19,11,1,0.0,8.7,3,62,12:24 PM,02:13 AM,06:42 AM,05:44 PM,-1,4,6,4,14,41,66,7.9,1010,11,9,269,9,Fresno
2013-02-20,8,-1,0.0,8.7,2,69,01:16 PM,03:00 AM,06:41 AM,05:45 PM,2,1,3,1,12,28,91,0.2,1013,8,6,245,7,Fresno
2013-02-21,12,1,0.0,8.7,3,77,02:10 PM,03:44 AM,06:40 AM,05:46 PM,2,4,6,4,11,38,81,0.1,1019,12,7,220,7,Fresno
2013-02-22,13,1,0.0,8.7,3,84,03:07 PM,04:24 AM,06:38 AM,05:47 PM,2,7,7,7,7,4,72,0.0,1022,13,10,230,4,Fresno
2013-02-23,14,4,0.0,8.7,3,92,04:05 PM,05:01 AM,06:37 AM,05:48 PM,0,6,8,6,18,8,61,0.0,1021,14,10,261,12,Fresno
2013-02-24,14,2,0.0,8.7,3,99,05:05 PM,05:36 AM,06:36 AM,05:49 PM,-4,6,7,6,11,4,49,0.0,1023,14,10,298,7,Fresno
2013-02-25,17,1,0.0,8.7,3,100,06:06 PM,06:09 AM,06:34 AM,05:50 PM,-2,8,9,8,8,5,49,0.0,1022,17,10,201,5,Fresno
2013-02-26,16,2,0.0,8.7,3,86,07:09 PM,06:41 AM,06:33 AM,05:51 PM,-1,8,9,8,9,1,54,0.0,1021,16,10,241,6,Fresno
2013-02-27,19,4,0.0,8.7,4,78,08:13 PM,07:15 AM,06:32 AM,05:52 PM,1,11,11,11,9,7,54,0.0,1025,19,10,151,5,Fresno
2013-02-28,19,5,0.0,8.7,4,71,09:18 PM,07:50 AM,06:30 AM,05:53 PM,2,12,12,12,8,9,56,0.0,1029,19,10,257,5,Fresno
2013-03-01,23,7,0.0,8.7,4,68,10:24 PM,08:27 AM,06:29 AM,05:54 PM,4,14,15,14,9,1,54,0.0,1027,23,10,218,5,Fresno
2013-03-02,25,11,0.0,8.7,5,61,11:30 PM,09:09 AM,06:28 AM,05:55 PM,-1,17,17,17,15,27,32,0.0,1022,25,10,106,9,Fresno
2013-03-03,18,9,0.0,5.7,4,53,No moonrise,09:56 AM,06:26 AM,05:56 PM,2,14,14,14,13,55,43,0.2,1018,18,10,92,7,Fresno
2013-03-04,19,7,0.0,8.7,4,46,12:34 AM,10:49 AM,06:25 AM,05:57 PM,6,12,12,12,10,4,69,0.0,1018,19,10,235,5,Fresno
2013-03-05,21,9,0.0,8.7,4,39,01:35 AM,11:48 AM,06:24 AM,05:58 PM,2,13,13,13,15,12,48,0.0,1016,21,10,139,9,Fresno
2013-03-06,14,8,0.0,5.7,4,32,02:29 AM,12:51 PM,06:22 AM,05:59 PM,2,9,10,9,19,52,57,1.2,1017,14,10,139,11,Fresno
2013-03-07,14,7,0.0,5.9,2,24,03:19 AM,01:58 PM,06:21 AM,06:00 PM,-1,9,10,9,12,77,47,0.0,1013,14,10,127,8,Fresno
2013-03-08,13,5,0.0,11.6,3,17,04:03 AM,03:04 PM,06:19 AM,06:00 PM,4,6,8,6,13,47,80,2.5,1012,13,8,225,8,Fresno
2013-03-09,16,2,0.0,11.6,3,10,04:43 AM,04:11 PM,06:18 AM,06:01 PM,4,8,9,8,11,22,73,0.0,1022,16,9,247,7,Fresno
2013-03-10,18,4,0.0,11.6,3,3,05:19 AM,05:16 PM,06:17 AM,06:02 PM,2,10,11,10,8,1,59,0.0,1026,18,10,238,5,Fresno
2013-03-11,21,5,0.0,11.6,4,0,05:53 AM,06:19 PM,06:15 AM,06:03 PM,3,12,13,12,7,6,54,0.0,1022,21,10,290,4,Fresno
2013-03-12,24,8,0.0,11.6,5,0,06:26 AM,07:22 PM,06:14 AM,06:04 PM,5,16,16,16,7,2,53,0.0,1020,24,10,198,4,Fresno
2013-03-13,28,10,0.0,11.6,5,5,07:00 AM,08:22 PM,06:12 AM,06:05 PM,6,20,19,20,8,0,46,0.0,1020,28,10,126,4,Fresno
2013-03-14,30,14,0.0,10.2,6,12,07:34 AM,09:21 PM,06:11 AM,06:06 PM,-2,21,20,21,14,31,23,0.0,1019,30,10,154,7,Fresno
2013-03-15,26,11,0.0,11.6,5,19,08:10 AM,10:18 PM,06:09 AM,06:07 PM,3,18,18,18,15,23,39,0.0,1017,26,10,319,9,Fresno
2013-03-16,24,10,0.0,11.6,5,26,08:49 AM,11:13 PM,06:08 AM,06:08 PM,2,16,16,16,15,5,41,0.0,1016,24,10,276,9,Fresno
2013-03-17,21,8,0.0,11.6,4,34,09:32 AM,No moonset,06:06 AM,06:08 PM,1,14,14,14,14,11,45,0.0,1017,21,10,241,8,Fresno
2013-03-18,22,7,0.0,11.6,4,41,10:18 AM,12:04 AM,06:05 AM,06:09 PM,2,14,15,14,8,21,45,0.0,1017,22,10,212,5,Fresno
2013-03-19,24,9,0.0,11.6,5,48,11:07 AM,12:53 AM,06:04 AM,06:10 PM,4,16,16,16,10,26,46,0.0,1018,24,10,127,5,Fresno
2013-03-20,20,12,0.0,10.2,5,55,12:00 PM,01:38 AM,06:02 AM,06:11 PM,6,16,16,16,12,40,55,0.2,1018,20,10,169,6,Fresno
2013-03-21,20,8,0.0,11.6,4,63,12:55 PM,02:18 AM,06:01 AM,06:12 PM,5,12,13,12,21,1,60,0.0,1016,20,10,316,12,Fresno
2013-03-22,19,6,0.0,12.5,4,70,01:52 PM,02:56 AM,05:59 AM,06:13 PM,-2,10,11,10,17,0,45,0.0,1015,19,10,313,10,Fresno
2013-03-23,19,3,0.0,12.6,4,77,02:50 PM,03:32 AM,05:58 AM,06:14 PM,-3,10,11,10,8,2,41,0.0,1018,19,10,229,5,Fresno
2013-03-24,22,5,0.0,12.6,4,85,03:51 PM,04:06 AM,05:56 AM,06:15 PM,-0,13,13,13,8,6,43,0.0,1016,22,10,206,5,Fresno
2013-03-25,24,7,0.0,10.5,4,92,04:53 PM,04:39 AM,05:55 AM,06:15 PM,-1,15,15,15,8,49,37,0.0,1014,24,10,104,5,Fresno
2013-03-26,23,8,0.0,12.6,4,99,05:58 PM,05:12 AM,05:53 AM,06:16 PM,-2,15,15,15,13,8,32,0.0,1013,23,10,211,7,Fresno
2013-03-27,23,8,0.0,12.7,5,100,07:04 PM,05:47 AM,05:52 AM,06:17 PM,2,16,16,16,10,16,41,0.0,1014,23,10,174,6,Fresno
2013-03-28,22,10,0.0,12.7,5,86,08:11 PM,06:25 AM,05:51 AM,06:18 PM,1,16,16,16,11,27,37,0.0,1017,22,10,143,7,Fresno
2013-03-29,27,9,0.0,12.7,5,79,09:19 PM,07:07 AM,05:49 AM,06:19 PM,-1,18,18,18,11,13,29,0.0,1018,27,10,96,6,Fresno
2013-03-30,27,13,0.0,12.7,5,72,10:25 PM,07:53 AM,05:48 AM,06:20 PM,5,19,19,19,10,19,45,0.0,1017,27,10,192,6,Fresno
2013-03-31,21,11,0.0,12.8,5,68,11:29 PM,08:46 AM,05:46 AM,06:21 PM,7,15,16,15,17,29,61,0.5,1017,21,10,126,11,Fresno
2013-04-01,20,11,0.0,12.8,4,52,No moonrise,09:44 AM,05:45 AM,06:22 PM,4,14,14,14,12,26,52,0.0,1019,20,10,133,7,Fresno
2013-04-02,22,8,0.0,12.8,4,44,12:26 AM,10:46 AM,05:43 AM,06:22 PM,7,14,15,14,13,12,63,0.0,1019,22,10,317,8,Fresno
2013-04-03,26,9,0.0,12.8,5,37,01:17 AM,11:51 AM,05:42 AM,06:23 PM,6,18,18,18,10,7,51,0.0,1018,26,10,162,5,Fresno
2013-04-04,22,14,0.0,12.8,5,29,02:02 AM,12:56 PM,05:40 AM,06:24 PM,5,17,18,17,10,27,45,0.0,1017,22,10,171,5,Fresno
2013-04-05,22,10,0.0,12.9,5,22,02:42 AM,02:01 PM,05:39 AM,06:25 PM,7,15,16,15,18,13,60,0.0,1019,22,10,320,11,Fresno
2013-04-06,23,9,0.0,12.9,5,14,03:19 AM,03:05 PM,05:38 AM,06:26 PM,6,15,16,15,18,9,56,0.0,1020,23,10,316,11,Fresno
2013-04-07,23,9,0.0,12.9,5,7,03:53 AM,04:07 PM,05:36 AM,06:27 PM,6,15,16,15,19,9,56,0.0,1016,23,10,318,11,Fresno
2013-04-08,18,8,0.0,12.9,4,0,04:25 AM,05:09 PM,05:35 AM,06:28 PM,3,10,11,10,26,35,59,0.9,1010,18,10,260,17,Fresno
2013-04-09,22,5,0.0,13.0,4,0,04:58 AM,06:09 PM,05:33 AM,06:28 PM,-2,12,13,12,17,0,37,0.0,1016,22,10,202,11,Fresno
2013-04-10,25,7,0.0,13.0,5,0,05:32 AM,07:09 PM,05:32 AM,06:29 PM,1,17,17,17,10,0,38,0.0,1019,25,10,189,6,Fresno
2013-04-11,24,10,0.0,13.0,5,1,06:07 AM,08:06 PM,05:30 AM,06:30 PM,6,17,17,17,14,5,48,0.0,1013,24,10,253,9,Fresno
2013-04-12,27,11,0.0,13.0,5,8,06:46 AM,09:02 PM,05:29 AM,06:31 PM,4,19,18,19,11,9,42,0.0,1011,27,10,241,6,Fresno
2013-04-13,27,11,0.0,13.0,5,16,07:27 AM,09:56 PM,05:28 AM,06:32 PM,4,19,19,19,12,3,37,0.0,1009,27,10,274,7,Fresno
2013-04-14,24,10,0.0,13.1,5,23,08:11 AM,10:45 PM,05:26 AM,06:33 PM,2,15,16,15,21,1,41,0.0,1009,24,10,310,13,Fresno
2013-04-15,20,7,0.0,13.1,4,31,09:00 AM,11:32 PM,05:25 AM,06:34 PM,1,12,13,12,19,8,48,0.0,1010,20,10,303,11,Fresno
2013-04-16,18,3,0.0,13.1,3,38,09:51 AM,No moonset,05:24 AM,06:35 PM,-3,9,10,9,18,6,44,0.0,1016,18,10,278,12,Fresno
2013-04-17,19,3,0.0,13.1,4,46,10:44 AM,12:14 AM,05:22 AM,06:35 PM,-5,11,12,11,15,0,33,0.0,1022,19,10,239,10,Fresno
2013-04-18,23,6,0.0,13.2,4,54,11:40 AM,12:52 AM,05:21 AM,06:36 PM,-2,15,15,15,7,0,33,0.0,1023,23,10,188,5,Fresno
2013-04-19,26,8,0.0,13.2,5,61,12:36 PM,01:29 AM,05:20 AM,06:37 PM,-1,18,18,18,10,2,30,0.0,1021,26,10,231,6,Fresno
2013-04-20,27,9,0.0,13.2,5,69,01:35 PM,02:02 AM,05:18 AM,06:38 PM,6,19,19,19,10,0,45,0.0,1016,27,10,256,7,Fresno
2013-04-21,30,11,0.0,13.2,6,76,02:35 PM,02:35 AM,05:17 AM,06:39 PM,7,21,21,21,8,0,44,0.0,1015,30,10,233,5,Fresno
2013-04-22,31,13,0.0,13.2,6,84,03:38 PM,03:08 AM,05:16 AM,06:40 PM,3,22,21,22,11,0,32,0.0,1013,31,10,184,7,Fresno
2013-04-23,29,14,0.0,13.3,6,91,04:43 PM,03:42 AM,05:14 AM,06:41 PM,4,21,21,21,12,0,33,0.0,1012,29,10,237,7,Fresno
2013-04-24,30,12,0.0,13.3,6,99,05:51 PM,04:18 AM,05:13 AM,06:42 PM,1,21,21,21,11,0,28,0.0,1011,30,10,226,6,Fresno
2013-04-25,26,11,0.0,13.3,5,100,07:00 PM,04:58 AM,05:12 AM,06:43 PM,7,19,19,19,10,0,51,0.0,1016,26,10,257,6,Fresno
2013-04-26,29,10,0.0,13.3,5,86,08:09 PM,05:44 AM,05:11 AM,06:43 PM,6,20,19,20,11,0,44,0.0,1020,29,10,261,7,Fresno
2013-04-27,32,13,0.0,13.3,6,79,09:16 PM,06:35 AM,05:10 AM,06:44 PM,6,22,22,23,12,0,37,0.0,1020,32,10,322,7,Fresno
2013-04-28,33,13,0.0,13.4,6,71,10:18 PM,07:34 AM,05:08 AM,06:45 PM,6,23,23,23,9,1,39,0.0,1015,33,10,252,6,Fresno
2013-04-29,33,14,0.0,13.4,6,63,11:13 PM,08:36 AM,05:07 AM,06:46 PM,5,24,24,25,12,0,33,0.0,1010,33,10,239,8,Fresno
2013-04-30,29,16,0.0,13.4,6,56,No moonrise,09:43 AM,05:06 AM,06:47 PM,2,22,22,22,18,1,27,0.0,1008,29,10,281,11,Fresno
2013-05-01,31,14,0.0,13.4,6,54,12:01 AM,10:49 AM,05:05 AM,06:48 PM,0,22,22,22,12,0,24,0.0,1016,31,10,273,8,Fresno
2013-05-02,33,16,0.0,13.5,6,47,12:43 AM,11:55 AM,05:04 AM,06:49 PM,-0,24,24,25,11,0,20,0.0,1021,33,10,115,7,Fresno
2013-05-03,33,15,0.0,13.5,6,39,01:21 AM,12:59 PM,05:03 AM,06:50 PM,2,24,24,25,10,0,27,0.0,1014,33,10,192,6,Fresno
2013-05-04,32,15,0.0,13.5,6,32,01:55 AM,02:01 PM,05:02 AM,06:51 PM,3,23,23,24,10,2,28,1.3,1005,32,10,157,6,Fresno
2013-05-05,25,12,0.0,13.5,5,25,02:27 AM,03:02 PM,05:01 AM,06:51 PM,5,18,18,18,13,16,44,0.0,1007,25,10,203,9,Fresno
2013-05-06,23,12,0.0,13.5,5,17,03:00 AM,04:01 PM,05:00 AM,06:52 PM,7,17,17,17,10,25,57,0.0,1011,23,10,137,7,Fresno
2013-05-07,22,11,0.0,13.3,5,10,03:33 AM,05:00 PM,04:59 AM,06:53 PM,8,16,17,16,9,47,62,0.6,1015,22,10,146,5,Fresno
2013-05-08,24,12,0.0,14.0,5,3,04:07 AM,05:58 PM,04:58 AM,06:54 PM,7,18,18,18,9,27,51,0.0,1017,24,10,236,6,Fresno
2013-05-09,26,11,0.0,14.0,5,0,04:44 AM,06:54 PM,04:57 AM,06:55 PM,8,19,19,19,14,9,54,0.0,1018,26,10,313,9,Fresno
2013-05-10,31,13,0.0,14.0,6,0,05:24 AM,07:49 PM,04:56 AM,06:56 PM,9,22,22,22,11,2,46,0.0,1019,31,10,300,7,Fresno
2013-05-11,35,16,0.0,14.0,7,4,06:07 AM,08:39 PM,04:55 AM,06:57 PM,8,26,26,26,9,2,34,0.0,1019,35,10,174,6,Fresno
2013-05-12,37,18,0.0,14.0,7,11,06:54 AM,09:27 PM,04:54 AM,06:58 PM,7,27,27,28,11,4,30,0.0,1018,37,10,204,6,Fresno
2013-05-13,36,19,0.0,14.1,7,19,07:44 AM,10:11 PM,04:53 AM,06:58 PM,5,27,27,28,10,0,26,0.0,1016,36,10,221,6,Fresno
2013-05-14,32,16,0.0,14.1,6,26,08:36 AM,10:50 PM,04:52 AM,06:59 PM,5,24,24,25,7,1,29,0.0,1013,32,10,246,4,Fresno
2013-05-15,31,14,0.0,14.5,6,33,09:31 AM,11:27 PM,04:51 AM,07:00 PM,3,22,22,23,14,4,31,0.0,1015,31,10,307,9,Fresno
2013-05-16,23,14,0.0,14.5,5,40,10:26 AM,No moonset,04:50 AM,07:01 PM,5,18,19,18,16,35,40,0.1,1014,23,10,324,11,Fresno
2013-05-17,25,12,0.0,14.5,5,48,11:23 AM,12:01 AM,04:50 AM,07:02 PM,4,18,18,18,17,8,42,0.0,1014,25,10,316,10,Fresno
2013-05-18,27,9,0.0,14.5,5,55,12:21 PM,12:33 AM,04:49 AM,07:03 PM,0,18,18,18,17,0,32,0.0,1017,27,10,309,10,Fresno
2013-05-19,28,11,0.0,14.5,5,62,01:21 PM,01:05 AM,04:48 AM,07:03 PM,3,20,19,20,16,0,35,0.0,1017,28,10,310,11,Fresno
2013-05-20,32,13,0.0,14.5,6,70,02:23 PM,01:38 AM,04:48 AM,07:04 PM,2,23,23,23,8,3,26,0.0,1015,32,10,225,5,Fresno
2013-05-21,32,15,0.0,14.5,6,77,03:29 PM,02:11 AM,04:47 AM,07:05 PM,1,22,22,23,14,10,27,0.0,1012,32,10,260,8,Fresno
2013-05-22,22,10,0.0,14.5,5,84,04:36 PM,02:49 AM,04:46 AM,07:06 PM,-4,15,16,15,22,1,28,0.0,1011,22,10,310,14,Fresno
2013-05-23,23,7,0.0,14.5,5,91,05:46 PM,03:32 AM,04:46 AM,07:07 PM,-5,15,15,15,15,0,25,0.0,1012,23,10,311,9,Fresno
2013-05-24,27,8,0.0,14.5,5,99,06:55 PM,04:20 AM,04:45 AM,07:07 PM,-4,18,18,18,11,8,24,0.0,1013,27,10,276,7,Fresno
2013-05-25,27,9,0.0,14.5,5,100,08:01 PM,05:16 AM,04:44 AM,07:08 PM,-0,19,18,19,13,1,30,0.0,1014,27,10,308,8,Fresno
2013-05-26,26,12,0.0,14.5,5,87,09:01 PM,06:18 AM,04:44 AM,07:09 PM,5,19,19,19,19,6,43,0.0,1016,26,10,312,12,Fresno
2013-05-27,26,11,0.0,14.5,5,80,09:54 PM,07:26 AM,04:43 AM,07:09 PM,6,18,19,18,21,15,47,0.0,1016,26,10,310,14,Fresno
2013-05-28,26,14,0.0,14.5,5,72,10:40 PM,08:35 AM,04:43 AM,07:10 PM,10,19,20,19,20,23,56,0.1,1012,26,10,309,13,Fresno
2013-05-29,28,13,0.0,14.5,6,65,11:21 PM,09:44 AM,04:43 AM,07:11 PM,7,20,20,20,19,15,46,0.0,1011,28,10,311,12,Fresno
2013-05-30,30,12,0.0,14.5,6,58,11:57 PM,10:50 AM,04:42 AM,07:12 PM,4,21,21,21,15,1,37,0.0,1012,30,10,312,10,Fresno
2013-05-31,32,13,0.0,14.5,6,54,No moonrise,11:54 AM,04:42 AM,07:12 PM,2,22,22,23,14,0,29,0.0,1014,32,10,314,9,Fresno
2013-06-01,38,17,0.0,14.5,7,37,12:30 AM,12:56 PM,04:41 AM,07:13 PM,0,27,27,28,11,12,18,0.0,1011,38,10,203,6,Fresno
2013-06-02,38,19,0.0,14.5,7,30,01:03 AM,01:56 PM,04:41 AM,07:14 PM,3,29,29,29,7,2,20,0.0,1006,38,10,170,4,Fresno
2013-06-03,36,17,0.0,14.5,7,22,01:35 AM,02:55 PM,04:41 AM,07:14 PM,9,27,27,27,9,1,34,0.0,1008,36,10,268,6,Fresno
2013-06-04,34,19,0.0,14.5,7,15,02:09 AM,03:53 PM,04:41 AM,07:15 PM,10,26,26,26,13,4,40,0.2,1011,34,10,303,8,Fresno
2013-06-05,36,17,0.0,14.5,7,7,02:44 AM,04:49 PM,04:40 AM,07:15 PM,10,26,26,26,12,2,41,0.0,1013,36,10,312,7,Fresno
2013-06-06,37,18,0.0,14.5,7,0,03:23 AM,05:44 PM,04:40 AM,07:16 PM,8,26,26,27,13,9,33,0.0,1012,37,10,309,8,Fresno
2013-06-07,41,19,0.0,14.5,7,0,04:05 AM,06:35 PM,04:40 AM,07:16 PM,6,30,30,30,13,4,26,0.0,1010,41,10,239,8,Fresno
2013-06-08,44,22,0.0,14.5,8,0,04:50 AM,07:24 PM,04:40 AM,07:17 PM,5,33,33,33,10,2,19,0.0,1008,44,10,192,6,Fresno
2013-06-09,37,21,0.0,14.5,7,0,05:39 AM,08:09 PM,04:40 AM,07:17 PM,11,29,29,29,14,2,35,0.0,1009,37,10,270,8,Fresno
2013-06-10,30,17,0.0,14.5,6,8,06:30 AM,08:50 PM,04:40 AM,07:18 PM,9,23,23,24,12,6,42,0.0,1011,30,10,164,7,Fresno
2013-06-11,35,16,0.0,14.5,7,15,07:25 AM,09:28 PM,04:39 AM,07:18 PM,5,25,25,26,11,14,29,0.3,1013,35,10,258,6,Fresno
