date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01,14,6,0.0,8.7,3,68,09:17 PM,09:24 AM,06:57 AM,04:54 PM,-3,10,11,10,14,10,39,0.0,1023,14,10,51,8,Fullerton
2013-01-02,17,7,0.0,8.7,4,60,10:15 PM,09:57 AM,06:57 AM,04:55 PM,-1,12,14,12,19,0,38,0.0,1020,17,10,148,10,Fullerton
2013-01-03,18,9,0.0,8.7,4,53,11:16 PM,10:29 AM,06:57 AM,04:56 PM,1,14,15,14,19,0,40,0.0,1021,18,10,103,11,Fullerton
2013-01-04,17,8,0.0,8.7,4,46,No moonrise,11:04 AM,06:57 AM,04:57 PM,-1,14,15,14,12,1,35,0.0,1023,17,10,119,8,Fullerton
2013-01-05,16,7,0.0,8.7,4,38,12:17 AM,11:41 AM,06:57 AM,04:57 PM,-2,12,13,12,11,13,39,0.0,1024,16,10,152,7,Fullerton
2013-01-06,12,6,0.0,8.7,3,31,01:22 AM,12:23 PM,06:58 AM,04:58 PM,5,9,10,9,8,25,72,0.2,1020,12,10,184,6,Fullerton
2013-01-07,18,6,0.0,8.7,4,24,02:28 AM,01:11 PM,06:58 AM,04:59 PM,-0,11,12,11,24,4,45,0.3,1018,18,10,175,14,Fullerton
2013-01-08,20,11,0.0,8.7,4,17,03:36 AM,02:06 PM,06:58 AM,05:00 PM,3,16,17,16,15,1,42,0.0,1019,20,10,84,9,Fullerton
2013-01-09,18,10,0.0,8.7,4,9,04:41 AM,03:07 PM,06:57 AM,05:01 PM,6,14,14,14,11,43,59,0.0,1018,18,10,162,7,Fullerton
2013-01-10,12,6,0.0,8.7,3,2,05:42 AM,04:14 PM,06:57 AM,05:02 PM,3,8,10,8,25,27,67,1.0,1015,12,9,265,17,Fullerton
2013-01-11,10,3,0.0,8.7,3,0,06:36 AM,05:23 PM,06:57 AM,05:03 PM,-4,4,7,4,23,4,47,0.0,1020,10,10,286,15,Fullerton
2013-01-12,10,3,0.0,8.7,3,0,07:24 AM,06:32 PM,06:57 AM,05:04 PM,-4,6,8,6,18,3,45,0.0,1020,10,10,111,11,Fullerton
2013-01-13,11,3,0.0,8.7,3,5,08:06 AM,07:39 PM,06:57 AM,05:05 PM,-7,5,8,5,21,12,37,0.0,1020,11,10,132,13,Fullerton
2013-01-14,11,2,0.0,8.7,3,12,08:44 AM,08:43 PM,06:57 AM,05:05 PM,-13,4,7,4,28,6,25,0.0,1026,11,10,70,16,Fullerton
2013-01-15,14,4,0.0,8.7,3,20,09:20 AM,09:45 PM,06:57 AM,05:06 PM,-6,9,11,9,18,1,31,0.0,1030,14,10,184,11,Fullerton
2013-01-16,19,8,0.0,8.7,4,27,09:53 AM,10:44 PM,06:56 AM,05:07 PM,-0,12,14,12,25,0,39,0.0,1026,19,10,101,14,Fullerton
2013-01-17,22,10,0.0,8.7,5,34,10:26 AM,11:42 PM,06:56 AM,05:08 PM,2,16,17,16,25,0,39,0.0,1022,22,10,30,14,Fullerton
2013-01-18,22,11,0.0,8.7,5,41,11:00 AM,No moonset,06:56 AM,05:09 PM,3,18,18,18,21,0,38,0.0,1021,22,10,63,11,Fullerton
2013-01-19,22,11,0.0,8.7,5,49,11:36 AM,12:37 AM,06:55 AM,05:10 PM,1,17,18,17,22,0,32,0.0,1022,22,10,63,12,Fullerton
2013-01-20,23,12,0.0,8.7,5,56,12:14 PM,01:33 AM,06:55 AM,05:11 PM,-1,18,18,18,23,0,28,0.0,1020,23,10,112,12,Fullerton
2013-01-21,23,12,0.0,8.7,5,63,12:56 PM,02:26 AM,06:55 AM,05:12 PM,0,19,19,19,20,0,29,0.0,1019,23,10,104,11,Fullerton
2013-01-22,24,13,0.0,8.7,5,70,01:42 PM,03:18 AM,06:54 AM,05:13 PM,0,19,19,19,14,3,29,0.0,1019,24,10,117,8,Fullerton
2013-01-23,23,14,0.0,8.7,5,78,02:30 PM,04:06 AM,06:54 AM,05:14 PM,0,18,18,18,21,46,32,0.0,1018,23,10,113,12,Fullerton
2013-01-24,17,13,0.0,5.6,3,85,03:23 PM,04:52 AM,06:53 AM,05:15 PM,11,14,15,14,12,67,77,0.8,1021,17,10,109,8,Fullerton
2013-01-25,17,14,0.0,5.6,4,92,04:18 PM,05:35 AM,06:53 AM,05:16 PM,11,16,16,16,13,66,75,3.4,1018,17,8,129,7,Fullerton
2013-01-26,17,12,0.0,8.7,4,100,05:15 PM,06:14 AM,06:52 AM,05:17 PM,12,14,15,14,8,69,86,2.7,1013,17,9,192,6,Fullerton
2013-01-27,13,9,0.0,4.0,3,100,06:12 PM,06:51 AM,06:51 AM,05:18 PM,10,11,12,11,12,57,88,2.0,1016,13,7,217,8,Fullerton
2013-01-28,13,5,0.0,8.7,3,86,07:11 PM,07:26 AM,06:51 AM,05:19 PM,-1,7,9,7,24,10,51,0.3,1020,13,10,251,15,Fullerton
2013-01-29,13,6,0.0,8.7,3,79,08:09 PM,08:00 AM,06:50 AM,05:20 PM,3,11,11,11,10,4,57,0.0,1023,13,10,118,7,Fullerton
2013-01-30,18,8,0.0,8.7,4,71,09:10 PM,08:33 AM,06:50 AM,05:21 PM,6,15,16,15,9,0,54,0.0,1025,18,10,160,7,Fullerton
2013-01-31,22,10,0.0,8.7,4,68,10:11 PM,09:07 AM,06:49 AM,05:22 PM,4,17,18,17,16,0,42,0.0,1022,22,10,176,10,Fullerton
2013-02-01,22,11,0.0,8.7,5,51,11:14 PM,09:43 AM,06:48 AM,05:23 PM,4,18,18,18,10,20,41,0.0,1021,22,10,131,7,Fullerton
2013-02-02,22,13,0.0,8.7,5,44,No moonrise,10:22 AM,06:47 AM,05:24 PM,5,18,18,18,14,48,45,0.0,1022,22,10,119,7,Fullerton
2013-02-03,21,13,0.0,8.7,5,36,12:18 AM,11:07 AM,06:47 AM,05:25 PM,8,17,17,17,15,20,57,0.1,1019,21,10,125,8,Fullerton
2013-02-04,19,10,0.0,8.7,4,29,01:23 AM,11:57 AM,06:46 AM,05:26 PM,9,17,17,17,8,0,60,0.0,1017,19,10,142,7,Fullerton
2013-02-05,14,8,0.0,8.7,4,21,02:26 AM,12:53 PM,06:45 AM,05:27 PM,10,13,13,13,7,20,82,0.1,1016,14,9,181,6,Fullerton
2013-02-06,16,8,0.0,8.7,4,14,03:27 AM,01:56 PM,06:44 AM,05:28 PM,8,13,13,13,7,17,75,0.1,1017,16,8,232,6,Fullerton
2013-02-07,15,6,0.0,8.7,3,6,04:22 AM,03:02 PM,06:43 AM,05:29 PM,7,13,13,13,9,19,69,0.1,1017,15,10,186,7,Fullerton
2013-02-08,10,5,0.0,8.7,3,0,05:13 AM,04:09 PM,06:42 AM,05:30 PM,4,6,8,6,18,31,75,3.3,1014,10,10,227,13,Fullerton
2013-02-09,11,3,0.0,8.7,3,0,05:57 AM,05:17 PM,06:42 AM,05:31 PM,4,8,9,8,10,3,71,0.1,1016,11,10,120,7,Fullerton
2013-02-10,12,5,0.0,7.2,3,0,06:37 AM,06:22 PM,06:41 AM,05:32 PM,5,9,10,9,11,28,73,0.0,1018,12,10,137,8,Fullerton
2013-02-11,14,5,0.0,8.7,3,1,07:15 AM,07:26 PM,06:40 AM,05:33 PM,2,11,11,11,10,4,57,0.1,1021,14,10,137,7,Fullerton
2013-02-12,15,6,0.0,8.7,3,9,07:50 AM,08:27 PM,06:39 AM,05:34 PM,-1,13,13,13,12,1,41,0.0,1025,15,10,129,8,Fullerton
2013-02-13,18,7,0.0,8.7,4,16,08:23 AM,09:28 PM,06:38 AM,05:35 PM,3,15,15,15,9,0,48,0.0,1023,18,10,117,7,Fullerton
2013-02-14,20,9,0.0,8.7,4,24,08:58 AM,10:25 PM,06:37 AM,05:36 PM,6,17,18,17,13,0,49,0.0,1021,20,10,174,8,Fullerton
2013-02-15,23,13,0.0,8.7,5,31,09:34 AM,11:22 PM,06:36 AM,05:36 PM,3,18,18,18,23,23,37,0.0,1022,23,10,74,12,Fullerton
2013-02-16,24,13,0.0,7.2,5,39,10:12 AM,No moonset,06:35 AM,05:37 PM,1,18,19,18,19,24,33,0.0,1019,24,10,126,11,Fullerton
2013-02-17,17,9,0.0,8.7,4,46,10:52 AM,12:16 AM,06:34 AM,05:38 PM,8,15,15,15,12,3,65,0.0,1014,17,10,161,9,Fullerton
2013-02-18,15,8,0.0,8.7,4,54,11:37 AM,01:09 AM,06:32 AM,05:39 PM,9,12,12,12,11,20,81,0.0,1016,15,9,163,8,Fullerton
2013-02-19,11,7,0.0,7.2,3,62,12:24 PM,01:59 AM,06:31 AM,05:40 PM,6,8,9,8,17,53,80,0.2,1011,11,10,196,12,Fullerton
2013-02-20,12,3,0.0,8.7,3,69,01:15 PM,02:46 AM,06:30 AM,05:41 PM,2,6,9,6,27,3,66,2.5,1010,12,10,256,17,Fullerton
2013-02-21,13,5,0.0,8.7,3,77,02:08 PM,03:30 AM,06:29 AM,05:42 PM,2,10,11,10,13,6,58,0.1,1017,13,10,147,8,Fullerton
2013-02-22,16,7,0.0,8.7,4,84,03:04 PM,04:11 AM,06:28 AM,05:43 PM,3,13,13,13,12,4,51,0.0,1021,16,10,162,8,Fullerton
2013-02-23,16,7,0.0,8.7,4,92,04:01 PM,04:49 AM,06:27 AM,05:44 PM,5,13,13,13,8,1,59,0.0,1017,16,10,173,6,Fullerton
2013-02-24,17,7,0.0,8.7,4,99,05:00 PM,05:25 AM,06:26 AM,05:44 PM,-4,11,13,11,24,3,33,0.0,1020,17,10,110,14,Fullerton
2013-02-25,18,8,0.0,8.7,4,100,06:00 PM,06:00 AM,06:24 AM,05:45 PM,-1,13,14,13,14,5,39,0.0,1021,18,10,156,10,Fullerton
2013-02-26,19,7,0.0,8.7,4,86,07:01 PM,06:34 AM,06:23 AM,05:46 PM,1,13,14,13,14,4,42,0.0,1018,19,10,139,8,Fullerton
2013-02-27,20,11,0.0,8.7,4,78,08:03 PM,07:09 AM,06:22 AM,05:47 PM,0,17,17,17,21,0,33,0.0,1023,20,10,100,12,Fullerton
2013-02-28,23,12,0.0,8.7,5,71,09:07 PM,07:45 AM,06:21 AM,05:48 PM,0,18,18,18,20,0,30,0.0,1026,23,10,137,11,Fullerton
2013-03-01,26,15,0.0,8.7,5,68,10:11 PM,08:24 AM,06:20 AM,05:49 PM,1,21,21,21,20,0,28,0.0,1025,26,10,112,10,Fullerton
2013-03-02,25,13,0.0,8.7,5,61,11:16 PM,09:07 AM,06:18 AM,05:50 PM,3,20,20,20,15,11,34,0.0,1021,25,10,153,9,Fullerton
2013-03-03,19,11,0.0,8.7,4,53,No moonrise,09:55 AM,06:17 AM,05:50 PM,7,15,15,15,8,18,62,0.0,1017,19,10,207,6,Fullerton
2013-03-04,17,10,0.0,8.7,4,46,12:19 AM,10:49 AM,06:16 AM,05:51 PM,10,14,14,14,9,12,80,0.0,1017,17,10,166,7,Fullerton
2013-03-05,17,9,0.0,8.7,4,39,01:20 AM,11:48 AM,06:15 AM,05:52 PM,10,13,13,13,10,22,81,0.0,1018,17,9,225,8,Fullerton
2013-03-06,15,9,0.0,8.7,4,32,02:15 AM,12:50 PM,06:13 AM,05:53 PM,8,11,12,11,12,38,77,0.0,1018,15,10,249,9,Fullerton
2013-03-07,14,9,0.0,7.2,4,24,03:06 AM,01:55 PM,06:12 AM,05:54 PM,7,11,11,11,11,64,74,0.3,1015,14,10,191,8,Fullerton
2013-03-08,12,8,0.0,8.7,2,17,03:51 AM,03:01 PM,06:11 AM,05:54 PM,5,9,10,9,13,46,73,3.3,1012,12,10,230,10,Fullerton
2013-03-09,16,8,0.0,8.7,4,10,04:32 AM,04:05 PM,06:10 AM,05:55 PM,6,12,13,12,10,12,67,0.4,1020,16,10,235,8,Fullerton
