date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01,10,2,0.0,8.7,3,68,09:53 PM,10:00 AM,07:33 AM,05:32 PM,-3,6,7,6,10,7,51,0.0,1023,10,10,136,6,Glendale
2013-01-02,13,3,0.0,8.7,3,60,10:51 PM,10:33 AM,07:34 AM,05:33 PM,-6,6,8,6,22,2,39,0.0,1021,13,10,74,12,Glendale
2013-01-03,14,4,0.0,8.7,3,53,11:51 PM,11:06 AM,07:34 AM,05:34 PM,-6,6,9,6,30,1,37,0.0,1021,14,10,38,16,Glendale
2013-01-04,12,3,0.0,8.7,3,46,No moonrise,11:41 AM,07:34 AM,05:35 PM,-4,6,8,6,22,4,43,0.0,1025,12,10,118,12,Glendale
2013-01-05,13,4,0.0,8.7,3,38,12:53 AM,12:18 PM,07:34 AM,05:36 PM,-6,9,10,9,10,0,34,0.0,1024,13,10,77,6,Glendale
2013-01-06,15,6,0.0,7.1,2,31,01:58 AM,01:00 PM,07:34 AM,05:36 PM,-7,9,10,9,16,49,31,0.0,1018,15,10,122,9,Glendale
2013-01-07,13,4,0.0,8.7,3,24,03:04 AM,01:48 PM,07:34 AM,05:37 PM,-3,9,10,9,12,10,43,0.0,1014,13,10,216,6,Glendale
2013-01-08,16,5,0.0,8.7,3,17,04:11 AM,02:42 PM,07:34 AM,05:38 PM,-5,10,11,10,16,2,34,0.0,1017,16,10,228,8,Glendale
2013-01-09,19,7,0.0,8.7,4,9,05:16 AM,03:44 PM,07:34 AM,05:39 PM,-2,12,13,12,18,4,37,0.0,1020,19,10,72,9,Glendale
2013-01-10,17,8,0.0,7.1,4,2,06:17 AM,04:51 PM,07:34 AM,05:40 PM,-4,11,12,11,18,30,34,0.0,1012,17,10,168,11,Glendale
2013-01-11,9,2,0.0,8.7,3,0,07:12 AM,06:00 PM,07:34 AM,05:41 PM,-7,5,7,5,19,3,39,0.0,1017,9,10,267,12,Glendale
2013-01-12,8,0,0.0,8.7,2,0,08:00 AM,07:09 PM,07:34 AM,05:42 PM,-15,2,4,2,15,9,24,0.0,1019,8,10,163,9,Glendale
2013-01-13,6,-1,0.0,8.7,2,5,08:42 AM,08:15 PM,07:34 AM,05:42 PM,-13,3,4,3,9,10,29,0.0,1021,6,10,199,6,Glendale
2013-01-14,5,-2,0.0,8.7,2,12,09:21 AM,09:20 PM,07:33 AM,05:43 PM,-12,2,3,2,7,7,32,0.0,1023,5,10,288,4,Glendale
2013-01-15,7,-2,0.0,8.7,2,20,09:56 AM,10:21 PM,07:33 AM,05:44 PM,-16,1,3,1,15,1,24,0.0,1030,7,10,105,9,Glendale
2013-01-16,12,1,0.0,8.7,3,27,10:29 AM,11:20 PM,07:33 AM,05:45 PM,-8,6,8,6,15,0,32,0.0,1028,12,10,118,8,Glendale
2013-01-17,19,6,0.0,8.7,4,34,11:03 AM,No moonset,07:33 AM,05:46 PM,-4,10,12,10,26,0,34,0.0,1024,19,10,49,14,Glendale
2013-01-18,20,8,0.0,8.7,4,41,11:38 AM,12:17 AM,07:32 AM,05:47 PM,-2,13,14,13,22,0,34,0.0,1022,20,10,108,11,Glendale
2013-01-19,20,8,0.0,8.7,4,49,12:13 PM,01:13 AM,07:32 AM,05:48 PM,-2,14,14,14,18,0,33,0.0,1022,20,10,60,9,Glendale
2013-01-20,20,8,0.0,8.7,4,56,12:52 PM,02:08 AM,07:32 AM,05:49 PM,-5,13,14,13,18,1,27,0.0,1020,20,10,119,9,Glendale
2013-01-21,21,9,0.0,8.7,4,63,01:34 PM,03:01 AM,07:31 AM,05:50 PM,-4,15,16,15,18,6,26,0.0,1018,21,10,98,9,Glendale
2013-01-22,22,11,0.0,8.7,5,70,02:18 PM,03:53 AM,07:31 AM,05:51 PM,-2,16,17,16,16,0,28,0.0,1020,22,10,118,8,Glendale
2013-01-23,23,12,0.0,8.7,5,78,03:08 PM,04:42 AM,07:30 AM,05:52 PM,-3,17,17,17,17,5,26,0.0,1020,23,10,56,9,Glendale
2013-01-24,17,14,0.0,5.5,4,85,04:00 PM,05:28 AM,07:30 AM,05:53 PM,-0,16,15,16,11,59,36,0.0,1022,17,10,96,6,Glendale
2013-01-25,21,13,0.0,8.7,5,92,04:55 PM,06:11 AM,07:29 AM,05:54 PM,8,16,17,16,13,40,56,0.0,1019,21,10,84,7,Glendale
2013-01-26,17,12,0.0,3.8,3,100,05:51 PM,06:50 AM,07:29 AM,05:55 PM,11,14,14,14,12,95,83,15.6,1013,17,9,156,8,Glendale
2013-01-27,17,10,0.0,7.1,3,100,06:48 PM,07:28 AM,07:28 AM,05:56 PM,11,13,13,13,9,71,87,4.3,1014,17,5,177,6,Glendale
2013-01-28,12,9,0.0,8.7,4,86,07:47 PM,08:02 AM,07:28 AM,05:57 PM,4,9,11,9,17,41,65,2.0,1014,12,10,234,12,Glendale
2013-01-29,11,4,0.0,8.7,3,79,08:46 PM,08:36 AM,07:27 AM,05:58 PM,-4,6,8,6,17,13,43,0.0,1019,11,10,279,11,Glendale
2013-01-30,13,5,0.0,8.7,3,71,09:46 PM,09:10 AM,07:26 AM,05:59 PM,-2,9,10,9,12,2,45,0.0,1026,13,10,238,7,Glendale
2013-01-31,17,6,0.0,10.7,4,68,10:47 PM,09:44 AM,07:26 AM,06:00 PM,-1,12,13,12,12,2,41,0.0,1022,17,10,167,7,Glendale
2013-02-01,18,9,0.0,10.8,4,51,11:50 PM,10:20 AM,07:25 AM,06:00 PM,-1,14,14,14,14,3,37,0.0,1021,18,10,116,8,Glendale
