date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01,9,2,0.0,8.7,2,68,09:32 PM,09:44 AM,07:24 AM,05:01 PM,-0,5,6,5,14,7,64,0.0,1024,9,10,86,9,Hayward
2013-01-02,11,2,0.0,8.7,3,60,10:32 PM,10:14 AM,07:24 AM,05:02 PM,2,7,8,7,13,0,64,0.0,1022,11,10,77,8,Hayward
2013-01-03,11,2,0.0,8.7,3,53,11:35 PM,10:45 AM,07:24 AM,05:03 PM,-2,6,7,6,10,7,56,0.0,1022,11,10,61,6,Hayward
2013-01-04,12,3,0.0,8.7,3,46,No moonrise,11:18 AM,07:24 AM,05:03 PM,-1,7,8,7,11,18,57,0.0,1023,12,10,79,6,Hayward
2013-01-05,12,4,0.0,5.4,3,38,12:39 AM,11:53 AM,07:24 AM,05:04 PM,5,7,8,7,12,70,80,5.5,1022,12,10,158,7,Hayward
2013-01-06,9,5,0.0,8.7,3,31,01:46 AM,12:33 PM,07:24 AM,05:05 PM,5,6,8,6,11,45,86,2.0,1021,9,10,178,8,Hayward
2013-01-07,11,3,0.0,8.7,3,24,02:54 AM,01:20 PM,07:24 AM,05:06 PM,4,8,8,8,8,7,75,0.0,1022,11,10,181,5,Hayward
2013-01-08,13,5,0.0,8.7,3,17,04:02 AM,02:13 PM,07:24 AM,05:07 PM,6,10,10,10,10,16,78,0.0,1022,13,10,56,5,Hayward
2013-01-09,11,5,0.0,7.0,3,9,05:08 AM,03:15 PM,07:24 AM,05:08 PM,5,7,9,7,17,24,77,0.0,1019,11,10,231,11,Hayward
2013-01-10,8,3,0.0,8.7,3,2,06:08 AM,04:22 PM,07:24 AM,05:09 PM,0,3,6,3,24,10,67,0.0,1020,8,10,303,15,Hayward
2013-01-11,9,1,0.0,8.7,2,0,07:01 AM,05:33 PM,07:24 AM,05:10 PM,-0,3,5,3,18,25,70,0.6,1022,9,10,268,10,Hayward
2013-01-12,7,0,0.0,8.7,2,0,07:48 AM,06:44 PM,07:23 AM,05:11 PM,-0,4,5,4,9,11,69,0.0,1022,7,10,128,5,Hayward
2013-01-13,7,-1,0.0,8.7,2,5,08:27 AM,07:53 PM,07:23 AM,05:12 PM,-5,3,5,3,14,8,51,0.0,1023,7,10,161,8,Hayward
2013-01-14,8,-1,0.0,8.7,2,12,09:04 AM,08:59 PM,07:23 AM,05:13 PM,-6,3,5,3,12,1,47,0.0,1027,8,10,99,8,Hayward
2013-01-15,10,1,0.0,8.7,2,20,09:37 AM,10:03 PM,07:22 AM,05:14 PM,0,7,8,7,9,0,59,0.0,1030,10,10,106,5,Hayward
2013-01-16,12,2,0.0,8.7,3,27,10:08 AM,11:04 PM,07:22 AM,05:15 PM,-2,7,8,7,14,0,49,0.0,1027,12,10,79,8,Hayward
2013-01-17,14,4,0.0,8.7,3,34,10:40 AM,No moonset,07:22 AM,05:16 PM,0,8,10,8,18,2,53,0.0,1022,14,10,72,10,Hayward
2013-01-18,14,5,0.0,8.7,3,41,11:12 AM,12:03 AM,07:21 AM,05:17 PM,0,10,11,10,15,0,49,0.0,1021,14,10,69,9,Hayward
2013-01-19,15,5,0.0,8.7,3,49,11:47 AM,01:01 AM,07:21 AM,05:18 PM,-0,8,9,8,15,30,53,0.0,1022,15,10,73,8,Hayward
2013-01-20,15,5,0.0,8.7,3,56,12:23 PM,01:57 AM,07:20 AM,05:20 PM,1,9,10,9,15,22,54,0.0,1021,15,10,74,8,Hayward
2013-01-21,15,4,0.0,8.7,3,63,01:05 PM,02:52 AM,07:20 AM,05:21 PM,1,10,11,10,15,0,50,0.0,1020,15,10,79,9,Hayward
2013-01-22,16,6,0.0,8.7,4,70,01:50 PM,03:44 AM,07:19 AM,05:22 PM,-1,10,11,10,15,30,43,0.0,1017,16,10,95,8,Hayward
