date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01,14,6,0.0,8.7,3,68,09:16 PM,09:23 AM,06:56 AM,04:54 PM,-0,11,12,11,12,11,45,0.0,1023,14,10,58,7,Irvine
2013-01-02,16,7,0.0,8.7,4,60,10:15 PM,09:56 AM,06:56 AM,04:55 PM,1,13,14,13,15,0,43,0.0,1020,16,10,145,9,Irvine
2013-01-03,18,9,0.0,8.7,4,53,11:15 PM,10:29 AM,06:56 AM,04:56 PM,4,15,16,15,14,0,46,0.0,1020,18,10,147,9,Irvine
2013-01-04,17,8,0.0,8.7,4,46,No moonrise,11:04 AM,06:56 AM,04:57 PM,1,15,15,15,9,0,40,0.0,1023,17,10,169,6,Irvine
2013-01-05,16,7,0.0,8.7,4,38,12:17 AM,11:41 AM,06:57 AM,04:57 PM,0,13,13,13,9,15,44,0.0,1024,16,10,159,6,Irvine
2013-01-06,12,8,0.0,8.7,3,31,01:22 AM,12:23 PM,06:57 AM,04:58 PM,5,10,10,10,9,30,73,0.4,1020,12,10,214,7,Irvine
2013-01-07,17,7,0.0,8.7,4,24,02:28 AM,01:11 PM,06:57 AM,04:59 PM,2,11,12,11,24,4,52,0.4,1017,17,10,260,14,Irvine
2013-01-08,19,10,0.0,8.7,4,17,03:35 AM,02:06 PM,06:57 AM,05:00 PM,6,17,17,17,11,1,49,0.0,1019,19,10,173,7,Irvine
2013-01-09,17,10,0.0,7.1,4,9,04:40 AM,03:07 PM,06:57 AM,05:01 PM,7,13,14,13,10,49,65,0.0,1018,17,10,226,7,Irvine
2013-01-10,12,7,0.0,8.7,4,2,05:41 AM,04:14 PM,06:57 AM,05:02 PM,4,8,10,8,30,30,68,1.3,1015,12,10,267,20,Irvine
2013-01-11,11,4,0.0,8.7,3,0,06:35 AM,05:23 PM,06:56 AM,05:03 PM,-3,5,8,5,24,4,49,0.0,1020,11,10,284,15,Irvine
2013-01-12,11,4,0.0,8.7,3,0,07:23 AM,06:32 PM,06:56 AM,05:04 PM,-3,7,9,7,16,3,47,0.0,1020,11,10,117,10,Irvine
2013-01-13,11,4,0.0,8.7,3,5,08:06 AM,07:39 PM,06:56 AM,05:05 PM,-5,6,8,6,19,12,40,0.0,1020,11,10,138,12,Irvine
2013-01-14,11,3,0.0,8.7,3,12,08:44 AM,08:43 PM,06:56 AM,05:05 PM,-11,5,8,5,27,7,27,0.0,1026,11,10,115,16,Irvine
2013-01-15,14,4,0.0,8.7,3,20,09:19 AM,09:45 PM,06:56 AM,05:06 PM,-4,10,11,10,14,1,34,0.0,1030,14,10,181,10,Irvine
2013-01-16,18,7,0.0,8.7,4,27,09:53 AM,10:43 PM,06:55 AM,05:07 PM,2,14,14,14,17,0,45,0.0,1026,18,10,139,11,Irvine
2013-01-17,21,10,0.0,8.7,4,34,10:26 AM,11:41 PM,06:55 AM,05:08 PM,5,17,18,17,18,0,44,0.0,1022,21,10,32,10,Irvine
