date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01,7,-1,0.0,8.7,2,68,09:17 PM,09:25 AM,07:00 AM,04:53 PM,-10,-2,2,-2,24,7,44,0.0,1024,7,10,102,15,Lancaster
2013-01-02,10,-1,0.0,8.7,2,60,10:16 PM,09:58 AM,07:00 AM,04:54 PM,-9,1,4,1,24,0,40,0.0,1021,10,10,68,13,Lancaster
2013-01-03,10,1,0.0,8.7,2,53,11:17 PM,10:30 AM,07:00 AM,04:55 PM,-7,2,5,2,22,0,45,0.0,1022,10,10,60,12,Lancaster
2013-01-04,11,1,0.0,8.7,2,46,No moonrise,11:04 AM,07:00 AM,04:55 PM,-9,2,5,2,17,2,38,0.0,1024,11,10,59,9,Lancaster
2013-01-05,12,1,0.0,8.7,3,38,12:19 AM,11:41 AM,07:00 AM,04:56 PM,-12,3,5,3,15,11,29,0.0,1024,12,10,91,9,Lancaster
2013-01-06,8,2,0.0,8.7,2,31,01:25 AM,12:22 PM,07:00 AM,04:57 PM,-1,1,4,1,20,28,69,0.2,1020,8,10,252,13,Lancaster
2013-01-07,11,-2,0.0,8.7,2,24,02:31 AM,01:10 PM,07:00 AM,04:58 PM,-5,1,4,1,25,7,56,0.0,1019,11,10,295,14,Lancaster
2013-01-08,16,4,0.0,8.7,3,17,03:39 AM,02:04 PM,07:00 AM,04:59 PM,-2,7,9,7,20,3,49,0.0,1020,16,10,170,11,Lancaster
2013-01-09,17,6,0.0,5.4,4,9,04:44 AM,03:06 PM,07:00 AM,05:00 PM,0,8,10,8,23,43,52,0.0,1018,17,10,137,13,Lancaster
2013-01-10,5,-3,0.0,8.7,2,2,05:45 AM,04:13 PM,07:00 AM,05:01 PM,-4,-3,2,-3,36,13,69,0.3,1015,5,9,281,25,Lancaster
2013-01-11,3,-5,0.0,8.7,2,0,06:38 AM,05:23 PM,07:00 AM,05:02 PM,-8,-8,-2,-8,29,5,67,0.0,1021,3,10,303,19,Lancaster
