date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01,14,7,0.0,8.7,4,68,09:18 PM,09:25 AM,06:58 AM,04:56 PM,-1,11,12,11,14,11,42,0.0,1023,14,10,49,9,Long-Beach
2013-01-02,16,8,0.0,8.7,4,60,10:16 PM,09:58 AM,06:58 AM,04:56 PM,2,14,15,14,15,0,41,0.0,1020,16,10,145,10,Long-Beach
2013-01-03,18,10,0.0,8.7,4,53,11:17 PM,10:30 AM,06:58 AM,04:57 PM,4,16,17,16,16,0,43,0.0,1020,18,10,142,11,Long-Beach
2013-01-04,17,10,0.0,8.7,4,46,No moonrise,11:05 AM,06:58 AM,04:58 PM,1,15,16,15,11,1,39,0.0,1023,17,10,158,8,Long-Beach
2013-01-05,16,9,0.0,8.7,4,38,12:18 AM,11:43 AM,06:58 AM,04:59 PM,1,13,13,13,11,15,43,0.0,1024,16,10,196,7,Long-Beach
2013-01-06,12,7,0.0,8.7,3,31,01:23 AM,12:24 PM,06:58 AM,05:00 PM,6,10,11,10,11,28,72,0.2,1020,12,10,207,8,Long-Beach
2013-01-07,18,7,0.0,8.7,4,24,02:29 AM,01:12 PM,06:58 AM,05:00 PM,2,12,13,12,26,4,48,0.4,1018,18,10,257,15,Long-Beach
2013-01-08,19,11,0.0,8.7,4,17,03:37 AM,02:07 PM,06:58 AM,05:01 PM,5,17,18,17,13,1,46,0.0,1019,19,10,84,9,Long-Beach
2013-01-09,17,10,0.0,7.1,4,9,04:42 AM,03:09 PM,06:58 AM,05:02 PM,7,14,14,14,9,49,62,0.0,1018,17,10,245,6,Long-Beach
2013-01-10,12,8,0.0,8.7,4,2,05:43 AM,04:15 PM,06:58 AM,05:03 PM,4,9,11,9,28,17,65,0.3,1016,12,10,277,19,Long-Beach
2013-01-11,11,5,0.0,8.7,3,0,06:37 AM,05:25 PM,06:58 AM,05:04 PM,-2,6,9,6,24,4,47,0.0,1021,11,10,286,17,Long-Beach
2013-01-12,11,4,0.0,8.7,3,0,07:25 AM,06:33 PM,06:58 AM,05:05 PM,-2,7,9,7,18,3,45,0.0,1020,11,10,109,12,Long-Beach
2013-01-13,11,5,0.0,8.7,3,5,08:07 AM,07:41 PM,06:58 AM,05:06 PM,-4,7,9,7,20,11,40,0.0,1020,11,10,131,14,Long-Beach
2013-01-14,11,3,0.0,8.7,3,12,08:45 AM,08:44 PM,06:58 AM,05:07 PM,-10,5,8,5,26,5,28,0.0,1026,11,10,68,16,Long-Beach
2013-01-15,13,6,0.0,8.7,3,20,09:21 AM,09:46 PM,06:57 AM,05:08 PM,-4,11,12,11,15,1,33,0.0,1030,13,10,178,11,Long-Beach
2013-01-16,18,9,0.0,8.7,4,27,09:54 AM,10:45 PM,06:57 AM,05:09 PM,2,14,15,14,21,0,43,0.0,1026,18,10,136,13,Long-Beach
2013-01-17,21,11,0.0,8.7,5,34,10:27 AM,11:43 PM,06:57 AM,05:10 PM,5,18,18,18,23,0,43,0.0,1022,21,10,69,13,Long-Beach
2013-01-18,21,12,0.0,8.7,5,41,11:02 AM,No moonset,06:57 AM,05:11 PM,6,19,19,19,18,0,41,0.0,1021,21,10,61,11,Long-Beach
2013-01-19,21,12,0.0,8.7,5,49,11:38 AM,12:38 AM,06:56 AM,05:12 PM,4,19,19,19,20,0,37,0.0,1021,21,10,61,11,Long-Beach
