date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01,12,6,0.0,8.7,3,68,09:22 PM,09:29 AM,07:03 AM,04:58 PM,-1,8,9,8,16,11,52,0.0,1022,12,10,77,10,Oxnard
2013-01-02,15,8,0.0,8.7,4,60,10:20 PM,10:02 AM,07:03 AM,04:59 PM,1,11,12,11,18,0,47,0.0,1020,15,10,119,9,Oxnard
2013-01-03,15,10,0.0,8.7,4,53,11:21 PM,10:34 AM,07:03 AM,05:00 PM,2,12,13,12,16,0,47,0.0,1020,15,10,128,9,Oxnard
2013-01-04,15,9,0.0,8.7,4,46,No moonrise,11:09 AM,07:03 AM,05:01 PM,0,11,12,11,15,4,46,0.0,1023,15,10,144,8,Oxnard
2013-01-05,14,8,0.0,8.7,4,38,12:23 AM,11:46 AM,07:03 AM,05:02 PM,1,11,11,11,11,10,52,0.0,1023,14,10,190,7,Oxnard
2013-01-06,10,8,0.0,8.7,3,31,01:28 AM,12:27 PM,07:03 AM,05:02 PM,5,7,9,7,21,21,76,0.5,1020,10,9,246,14,Oxnard
2013-01-07,15,6,0.0,8.7,4,24,02:34 AM,01:16 PM,07:03 AM,05:03 PM,1,8,10,8,31,9,54,0.0,1019,15,10,215,17,Oxnard
2013-01-08,17,11,0.0,8.7,4,17,03:42 AM,02:10 PM,07:03 AM,05:04 PM,5,14,14,14,16,2,54,0.0,1019,17,10,96,9,Oxnard
2013-01-09,15,10,0.0,3.8,3,9,04:47 AM,03:12 PM,07:03 AM,05:05 PM,6,12,12,12,8,66,64,0.0,1018,15,10,158,5,Oxnard
2013-01-10,10,6,0.0,8.7,3,2,05:48 AM,04:18 PM,07:03 AM,05:06 PM,2,5,8,5,30,5,63,0.1,1017,10,10,310,22,Oxnard
2013-01-11,9,4,0.0,8.7,3,0,06:42 AM,05:28 PM,07:03 AM,05:07 PM,-2,4,7,4,23,6,55,0.0,1022,9,10,334,15,Oxnard
2013-01-12,9,4,0.0,8.7,3,0,07:30 AM,06:37 PM,07:03 AM,05:08 PM,-3,4,6,4,19,6,54,0.0,1021,9,10,155,12,Oxnard
2013-01-13,9,4,0.0,8.7,3,5,08:12 AM,07:44 PM,07:03 AM,05:09 PM,-5,3,6,3,24,12,46,0.0,1020,9,10,140,15,Oxnard
2013-01-14,9,3,0.0,8.7,3,12,08:49 AM,08:48 PM,07:03 AM,05:10 PM,-8,4,6,4,21,6,34,0.0,1026,9,10,147,12,Oxnard
2013-01-15,11,5,0.0,8.7,3,20,09:25 AM,09:50 PM,07:02 AM,05:11 PM,-5,9,10,9,10,0,36,0.0,1030,11,10,122,7,Oxnard
2013-01-16,15,8,0.0,8.7,4,27,09:58 AM,10:49 PM,07:02 AM,05:12 PM,3,11,12,11,14,0,54,0.0,1026,15,10,112,8,Oxnard
2013-01-17,17,11,0.0,8.7,4,34,10:31 AM,11:47 PM,07:02 AM,05:13 PM,3,13,14,13,21,0,48,0.0,1021,17,10,80,11,Oxnard
