date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01,6,-1,0.0,8.7,2,68,09:17 PM,09:25 AM,07:00 AM,04:53 PM,-10,-2,2,-2,25,10,43,0.0,1024,6,10,51,16,Palmdale
2013-01-02,9,-1,0.0,8.7,2,60,10:16 PM,09:57 AM,07:00 AM,04:54 PM,-8,0,4,0,27,0,42,0.0,1021,9,10,57,15,Palmdale
2013-01-03,10,1,0.0,8.7,2,53,11:17 PM,10:30 AM,07:00 AM,04:55 PM,-6,2,5,2,25,0,48,0.0,1022,10,10,49,14,Palmdale
2013-01-04,10,1,0.0,8.7,2,46,No moonrise,11:04 AM,07:00 AM,04:56 PM,-9,2,4,2,19,2,38,0.0,1024,10,10,51,10,Palmdale
2013-01-05,11,1,0.0,8.7,2,38,12:19 AM,11:41 AM,07:00 AM,04:56 PM,-11,3,5,3,15,10,31,0.0,1024,11,10,88,8,Palmdale
2013-01-06,7,1,0.0,8.7,2,31,01:24 AM,12:22 PM,07:00 AM,04:57 PM,-1,0,4,0,22,39,71,0.0,1020,7,10,247,14,Palmdale
2013-01-07,11,-2,0.0,8.7,2,24,02:31 AM,01:10 PM,07:00 AM,04:58 PM,-6,1,4,1,26,7,54,0.1,1019,11,10,262,15,Palmdale
2013-01-08,16,4,0.0,8.7,3,17,03:38 AM,02:05 PM,07:00 AM,04:59 PM,-2,7,9,7,22,3,48,0.0,1020,16,10,81,12,Palmdale
2013-01-09,16,6,0.0,3.8,2,9,04:43 AM,03:06 PM,07:00 AM,05:00 PM,0,8,10,8,24,51,53,0.0,1018,16,10,135,14,Palmdale
2013-01-10,5,-3,0.0,8.7,2,2,05:44 AM,04:13 PM,07:00 AM,05:01 PM,-4,-3,2,-3,37,17,69,0.0,1015,5,10,273,26,Palmdale
2013-01-11,3,-5,0.0,8.7,2,0,06:38 AM,05:23 PM,07:00 AM,05:02 PM,-9,-8,-2,-8,29,5,65,0.0,1021,3,10,305,18,Palmdale
2013-01-12,3,-5,0.0,8.7,2,0,07:26 AM,06:32 PM,07:00 AM,05:03 PM,-9,-5,-1,-5,16,8,61,0.0,1021,3,10,107,9,Palmdale
2013-01-13,4,-5,0.0,8.7,2,5,08:08 AM,07:39 PM,06:59 AM,05:04 PM,-14,-5,-1,-5,25,11,36,0.0,1021,4,10,108,14,Palmdale
2013-01-14,2,-6,0.0,8.7,2,12,08:45 AM,08:44 PM,06:59 AM,05:05 PM,-17,-7,-2,-7,25,5,33,0.0,1027,2,10,55,15,Palmdale
2013-01-15,6,-3,0.0,8.7,2,20,09:20 AM,09:46 PM,06:59 AM,05:06 PM,-13,-3,1,-3,22,1,35,0.0,1031,6,10,52,13,Palmdale
2013-01-16,9,-1,0.0,8.7,2,27,09:54 AM,10:45 PM,06:59 AM,05:07 PM,-6,1,4,1,28,0,48,0.0,1027,9,10,54,15,Palmdale
2013-01-17,12,2,0.0,8.7,3,34,10:26 AM,11:43 PM,06:58 AM,05:08 PM,-4,4,7,4,30,0,48,0.0,1023,12,10,54,17,Palmdale
2013-01-18,14,3,0.0,8.7,3,41,11:00 AM,No moonset,06:58 AM,05:08 PM,-5,5,8,5,28,0,39,0.0,1022,14,10,43,16,Palmdale
2013-01-19,15,3,0.0,8.7,3,49,11:36 AM,12:39 AM,06:58 AM,05:09 PM,-8,6,8,6,27,0,33,0.0,1023,15,10,46,15,Palmdale
2013-01-20,15,3,0.0,8.7,3,56,12:14 PM,01:35 AM,06:57 AM,05:10 PM,-11,6,9,6,27,0,24,0.0,1021,15,10,52,15,Palmdale
2013-01-21,16,4,0.0,8.7,3,63,12:55 PM,02:28 AM,06:57 AM,05:11 PM,-8,8,10,8,25,0,29,0.0,1020,16,10,48,14,Palmdale
2013-01-22,17,5,0.0,8.7,4,70,01:41 PM,03:20 AM,06:56 AM,05:12 PM,-7,9,10,9,23,3,29,0.0,1019,17,10,53,13,Palmdale
2013-01-23,19,8,0.0,8.7,4,78,02:30 PM,04:09 AM,06:56 AM,05:14 PM,-7,11,12,11,19,54,27,0.0,1019,19,10,109,11,Palmdale
2013-01-24,13,8,0.0,4.0,2,85,03:22 PM,04:55 AM,06:55 AM,05:15 PM,6,9,10,9,14,78,78,1.7,1021,13,10,106,9,Palmdale
2013-01-25,12,8,0.0,7.1,3,92,04:17 PM,05:38 AM,06:55 AM,05:16 PM,5,8,10,8,20,52,73,0.4,1019,12,9,47,12,Palmdale
2013-01-26,14,8,0.0,8.7,3,100,05:14 PM,06:16 AM,06:54 AM,05:17 PM,6,8,10,8,19,48,80,1.3,1013,14,8,218,13,Palmdale
2013-01-27,7,-1,0.0,8.7,2,100,06:12 PM,06:53 AM,06:54 AM,05:18 PM,1,1,5,1,29,28,79,0.5,1015,7,10,275,20,Palmdale
2013-01-28,5,-3,0.0,8.7,2,86,07:11 PM,07:28 AM,06:53 AM,05:19 PM,-6,-4,1,-4,28,8,65,0.0,1020,5,10,319,18,Palmdale
