date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01,19,9,0.0,3.8,3,68,09:44 PM,09:48 AM,07:16 AM,05:33 PM,12,11,13,11,27,71,91,8.9,1017,19,8,151,19,Pasadena
2013-01-02,8,5,0.0,3.8,2,60,10:40 PM,10:22 AM,07:17 AM,05:34 PM,4,3,6,3,22,80,85,1.8,1024,8,9,138,16,Pasadena
2013-01-03,11,4,0.0,8.7,3,53,11:39 PM,10:57 AM,07:17 AM,05:35 PM,2,4,7,4,23,37,70,0.0,1028,11,10,57,16,Pasadena
2013-01-04,10,6,0.0,8.7,3,46,No moonrise,11:34 AM,07:17 AM,05:36 PM,3,5,8,5,23,42,72,0.1,1030,10,10,31,15,Pasadena
2013-01-05,8,6,0.0,3.8,2,38,12:38 AM,12:13 PM,07:17 AM,05:36 PM,5,5,7,5,17,92,83,2.6,1027,8,7,66,12,Pasadena
2013-01-06,14,5,0.0,8.7,3,31,01:41 AM,12:56 PM,07:17 AM,05:37 PM,5,6,9,6,23,10,79,0.0,1026,14,10,98,15,Pasadena
2013-01-07,13,5,0.0,7.1,3,24,02:46 AM,01:45 PM,07:17 AM,05:38 PM,5,7,9,7,20,27,79,0.0,1024,13,10,62,13,Pasadena
2013-01-08,18,11,0.0,3.8,4,17,03:52 AM,02:40 PM,07:17 AM,05:39 PM,14,14,15,14,29,95,94,12.2,1015,18,7,96,17,Pasadena
2013-01-09,19,17,0.0,3.8,4,9,04:56 AM,03:42 PM,07:17 AM,05:40 PM,17,18,18,18,25,95,97,41.8,1014,19,7,146,16,Pasadena
2013-01-10,19,13,0.0,8.7,5,2,05:58 AM,04:48 PM,07:17 AM,05:40 PM,13,16,16,16,15,26,84,0.1,1017,19,7,235,9,Pasadena
2013-01-11,21,11,0.0,8.7,5,0,06:54 AM,05:56 PM,07:17 AM,05:41 PM,13,16,17,16,16,28,78,0.2,1015,21,9,175,10,Pasadena
2013-01-12,23,19,0.0,5.5,5,0,07:44 AM,07:03 PM,07:17 AM,05:42 PM,19,21,21,21,33,78,93,1.2,1010,23,9,163,20,Pasadena
2013-01-13,20,8,0.0,7.1,4,5,08:28 AM,08:08 PM,07:17 AM,05:43 PM,9,8,11,8,27,65,87,6.4,1016,20,8,191,20,Pasadena
2013-01-14,8,6,0.0,5.5,3,12,09:09 AM,09:10 PM,07:17 AM,05:44 PM,5,3,7,3,27,79,85,0.8,1021,8,9,68,20,Pasadena
2013-01-15,6,3,0.0,3.9,1,20,09:46 AM,10:09 PM,07:17 AM,05:45 PM,3,1,5,1,24,97,89,2.0,1019,6,8,229,18,Pasadena
2013-01-16,10,2,0.0,8.7,3,27,10:21 AM,11:07 PM,07:17 AM,05:45 PM,-0,2,5,2,26,25,69,0.3,1024,10,9,325,18,Pasadena
2013-01-17,15,3,0.0,8.7,3,34,10:57 AM,No moonset,07:17 AM,05:46 PM,2,7,9,7,20,0,62,0.0,1028,15,10,280,12,Pasadena
2013-01-18,14,6,0.0,8.7,3,41,11:33 AM,12:03 AM,07:16 AM,05:47 PM,6,9,11,9,16,1,73,0.0,1031,14,10,80,10,Pasadena
2013-01-19,18,7,0.0,8.7,4,49,12:09 PM,12:57 AM,07:16 AM,05:48 PM,7,12,12,12,15,21,73,0.0,1026,18,10,155,8,Pasadena
2013-01-20,19,9,0.0,8.7,4,56,12:49 PM,01:51 AM,07:16 AM,05:49 PM,11,15,16,15,10,8,80,0.0,1023,19,9,173,6,Pasadena
