date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01,13,3,0.0,8.7,3,68,09:16 PM,09:23 AM,06:57 AM,04:53 PM,-8,5,7,5,19,10,35,0.0,1023,13,10,52,11,Pomona
2013-01-02,16,5,0.0,8.7,3,60,10:14 PM,09:56 AM,06:57 AM,04:54 PM,-6,8,10,8,26,0,33,0.0,1021,16,10,33,13,Pomona
2013-01-03,17,7,0.0,8.7,4,53,11:15 PM,10:28 AM,06:57 AM,04:55 PM,-4,10,11,10,25,0,37,0.0,1021,17,10,28,14,Pomona
2013-01-04,16,6,0.0,8.7,3,46,No moonrise,11:03 AM,06:57 AM,04:55 PM,-7,10,11,10,15,1,30,0.0,1024,16,10,84,8,Pomona
2013-01-05,16,5,0.0,8.7,3,38,12:17 AM,11:41 AM,06:57 AM,04:56 PM,-7,9,10,9,11,13,33,0.0,1024,16,10,142,7,Pomona
2013-01-06,10,3,0.0,8.7,3,31,01:22 AM,12:22 PM,06:57 AM,04:57 PM,2,6,7,6,12,17,70,0.0,1020,10,10,169,8,Pomona
2013-01-07,17,3,0.0,8.7,3,24,02:28 AM,01:10 PM,06:57 AM,04:58 PM,-5,8,10,8,25,5,41,0.0,1018,17,10,96,14,Pomona
2013-01-08,21,9,0.0,8.7,4,17,03:36 AM,02:04 PM,06:57 AM,04:59 PM,-1,13,14,13,20,1,36,0.0,1019,21,10,98,11,Pomona
2013-01-09,19,8,0.0,8.7,4,9,04:40 AM,03:06 PM,06:57 AM,05:00 PM,3,13,13,13,15,34,54,0.0,1018,19,10,171,9,Pomona
2013-01-10,9,3,0.0,8.7,3,2,05:42 AM,04:13 PM,06:57 AM,05:01 PM,1,5,7,5,21,31,69,0.6,1015,9,9,249,13,Pomona
2013-01-11,8,-1,0.0,8.7,2,0,06:35 AM,05:22 PM,06:57 AM,05:02 PM,-7,1,4,1,21,4,49,0.0,1020,8,10,285,12,Pomona
2013-01-12,9,-0,0.0,8.7,2,0,07:24 AM,06:31 PM,06:57 AM,05:02 PM,-7,2,4,2,17,3,46,0.0,1020,9,10,107,9,Pomona
2013-01-13,9,0,0.0,8.7,2,5,08:06 AM,07:38 PM,06:57 AM,05:03 PM,-11,1,4,1,21,13,34,0.0,1020,9,10,134,12,Pomona
2013-01-14,9,-1,0.0,8.7,2,12,08:44 AM,08:42 PM,06:57 AM,05:04 PM,-17,0,4,0,29,6,22,0.0,1026,9,10,32,16,Pomona
2013-01-15,13,2,0.0,8.7,3,20,09:19 AM,09:44 PM,06:56 AM,05:05 PM,-10,5,7,5,23,1,29,0.0,1031,13,10,63,13,Pomona
2013-01-16,18,6,0.0,8.7,4,27,09:52 AM,10:43 PM,06:56 AM,05:06 PM,-5,9,11,9,33,0,34,0.0,1027,18,10,23,18,Pomona
2013-01-17,21,9,0.0,8.7,4,34,10:25 AM,11:41 PM,06:56 AM,05:07 PM,-2,13,14,13,33,0,36,0.0,1023,21,10,34,18,Pomona
2013-01-18,22,10,0.0,8.7,4,41,10:59 AM,No moonset,06:55 AM,05:08 PM,-2,14,15,14,27,0,33,0.0,1022,22,10,31,15,Pomona
2013-01-19,22,9,0.0,8.7,4,49,11:35 AM,12:37 AM,06:55 AM,05:09 PM,-4,14,15,14,27,0,27,0.0,1022,22,10,74,15,Pomona
2013-01-20,22,10,0.0,8.7,5,56,12:13 PM,01:32 AM,06:55 AM,05:10 PM,-8,14,15,14,28,0,21,0.0,1020,22,10,37,15,Pomona
2013-01-21,23,10,0.0,8.7,5,63,12:55 PM,02:25 AM,06:54 AM,05:11 PM,-6,15,16,15,25,0,22,0.0,1019,23,10,34,14,Pomona
2013-01-22,24,11,0.0,8.7,5,70,01:41 PM,03:17 AM,06:54 AM,05:12 PM,-7,16,16,16,17,2,21,0.0,1019,24,10,93,9,Pomona
2013-01-23,24,12,0.0,8.7,5,78,02:29 PM,04:06 AM,06:53 AM,05:13 PM,-5,17,17,17,21,40,24,0.0,1019,24,10,115,12,Pomona
2013-01-24,17,12,0.0,7.1,4,85,03:22 PM,04:52 AM,06:53 AM,05:14 PM,9,13,14,13,12,56,75,3.7,1021,17,9,89,8,Pomona
2013-01-25,17,13,0.0,4.0,3,92,04:17 PM,05:35 AM,06:52 AM,05:15 PM,9,15,15,15,14,63,70,0.9,1018,17,9,60,8,Pomona
2013-01-26,17,11,0.0,8.7,4,100,05:14 PM,06:14 AM,06:52 AM,05:16 PM,11,13,14,13,8,61,84,1.5,1013,17,10,202,6,Pomona
2013-01-27,12,6,0.0,4.0,2,100,06:11 PM,06:51 AM,06:51 AM,05:17 PM,8,8,10,8,13,54,89,2.2,1015,12,7,211,9,Pomona
2013-01-28,11,2,0.0,8.7,3,86,07:10 PM,07:26 AM,06:50 AM,05:18 PM,-3,4,6,4,20,10,53,0.1,1019,11,10,210,12,Pomona
2013-01-29,13,2,0.0,8.7,3,79,08:09 PM,07:59 AM,06:50 AM,05:19 PM,-0,7,8,7,13,4,57,0.0,1023,13,10,115,7,Pomona
2013-01-30,18,6,0.0,8.7,4,71,09:09 PM,08:32 AM,06:49 AM,05:20 PM,1,12,12,12,13,0,48,0.0,1025,18,10,167,7,Pomona
2013-01-31,22,8,0.0,8.7,4,68,10:10 PM,09:06 AM,06:48 AM,05:21 PM,-2,15,15,15,18,0,33,0.0,1022,22,10,104,10,Pomona
2013-02-01,22,9,0.0,8.7,4,51,11:14 PM,09:42 AM,06:48 AM,05:22 PM,-1,15,16,15,12,19,32,0.0,1021,22,10,87,7,Pomona
2013-02-02,23,12,0.0,8.7,5,44,No moonrise,10:21 AM,06:47 AM,05:23 PM,2,16,17,16,13,44,38,0.0,1022,23,10,102,7,Pomona
2013-02-03,21,11,0.0,8.7,4,36,12:18 AM,11:06 AM,06:46 AM,05:24 PM,5,15,16,15,13,16,52,0.3,1019,21,9,136,7,Pomona
