date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01,13,2,0.0,8.7,3,68,09:14 PM,09:22 AM,06:55 AM,04:52 PM,-8,5,7,5,19,11,35,0.0,1023,13,10,61,11,Riverside
2013-01-02,16,4,0.0,8.7,3,60,10:13 PM,09:54 AM,06:55 AM,04:53 PM,-6,8,10,8,26,0,33,0.0,1021,16,10,38,14,Riverside
2013-01-03,17,6,0.0,8.7,4,53,11:13 PM,10:27 AM,06:55 AM,04:53 PM,-4,9,11,9,23,0,37,0.0,1021,17,10,35,13,Riverside
2013-01-04,16,6,0.0,8.7,3,46,No moonrise,11:02 AM,06:55 AM,04:54 PM,-7,10,11,10,14,0,30,0.0,1024,16,10,88,7,Riverside
2013-01-05,17,4,0.0,8.7,3,38,12:15 AM,11:39 AM,06:56 AM,04:55 PM,-8,9,10,9,11,11,31,0.0,1024,17,10,141,6,Riverside
2013-01-06,10,2,0.0,8.7,3,31,01:20 AM,12:21 PM,06:56 AM,04:56 PM,1,5,6,5,11,18,69,0.0,1020,10,10,169,7,Riverside
2013-01-07,16,3,0.0,8.7,3,24,02:26 AM,01:09 PM,06:56 AM,04:57 PM,-5,8,10,8,23,7,42,0.0,1017,16,10,20,13,Riverside
2013-01-08,21,9,0.0,8.7,4,17,03:34 AM,02:03 PM,06:56 AM,04:58 PM,-1,13,14,13,19,1,37,0.0,1019,21,10,101,10,Riverside
2013-01-09,20,8,0.0,8.7,4,9,04:39 AM,03:05 PM,06:56 AM,04:59 PM,3,13,13,13,14,31,55,0.0,1018,20,10,176,9,Riverside
2013-01-10,9,2,0.0,7.1,3,2,05:40 AM,04:11 PM,06:55 AM,04:59 PM,2,4,7,4,20,43,72,1.5,1014,9,8,235,13,Riverside
2013-01-11,8,-2,0.0,8.7,2,0,06:34 AM,05:21 PM,06:55 AM,05:00 PM,-7,1,4,1,16,3,50,0.0,1020,8,10,241,9,Riverside
2013-01-12,8,-1,0.0,8.7,2,0,07:22 AM,06:30 PM,06:55 AM,05:01 PM,-8,2,4,2,13,3,46,0.0,1020,8,10,114,7,Riverside
2013-01-13,9,-1,0.0,8.7,2,5,08:04 AM,07:37 PM,06:55 AM,05:02 PM,-11,1,4,1,19,13,34,0.0,1020,9,10,138,11,Riverside
2013-01-14,8,-1,0.0,8.7,2,12,08:42 AM,08:41 PM,06:55 AM,05:03 PM,-17,-0,3,-0,28,7,21,0.0,1027,8,10,34,15,Riverside
2013-01-15,13,1,0.0,8.7,3,20,09:17 AM,09:43 PM,06:55 AM,05:04 PM,-10,5,7,5,24,1,28,0.0,1031,13,10,22,13,Riverside
2013-01-16,19,5,0.0,8.7,4,27,09:51 AM,10:42 PM,06:54 AM,05:05 PM,-5,9,11,9,32,0,33,0.0,1027,19,10,27,18,Riverside
2013-01-17,21,8,0.0,8.7,4,34,10:24 AM,11:40 PM,06:54 AM,05:06 PM,-2,13,14,13,32,0,36,0.0,1023,21,10,39,18,Riverside
2013-01-18,22,10,0.0,8.7,4,41,10:58 AM,No moonset,06:54 AM,05:07 PM,-2,14,15,14,25,0,32,0.0,1022,22,10,39,14,Riverside
2013-01-19,22,9,0.0,8.7,4,49,11:34 AM,12:35 AM,06:53 AM,05:08 PM,-5,14,15,14,26,0,25,0.0,1022,22,10,37,14,Riverside
2013-01-20,23,10,0.0,8.7,4,56,12:12 PM,01:31 AM,06:53 AM,05:09 PM,-8,14,15,14,27,0,21,0.0,1020,23,10,43,14,Riverside
2013-01-21,23,10,0.0,8.7,5,63,12:54 PM,02:24 AM,06:53 AM,05:10 PM,-7,15,16,15,25,0,21,0.0,1019,23,10,40,14,Riverside
2013-01-22,24,11,0.0,8.7,5,70,01:40 PM,03:16 AM,06:52 AM,05:11 PM,-8,16,16,16,17,2,20,0.0,1019,24,10,95,9,Riverside
2013-01-23,24,12,0.0,8.7,5,78,02:28 PM,04:04 AM,06:52 AM,05:12 PM,-5,17,17,17,20,35,24,0.0,1019,24,10,125,12,Riverside
2013-01-24,17,12,0.0,7.1,4,85,03:21 PM,04:50 AM,06:51 AM,05:13 PM,9,14,14,14,12,50,73,3.3,1021,17,9,93,8,Riverside
2013-01-25,18,13,0.0,5.6,3,92,04:15 PM,05:33 AM,06:51 AM,05:14 PM,9,14,15,14,15,63,71,0.9,1018,18,9,84,9,Riverside
2013-01-26,16,11,0.0,5.6,3,100,05:12 PM,06:12 AM,06:50 AM,05:15 PM,11,13,13,13,7,73,87,0.8,1013,16,7,236,6,Riverside
2013-01-27,11,5,0.0,4.0,2,100,06:10 PM,06:49 AM,06:49 AM,05:16 PM,8,8,9,8,14,66,90,1.4,1015,11,9,191,11,Riverside
2013-01-28,10,2,0.0,8.7,3,86,07:08 PM,07:24 AM,06:49 AM,05:17 PM,-2,5,6,5,13,8,56,0.5,1019,10,10,211,8,Riverside
2013-01-29,13,1,0.0,8.7,3,79,08:07 PM,07:58 AM,06:48 AM,05:18 PM,-0,7,8,7,10,5,59,0.0,1022,13,10,132,6,Riverside
2013-01-30,18,6,0.0,8.7,4,71,09:08 PM,08:31 AM,06:48 AM,05:19 PM,1,12,13,12,13,0,47,0.0,1025,18,10,174,7,Riverside
2013-01-31,22,8,0.0,8.7,4,68,10:09 PM,09:05 AM,06:47 AM,05:20 PM,-1,15,15,15,17,0,35,0.0,1022,22,10,65,10,Riverside
2013-02-01,23,8,0.0,8.7,4,51,11:12 PM,09:41 AM,06:46 AM,05:21 PM,0,16,16,16,11,20,36,0.0,1021,23,10,84,6,Riverside
2013-02-02,23,11,0.0,8.7,5,44,No moonrise,10:20 AM,06:45 AM,05:22 PM,2,16,16,16,11,39,40,0.0,1022,23,10,132,6,Riverside
2013-02-03,20,10,0.0,8.7,4,36,12:16 AM,11:04 AM,06:45 AM,05:23 PM,6,15,15,15,10,17,56,0.0,1019,20,10,136,6,Riverside
2013-02-04,21,9,0.0,8.7,4,29,01:21 AM,11:55 AM,06:44 AM,05:24 PM,4,15,16,15,10,0,50,0.0,1017,21,10,151,6,Riverside
2013-02-05,16,6,0.0,8.7,4,21,02:24 AM,12:51 PM,06:43 AM,05:25 PM,8,12,12,12,9,7,75,0.0,1015,16,9,210,6,Riverside
2013-02-06,17,6,0.0,8.7,3,14,03:25 AM,01:53 PM,06:42 AM,05:26 PM,4,11,11,11,9,15,66,0.0,1017,17,8,289,6,Riverside
2013-02-07,16,4,0.0,8.7,3,6,04:20 AM,02:59 PM,06:41 AM,05:27 PM,2,10,11,10,11,16,61,0.0,1017,16,9,209,7,Riverside
2013-02-08,7,1,0.0,7.2,2,0,05:11 AM,04:07 PM,06:40 AM,05:28 PM,2,3,5,3,15,44,84,2.0,1013,7,8,176,11,Riverside
2013-02-09,9,-1,0.0,8.7,2,0,05:55 AM,05:15 PM,06:39 AM,05:29 PM,1,3,4,3,8,5,79,0.0,1016,9,10,167,6,Riverside
2013-02-10,11,-0,0.0,8.7,2,0,06:35 AM,06:20 PM,06:39 AM,05:30 PM,1,5,6,5,9,18,74,0.0,1017,11,9,153,6,Riverside
2013-02-11,12,1,0.0,8.7,3,1,07:12 AM,07:24 PM,06:38 AM,05:31 PM,-5,6,7,6,14,4,48,0.0,1020,12,10,144,9,Riverside
2013-02-12,15,2,0.0,8.7,3,9,07:47 AM,08:25 PM,06:37 AM,05:31 PM,-7,9,9,9,13,1,33,0.0,1025,15,10,140,7,Riverside
2013-02-13,19,4,0.0,8.7,4,16,08:21 AM,09:25 PM,06:36 AM,05:32 PM,-2,12,12,12,12,0,41,0.0,1023,19,10,130,7,Riverside
