date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01,9,-0,0.0,8.7,2,68,09:29 PM,09:42 AM,07:24 AM,04:56 PM,-1,3,5,3,15,1,67,0.0,1026,9,10,257,9,Sacramento
2013-01-02,9,0,0.0,8.7,2,60,10:30 PM,10:12 AM,07:24 AM,04:57 PM,-1,5,6,5,10,0,62,0.0,1024,9,10,267,6,Sacramento
2013-01-03,9,0,0.0,8.7,2,53,11:33 PM,10:42 AM,07:24 AM,04:58 PM,-2,4,5,4,11,3,63,0.0,1024,9,10,289,6,Sacramento
2013-01-04,10,1,0.0,8.7,2,46,No moonrise,11:15 AM,07:24 AM,04:59 PM,-1,4,5,4,9,26,68,0.0,1025,10,10,229,5,Sacramento
2013-01-05,11,1,0.0,5.2,3,38,12:38 AM,11:50 AM,07:24 AM,04:59 PM,-1,5,6,5,8,72,65,0.0,1023,11,10,192,5,Sacramento
2013-01-06,9,3,0.0,7.0,2,31,01:45 AM,12:29 PM,07:24 AM,05:00 PM,4,4,5,4,11,49,91,4.5,1021,9,7,204,6,Sacramento
2013-01-07,10,2,0.0,8.7,3,24,02:54 AM,01:15 PM,07:24 AM,05:01 PM,2,5,6,5,12,8,75,0.0,1023,10,10,263,6,Sacramento
2013-01-08,12,4,0.0,8.7,3,17,04:02 AM,02:09 PM,07:24 AM,05:02 PM,5,7,8,7,10,18,82,0.0,1022,12,10,243,5,Sacramento
2013-01-09,10,3,0.0,5.3,2,9,05:08 AM,03:10 PM,07:24 AM,05:03 PM,4,6,7,6,13,50,83,0.0,1017,10,10,229,7,Sacramento
2013-01-10,9,1,0.0,8.7,2,2,06:08 AM,04:18 PM,07:24 AM,05:04 PM,1,3,4,3,11,29,79,0.3,1019,9,10,284,6,Sacramento
2013-01-11,8,-0,0.0,8.7,2,0,07:01 AM,05:29 PM,07:24 AM,05:05 PM,-1,3,4,3,12,15,73,0.0,1022,8,10,250,6,Sacramento
2013-01-12,7,-1,0.0,8.7,2,0,07:47 AM,06:40 PM,07:23 AM,05:06 PM,-5,1,3,1,13,14,59,0.0,1023,7,10,284,7,Sacramento
2013-01-13,6,-2,0.0,8.7,2,5,08:26 AM,07:50 PM,07:23 AM,05:07 PM,-9,-1,2,-1,18,8,44,0.0,1024,6,10,324,9,Sacramento
2013-01-14,9,-2,0.0,8.7,2,12,09:02 AM,08:56 PM,07:23 AM,05:08 PM,-7,0,3,0,16,2,48,0.0,1029,9,10,274,9,Sacramento
2013-01-15,7,-1,0.0,8.7,2,20,09:35 AM,10:01 PM,07:22 AM,05:09 PM,-3,3,4,3,11,0,60,0.0,1031,7,10,226,6,Sacramento
2013-01-16,9,-1,0.0,8.7,2,27,10:05 AM,11:02 PM,07:22 AM,05:11 PM,-0,4,5,4,9,0,70,0.0,1030,9,10,243,6,Sacramento
2013-01-17,12,1,0.0,8.7,3,34,10:36 AM,No moonset,07:22 AM,05:12 PM,-1,6,7,6,12,0,60,0.0,1026,12,10,271,7,Sacramento
2013-01-18,13,2,0.0,8.7,3,41,11:08 AM,12:02 AM,07:21 AM,05:13 PM,-3,6,7,6,16,0,50,0.0,1025,13,10,332,9,Sacramento
2013-01-19,13,3,0.0,8.7,3,49,11:42 AM,01:00 AM,07:21 AM,05:14 PM,-1,6,7,6,13,13,59,0.0,1025,13,10,319,7,Sacramento
2013-01-20,13,3,0.0,8.7,3,56,12:19 PM,01:57 AM,07:20 AM,05:15 PM,-1,7,8,7,12,21,57,0.0,1024,13,10,237,7,Sacramento
2013-01-21,13,4,0.0,8.7,3,63,01:00 PM,02:52 AM,07:20 AM,05:16 PM,0,8,9,8,12,0,56,0.0,1022,13,10,270,7,Sacramento
2013-01-22,15,2,0.0,7.0,3,70,01:45 PM,03:44 AM,07:19 AM,05:17 PM,-0,8,8,8,9,48,56,0.0,1019,15,10,203,5,Sacramento
2013-01-23,16,6,0.0,7.1,3,78,02:34 PM,04:33 AM,07:18 AM,05:18 PM,-1,9,10,9,12,53,50,0.0,1018,16,10,252,6,Sacramento
2013-01-24,14,9,0.0,5.4,3,85,03:27 PM,05:18 AM,07:18 AM,05:20 PM,8,10,11,10,9,83,84,1.1,1021,14,10,268,5,Sacramento
2013-01-25,17,10,0.0,8.7,4,92,04:23 PM,06:00 AM,07:17 AM,05:21 PM,10,13,13,13,10,68,82,0.6,1020,17,8,273,6,Sacramento
2013-01-26,16,6,0.0,8.7,4,100,05:22 PM,06:38 AM,07:16 AM,05:22 PM,7,11,11,11,18,33,77,0.1,1015,16,10,254,10,Sacramento
2013-01-27,11,2,0.0,8.7,3,100,06:21 PM,07:13 AM,07:16 AM,05:23 PM,2,5,7,5,14,21,75,1.1,1020,11,10,274,8,Sacramento
2013-01-28,12,-0,0.0,8.7,3,86,07:22 PM,07:45 AM,07:15 AM,05:24 PM,0,5,6,5,13,22,70,0.0,1023,12,10,324,8,Sacramento
2013-01-29,14,3,0.0,8.7,3,79,08:24 PM,08:16 AM,07:14 AM,05:25 PM,4,7,8,7,16,6,74,0.0,1026,14,10,285,9,Sacramento
2013-01-30,15,4,0.0,8.7,3,71,09:27 PM,08:47 AM,07:13 AM,05:26 PM,5,9,10,9,11,2,73,0.0,1026,15,10,274,6,Sacramento
2013-01-31,15,3,0.0,7.1,3,68,10:30 PM,09:19 AM,07:12 AM,05:28 PM,4,9,10,9,8,18,70,0.0,1024,15,10,283,5,Sacramento
2013-02-01,16,4,0.0,8.7,3,51,11:36 PM,09:52 AM,07:11 AM,05:29 PM,4,10,10,10,12,8,66,0.0,1022,16,10,253,7,Sacramento
