date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01,11,2,0.0,8.7,3,68,09:31 PM,09:41 AM,07:19 AM,05:02 PM,-2,5,6,5,15,10,55,0.0,1023,11,10,119,8,Salinas
2013-01-02,14,4,0.0,8.7,3,60,10:31 PM,10:12 AM,07:20 AM,05:03 PM,-1,7,9,7,14,0,53,0.0,1021,14,10,63,7,Salinas
2013-01-03,14,3,0.0,8.7,3,53,11:33 PM,10:44 AM,07:20 AM,05:04 PM,-2,8,8,8,11,8,52,0.0,1022,14,10,136,6,Salinas
2013-01-04,14,4,0.0,8.7,3,46,No moonrise,11:17 AM,07:20 AM,05:04 PM,-0,8,9,8,11,12,54,0.0,1023,14,10,145,6,Salinas
2013-01-05,13,4,0.0,8.7,3,38,12:36 AM,11:53 AM,07:20 AM,05:05 PM,4,7,8,7,16,47,77,0.0,1022,13,10,190,10,Salinas
2013-01-06,8,4,0.0,5.4,2,31,01:43 AM,12:33 PM,07:20 AM,05:06 PM,5,5,7,5,18,52,89,1.1,1020,8,10,309,11,Salinas
2013-01-07,13,4,0.0,8.7,3,24,02:50 AM,01:20 PM,07:20 AM,05:07 PM,4,6,8,6,17,5,76,0.0,1022,13,10,301,9,Salinas
2013-01-08,15,6,0.0,8.7,3,17,03:58 AM,02:14 PM,07:20 AM,05:08 PM,5,9,10,9,16,7,70,0.0,1021,15,10,36,9,Salinas
2013-01-09,12,7,0.0,8.7,3,9,05:04 AM,03:16 PM,07:20 AM,05:09 PM,5,8,9,8,19,30,76,0.4,1019,12,9,259,12,Salinas
2013-01-10,8,3,0.0,8.7,3,2,06:04 AM,04:23 PM,07:19 AM,05:10 PM,1,2,5,2,30,11,72,0.0,1020,8,10,321,19,Salinas
2013-01-11,9,3,0.0,7.0,3,0,06:57 AM,05:34 PM,07:19 AM,05:11 PM,-0,2,5,2,25,26,70,0.3,1023,9,10,326,14,Salinas
2013-01-12,8,1,0.0,8.7,2,0,07:44 AM,06:44 PM,07:19 AM,05:12 PM,-2,3,4,3,14,12,67,0.0,1022,8,10,144,7,Salinas
2013-01-13,8,-0,0.0,7.0,2,5,08:25 AM,07:52 PM,07:19 AM,05:13 PM,-6,1,4,1,18,14,53,0.0,1022,8,10,121,10,Salinas
2013-01-14,8,0,0.0,8.7,2,12,09:01 AM,08:58 PM,07:19 AM,05:14 PM,-9,2,4,2,17,1,41,0.0,1027,8,10,43,10,Salinas
2013-01-15,11,1,0.0,8.7,2,20,09:35 AM,10:01 PM,07:18 AM,05:15 PM,-3,6,7,6,9,0,50,0.0,1030,11,10,136,5,Salinas
2013-01-16,14,2,0.0,8.7,3,27,10:07 AM,11:02 PM,07:18 AM,05:16 PM,-2,7,8,7,13,0,51,0.0,1026,14,10,151,7,Salinas
2013-01-17,18,5,0.0,8.7,4,34,10:39 AM,No moonset,07:18 AM,05:17 PM,1,10,11,10,13,3,51,0.0,1021,18,10,111,7,Salinas
2013-01-18,18,6,0.0,8.7,4,41,11:12 AM,12:00 AM,07:17 AM,05:18 PM,2,12,12,12,11,1,52,0.0,1020,18,10,115,6,Salinas
2013-01-19,18,7,0.0,8.7,4,49,11:47 AM,12:58 AM,07:17 AM,05:19 PM,-0,11,11,11,13,12,47,0.0,1021,18,10,109,7,Salinas
2013-01-20,19,7,0.0,8.7,4,56,12:24 PM,01:54 AM,07:16 AM,05:20 PM,1,11,12,11,15,15,48,0.0,1021,19,10,110,8,Salinas
2013-01-21,19,7,0.0,8.7,4,63,01:05 PM,02:48 AM,07:16 AM,05:21 PM,-1,12,13,12,15,0,39,0.0,1019,19,10,95,8,Salinas
2013-01-22,19,9,0.0,8.7,4,70,01:50 PM,03:40 AM,07:15 AM,05:22 PM,-3,12,13,12,21,27,33,0.0,1017,19,10,144,11,Salinas
2013-01-23,15,11,0.0,5.4,4,78,02:39 PM,04:28 AM,07:15 AM,05:23 PM,3,12,13,12,22,68,54,0.1,1017,15,10,146,11,Salinas
2013-01-24,12,10,0.0,3.8,3,85,03:32 PM,05:14 AM,07:14 AM,05:24 PM,10,11,11,11,11,93,90,3.4,1020,12,9,84,7,Salinas
2013-01-25,17,10,0.0,8.7,4,92,04:28 PM,05:56 AM,07:13 AM,05:25 PM,10,13,13,13,13,39,86,0.1,1019,17,10,168,7,Salinas
2013-01-26,12,6,0.0,8.7,3,100,05:26 PM,06:35 AM,07:13 AM,05:27 PM,7,7,9,7,25,25,86,0.0,1017,12,8,316,16,Salinas
2013-01-27,10,5,0.0,8.7,3,100,06:24 PM,07:11 AM,07:12 AM,05:28 PM,2,4,7,4,27,24,74,0.1,1021,10,10,321,17,Salinas
2013-01-28,11,5,0.0,8.7,3,86,07:24 PM,07:44 AM,07:11 AM,05:29 PM,3,4,7,4,29,16,76,0.0,1023,11,10,325,17,Salinas
