date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01,9,-0,0.0,8.7,2,68,09:29 PM,09:41 AM,07:21 AM,04:57 PM,-2,3,5,3,11,1,65,0.0,1025,9,10,249,7,Stockton
2013-01-02,10,0,0.0,8.7,2,60,10:29 PM,10:11 AM,07:22 AM,04:58 PM,-0,5,5,5,8,0,69,0.0,1023,10,10,231,5,Stockton
2013-01-03,10,-0,0.0,8.7,2,53,11:32 PM,10:42 AM,07:22 AM,04:59 PM,-1,5,5,5,9,4,64,0.0,1023,10,10,320,5,Stockton
2013-01-04,11,0,0.0,8.7,2,46,No moonrise,11:14 AM,07:22 AM,04:59 PM,-1,5,5,5,7,11,63,0.0,1024,11,10,224,4,Stockton
2013-01-05,12,1,0.0,7.0,3,38,12:36 AM,11:50 AM,07:22 AM,05:00 PM,0,6,7,6,8,51,65,0.5,1022,12,9,114,5,Stockton
2013-01-06,8,3,0.0,7.0,2,31,01:43 AM,12:29 PM,07:22 AM,05:01 PM,4,4,5,4,11,51,93,6.4,1021,8,7,204,6,Stockton
2013-01-07,10,2,0.0,8.7,3,24,02:51 AM,01:16 PM,07:22 AM,05:02 PM,1,4,6,4,13,7,74,0.0,1023,10,10,275,7,Stockton
2013-01-08,11,3,0.0,8.7,3,17,04:00 AM,02:09 PM,07:22 AM,05:03 PM,4,6,7,6,9,11,81,0.0,1022,11,10,226,5,Stockton
2013-01-09,11,4,0.0,7.0,3,9,05:05 AM,03:11 PM,07:21 AM,05:04 PM,4,6,8,6,15,28,78,0.0,1018,11,10,211,9,Stockton
2013-01-10,9,1,0.0,8.7,2,2,06:05 AM,04:18 PM,07:21 AM,05:05 PM,-0,3,5,3,17,12,73,0.0,1020,9,10,298,10,Stockton
2013-01-11,9,-1,0.0,8.7,2,0,06:59 AM,05:30 PM,07:21 AM,05:06 PM,-1,3,4,3,11,13,70,0.0,1022,9,10,265,6,Stockton
2013-01-12,7,-2,0.0,8.7,2,0,07:45 AM,06:40 PM,07:21 AM,05:07 PM,-3,1,3,1,10,9,67,0.0,1023,7,10,227,5,Stockton
2013-01-13,6,-2,0.0,8.7,2,5,08:25 AM,07:50 PM,07:21 AM,05:08 PM,-8,-1,2,-1,14,5,50,0.0,1024,6,10,312,8,Stockton
2013-01-14,7,-3,0.0,8.7,2,12,09:01 AM,08:56 PM,07:20 AM,05:09 PM,-8,0,2,0,13,2,47,0.0,1028,7,10,294,8,Stockton
2013-01-15,7,-1,0.0,8.7,2,20,09:34 AM,10:00 PM,07:20 AM,05:10 PM,-4,3,4,3,9,0,55,0.0,1031,7,10,207,5,Stockton
2013-01-16,10,-2,0.0,8.7,2,27,10:05 AM,11:01 PM,07:20 AM,05:11 PM,-2,4,5,4,8,0,66,0.0,1029,10,10,228,5,Stockton
2013-01-17,12,0,0.0,8.7,2,34,10:36 AM,No moonset,07:19 AM,05:12 PM,-0,6,7,6,9,0,65,0.0,1025,12,10,293,5,Stockton
2013-01-18,13,1,0.0,8.7,3,41,11:09 AM,12:00 AM,07:19 AM,05:13 PM,-1,7,7,7,10,0,57,0.0,1023,13,10,323,6,Stockton
2013-01-19,14,1,0.0,8.7,3,49,11:43 AM,12:58 AM,07:18 AM,05:15 PM,0,6,7,6,10,14,64,0.0,1024,14,10,309,5,Stockton
2013-01-20,14,1,0.0,8.7,3,56,12:19 PM,01:55 AM,07:18 AM,05:16 PM,0,6,7,6,9,14,63,0.0,1023,14,10,249,5,Stockton
2013-01-21,15,2,0.0,8.7,3,63,01:00 PM,02:49 AM,07:17 AM,05:17 PM,1,8,9,8,8,0,60,0.0,1021,15,10,224,4,Stockton
2013-01-22,17,2,0.0,7.1,3,70,01:46 PM,03:42 AM,07:17 AM,05:18 PM,-0,9,9,9,9,37,53,0.0,1019,17,10,145,5,Stockton
2013-01-23,17,8,0.0,8.7,4,78,02:34 PM,04:30 AM,07:16 AM,05:19 PM,-3,10,11,10,17,45,40,0.2,1018,17,9,229,9,Stockton
2013-01-24,11,7,0.0,3.8,2,85,03:28 PM,05:16 AM,07:15 AM,05:20 PM,8,10,10,10,8,76,89,3.6,1021,11,8,201,4,Stockton
2013-01-25,17,9,0.0,8.7,4,92,04:23 PM,05:58 AM,07:15 AM,05:21 PM,10,12,12,12,10,53,85,0.1,1020,17,7,309,6,Stockton
2013-01-26,15,6,0.0,8.7,4,100,05:22 PM,06:36 AM,07:14 AM,05:22 PM,7,9,11,9,22,20,78,0.1,1016,15,10,267,12,Stockton
2013-01-27,11,3,0.0,8.7,3,100,06:21 PM,07:11 AM,07:13 AM,05:23 PM,1,5,7,5,19,7,69,0.1,1020,11,10,298,11,Stockton
2013-01-28,12,0,0.0,8.7,3,86,07:22 PM,07:44 AM,07:13 AM,05:25 PM,0,4,6,4,16,15,68,0.0,1023,12,10,298,9,Stockton
2013-01-29,14,4,0.0,8.7,3,79,08:23 PM,08:15 AM,07:12 AM,05:26 PM,3,6,8,6,17,6,74,0.0,1026,14,10,289,10,Stockton
2013-01-30,15,3,0.0,8.7,3,71,09:26 PM,08:46 AM,07:11 AM,05:27 PM,4,9,10,9,10,1,72,0.0,1026,15,10,262,5,Stockton
2013-01-31,16,3,0.0,8.7,3,68,10:29 PM,09:18 AM,07:10 AM,05:28 PM,4,10,10,10,6,10,70,0.0,1024,16,10,281,3,Stockton
2013-02-01,17,2,0.0,8.7,3,51,11:34 PM,09:52 AM,07:09 AM,05:29 PM,4,10,11,10,8,8,67,0.0,1022,17,10,140,4,Stockton
2013-02-02,17,7,0.0,8.7,4,44,No moonrise,10:30 AM,07:08 AM,05:30 PM,3,10,11,10,14,23,62,0.0,1024,17,10,318,8,Stockton
2013-02-03,15,6,0.0,8.7,3,36,12:40 AM,11:12 AM,07:08 AM,05:31 PM,6,8,9,8,15,9,79,0.0,1022,15,8,280,9,Stockton
2013-02-04,17,4,0.0,8.7,3,29,01:46 AM,12:01 PM,07:07 AM,05:33 PM,4,10,10,10,9,15,68,0.0,1020,17,10,224,5,Stockton
2013-02-05,14,5,0.0,8.7,3,21,02:51 AM,12:57 PM,07:06 AM,05:34 PM,5,7,9,7,18,16,78,0.0,1019,14,10,264,10,Stockton
2013-02-06,14,3,0.0,8.7,3,14,03:51 AM,02:00 PM,07:05 AM,05:35 PM,3,6,8,6,17,11,72,0.0,1021,14,10,293,9,Stockton
2013-02-07,12,3,0.0,8.7,3,6,04:46 AM,03:07 PM,07:04 AM,05:36 PM,2,5,7,5,18,20,72,0.6,1020,12,10,237,10,Stockton
2013-02-08,11,2,0.0,8.7,3,0,05:35 AM,04:16 PM,07:03 AM,05:37 PM,1,4,6,4,18,20,71,0.0,1016,11,10,308,11,Stockton
2013-02-09,12,0,0.0,8.7,2,0,06:17 AM,05:26 PM,07:01 AM,05:38 PM,-1,4,6,4,15,2,62,0.0,1018,12,10,238,8,Stockton
2013-02-10,14,-0,0.0,8.7,3,0,06:55 AM,06:34 PM,07:00 AM,05:39 PM,-1,6,6,6,10,7,61,0.0,1019,14,10,280,6,Stockton
2013-02-11,15,-1,0.0,8.7,3,1,07:30 AM,07:40 PM,06:59 AM,05:40 PM,0,7,8,7,9,1,61,0.0,1022,15,10,233,5,Stockton
2013-02-12,15,1,0.0,8.7,3,9,08:02 AM,08:43 PM,06:58 AM,05:41 PM,-0,7,8,7,9,6,61,0.0,1026,15,10,197,5,Stockton
2013-02-13,15,2,0.0,8.7,3,16,08:34 AM,09:45 PM,06:57 AM,05:42 PM,3,9,9,9,8,0,70,0.0,1026,15,10,249,5,Stockton
2013-02-14,18,3,0.0,8.7,3,24,09:07 AM,10:45 PM,06:56 AM,05:44 PM,5,10,11,10,11,0,72,0.0,1023,18,10,267,7,Stockton
2013-02-15,19,4,0.0,8.7,4,31,09:41 AM,11:43 PM,06:55 AM,05:45 PM,6,12,13,12,7,0,67,0.0,1024,19,10,266,4,Stockton
2013-02-16,19,4,0.0,5.6,3,39,10:17 AM,No moonset,06:53 AM,05:46 PM,3,11,11,11,9,39,60,0.0,1021,19,10,286,5,Stockton
2013-02-17,17,6,0.0,8.7,3,46,10:57 AM,12:39 AM,06:52 AM,05:47 PM,5,10,11,10,15,0,69,0.0,1016,17,10,283,8,Stockton
2013-02-18,15,4,0.0,5.6,3,54,11:41 AM,01:33 AM,06:51 AM,05:48 PM,4,7,9,7,17,38,75,0.0,1015,15,10,232,11,Stockton
2013-02-19,8,2,0.0,5.6,2,62,12:28 PM,02:23 AM,06:50 AM,05:49 PM,3,2,5,2,23,28,89,5.6,1011,8,10,226,13,Stockton
