date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01,6,-1,0.0,8.7,2,68,09:16 PM,09:25 AM,07:00 AM,04:51 PM,-10,-1,2,-1,22,4,40,0.0,1024,6,10,63,14,california
2013-01-02,9,-1,0.0,8.7,2,60,10:15 PM,09:57 AM,07:01 AM,04:52 PM,-10,1,4,1,18,0,38,0.0,1022,9,10,86,10,california
2013-01-03,9,-0,0.0,8.7,2,53,11:16 PM,10:29 AM,07:01 AM,04:53 PM,-8,2,4,2,16,0,42,0.0,1022,9,10,88,10,california
2013-01-04,10,-1,0.0,8.7,2,46,No moonrise,11:03 AM,07:01 AM,04:54 PM,-9,2,4,2,12,2,43,0.0,1024,10,10,76,7,california
2013-01-05,11,-1,0.0,8.7,2,38,12:19 AM,11:40 AM,07:01 AM,04:54 PM,-12,3,5,3,12,12,30,0.0,1024,11,10,78,8,california
2013-01-06,8,3,0.0,8.7,2,31,01:25 AM,12:21 PM,07:01 AM,04:55 PM,-3,1,5,1,24,32,57,0.2,1019,8,10,257,15,california
2013-01-07,12,-0,0.0,8.7,3,24,02:31 AM,01:09 PM,07:01 AM,04:56 PM,-7,3,6,3,21,5,44,0.0,1019,12,10,310,11,california
2013-01-08,15,4,0.0,8.7,3,17,03:39 AM,02:03 PM,07:01 AM,04:57 PM,-2,8,9,8,15,5,47,0.0,1021,15,10,173,9,california
2013-01-09,16,4,0.0,7.0,4,9,04:44 AM,03:05 PM,07:01 AM,04:58 PM,-0,9,10,9,22,32,50,0.0,1018,16,10,178,12,california
2013-01-10,6,-3,0.0,8.7,2,2,05:45 AM,04:11 PM,07:01 AM,04:59 PM,-6,-4,2,-4,46,8,58,0.0,1015,6,10,276,33,california
2013-01-11,3,-5,0.0,8.7,2,0,06:39 AM,05:21 PM,07:01 AM,05:00 PM,-8,-7,-2,-7,30,4,64,0.0,1021,3,10,286,20,california
2013-01-12,3,-5,0.1,8.7,2,0,07:26 AM,06:30 PM,07:00 AM,05:01 PM,-9,-3,-1,-3,10,16,60,0.1,1022,3,9,121,6,california
2013-01-13,4,-6,0.0,8.7,2,5,08:08 AM,07:38 PM,07:00 AM,05:02 PM,-15,-4,-0,-4,20,9,34,0.0,1022,4,10,112,11,california
2013-01-14,2,-6,0.0,8.7,2,12,08:45 AM,08:43 PM,07:00 AM,05:03 PM,-18,-6,-2,-6,18,2,31,0.0,1028,2,10,96,11,california
2013-01-15,6,-4,0.0,8.7,2,20,09:20 AM,09:45 PM,07:00 AM,05:04 PM,-13,-1,0,-1,10,2,37,0.0,1031,6,10,106,6,california
2013-01-16,10,-2,0.0,8.7,2,27,09:53 AM,10:45 PM,06:59 AM,05:05 PM,-7,2,4,2,16,0,48,0.0,1028,10,10,88,9,california
2013-01-17,13,2,0.0,8.7,3,34,10:25 AM,11:43 PM,06:59 AM,05:06 PM,-7,5,7,5,21,0,38,0.0,1024,13,10,73,13,california
2013-01-18,14,3,0.0,8.7,3,41,10:59 AM,No moonset,06:59 AM,05:07 PM,-9,6,8,6,20,0,29,0.0,1023,14,10,55,12,california
2013-01-19,15,3,0.0,8.7,3,49,11:34 AM,12:40 AM,06:58 AM,05:08 PM,-12,6,8,6,19,0,23,0.0,1024,15,10,59,11,california
2013-01-20,15,2,0.0,8.7,3,56,12:12 PM,01:35 AM,06:58 AM,05:09 PM,-16,6,8,6,19,0,17,0.0,1022,15,10,66,11,california
2013-01-21,16,3,0.0,8.7,3,63,12:54 PM,02:29 AM,06:57 AM,05:10 PM,-10,8,9,8,17,0,25,0.0,1021,16,10,68,10,california
2013-01-22,17,5,0.0,8.7,4,70,01:39 PM,03:21 AM,06:57 AM,05:11 PM,-8,9,10,9,22,3,28,0.0,1020,17,10,54,13,california
2013-01-23,17,7,0.0,8.7,4,78,02:28 PM,04:09 AM,06:56 AM,05:12 PM,-10,11,12,11,22,45,22,0.0,1019,17,10,55,13,california
2013-01-24,13,8,0.0,7.1,3,85,03:21 PM,04:55 AM,06:56 AM,05:13 PM,2,9,11,9,14,56,58,1.3,1021,13,8,79,10,california
2013-01-25,14,8,0.0,8.7,4,92,04:15 PM,05:38 AM,06:55 AM,05:14 PM,5,9,11,9,21,41,66,0.4,1019,14,9,56,14,california
2013-01-26,15,8,0.0,8.7,4,100,05:13 PM,06:17 AM,06:55 AM,05:15 PM,5,9,11,9,23,24,68,0.9,1013,15,9,211,15,california
2013-01-27,9,-0,0.0,8.7,2,100,06:11 PM,06:53 AM,06:54 AM,05:16 PM,-4,-0,5,-0,40,8,55,0.0,1015,9,10,282,27,california
2013-01-28,6,-2,0.0,8.7,2,86,07:10 PM,07:28 AM,06:54 AM,05:17 PM,-6,-3,2,-3,30,8,58,0.0,1020,6,10,291,19,california
