date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01,9,-0,0.0,8.7,2,68,09:28 PM,09:39 AM,07:19 AM,04:57 PM,-3,3,4,3,12,2,63,0.0,1025,9,10,243,7,modesto
2013-01-02,11,0,0.0,8.7,2,60,10:28 PM,10:10 AM,07:20 AM,04:57 PM,-0,5,5,5,9,1,68,0.0,1023,11,10,259,5,modesto
2013-01-03,12,0,0.0,8.7,3,53,11:31 PM,10:41 AM,07:20 AM,04:58 PM,-2,5,6,5,13,3,58,0.0,1023,12,10,303,7,modesto
2013-01-04,12,2,0.0,8.7,3,46,No moonrise,11:14 AM,07:20 AM,04:59 PM,-3,5,6,5,11,7,54,0.0,1024,12,10,213,6,modesto
2013-01-05,14,2,0.0,7.0,3,38,12:34 AM,11:49 AM,07:20 AM,05:00 PM,-0,8,8,8,11,37,57,0.0,1022,14,10,158,6,modesto
2013-01-06,7,3,0.0,5.4,2,31,01:41 AM,12:29 PM,07:20 AM,05:01 PM,4,4,5,4,15,61,95,5.9,1021,7,5,159,8,modesto
2013-01-07,10,2,0.0,8.7,3,24,02:49 AM,01:15 PM,07:20 AM,05:02 PM,1,4,6,4,18,6,74,0.0,1023,10,10,299,10,modesto
2013-01-08,12,4,0.0,8.7,3,17,03:58 AM,02:09 PM,07:20 AM,05:03 PM,3,6,7,6,13,10,77,0.0,1022,12,10,275,7,modesto
2013-01-09,14,6,0.0,7.0,3,9,05:03 AM,03:11 PM,07:19 AM,05:04 PM,4,8,9,8,15,28,74,0.0,1018,14,10,228,9,modesto
2013-01-10,9,1,0.0,8.7,2,2,06:03 AM,04:18 PM,07:19 AM,05:05 PM,-0,2,5,2,21,8,72,0.1,1020,9,10,317,12,modesto
2013-01-11,9,-0,0.0,8.7,2,0,06:57 AM,05:29 PM,07:19 AM,05:06 PM,-2,2,4,2,12,12,67,0.0,1022,9,10,283,7,modesto
2013-01-12,7,-1,0.0,8.7,2,0,07:43 AM,06:39 PM,07:19 AM,05:07 PM,-4,1,3,1,10,8,67,0.0,1023,7,10,223,5,modesto
2013-01-13,7,-2,0.0,8.7,2,5,08:23 AM,07:49 PM,07:19 AM,05:08 PM,-8,-1,1,-1,16,6,51,0.0,1024,7,10,312,9,modesto
2013-01-14,7,-2,0.0,8.7,2,12,08:59 AM,08:55 PM,07:18 AM,05:09 PM,-10,-1,1,-1,16,3,44,0.0,1028,7,10,300,10,modesto
2013-01-15,7,-2,0.0,8.7,2,20,09:33 AM,09:58 PM,07:18 AM,05:10 PM,-7,2,3,2,9,0,50,0.0,1031,7,10,212,5,modesto
2013-01-16,11,-1,0.0,8.7,2,27,10:04 AM,10:59 PM,07:18 AM,05:11 PM,-3,3,5,3,12,0,60,0.0,1029,11,10,251,7,modesto
2013-01-17,14,2,0.0,8.7,3,34,10:35 AM,11:59 PM,07:17 AM,05:12 PM,-1,6,7,6,15,0,58,0.0,1024,14,10,287,8,modesto
2013-01-18,15,3,0.0,8.7,3,41,11:08 AM,No moonset,07:17 AM,05:13 PM,-1,7,8,7,14,0,54,0.0,1023,15,10,305,7,modesto
2013-01-19,16,3,0.0,8.7,3,49,11:42 AM,12:57 AM,07:16 AM,05:14 PM,0,8,8,8,13,9,58,0.0,1023,16,10,299,7,modesto
2013-01-20,15,4,0.0,8.7,3,56,12:19 PM,01:53 AM,07:16 AM,05:15 PM,0,8,8,8,12,13,59,0.0,1023,15,10,303,7,modesto
2013-01-21,17,4,0.0,8.7,3,63,01:00 PM,02:47 AM,07:15 AM,05:16 PM,1,9,10,9,9,0,55,0.0,1021,17,10,287,5,modesto
2013-01-22,20,3,0.0,7.1,4,70,01:45 PM,03:40 AM,07:15 AM,05:17 PM,-1,11,11,11,15,31,46,0.0,1019,20,10,179,8,modesto
2013-01-23,19,10,0.0,8.7,4,78,02:34 PM,04:28 AM,07:14 AM,05:19 PM,-4,13,13,13,20,45,32,0.0,1018,19,10,217,10,modesto
2013-01-24,12,9,0.0,3.8,3,85,03:27 PM,05:14 AM,07:14 AM,05:20 PM,9,10,11,10,12,86,87,2.7,1020,12,6,225,7,modesto
2013-01-25,17,9,0.0,5.4,4,92,04:23 PM,05:56 AM,07:13 AM,05:21 PM,10,12,13,12,12,62,85,0.0,1020,17,7,306,7,modesto
2013-01-26,15,6,0.0,5.4,3,100,05:21 PM,06:34 AM,07:12 AM,05:22 PM,7,10,11,10,19,43,80,0.1,1016,15,10,296,11,modesto
2013-01-27,12,3,0.0,8.7,3,100,06:20 PM,07:09 AM,07:12 AM,05:23 PM,1,4,7,4,24,6,69,0.0,1020,12,10,312,14,modesto
2013-01-28,12,1,0.0,8.7,3,86,07:21 PM,07:42 AM,07:11 AM,05:24 PM,-0,4,6,4,21,13,67,0.0,1023,12,10,314,12,modesto
2013-01-29,14,3,0.0,8.7,3,79,08:22 PM,08:14 AM,07:10 AM,05:25 PM,3,6,8,6,21,9,73,0.0,1025,14,10,306,13,modesto
