date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01,11,1,0.0,8.7,3,68,09:14 PM,09:21 AM,06:54 AM,04:51 PM,-8,3,5,3,20,11,39,0.0,1023,11,10,66,11,moreno-valley
2013-01-02,14,3,0.0,8.7,3,60,10:12 PM,09:54 AM,06:54 AM,04:52 PM,-7,5,8,5,27,0,35,0.0,1021,14,10,45,14,moreno-valley
2013-01-03,15,5,0.0,8.7,3,53,11:13 PM,10:26 AM,06:55 AM,04:53 PM,-5,7,9,7,22,0,39,0.0,1021,15,10,43,13,moreno-valley
2013-01-04,14,4,0.0,8.7,3,46,No moonrise,11:01 AM,06:55 AM,04:54 PM,-8,8,9,8,14,0,31,0.0,1024,14,10,84,8,moreno-valley
2013-01-05,15,3,0.0,8.7,3,38,12:15 AM,11:39 AM,06:55 AM,04:54 PM,-9,8,8,8,11,13,31,0.0,1024,15,10,137,6,moreno-valley
2013-01-06,8,1,0.0,8.7,2,31,01:20 AM,12:20 PM,06:55 AM,04:55 PM,-1,3,5,3,11,22,69,0.0,1020,8,10,193,7,moreno-valley
2013-01-07,14,2,0.0,8.7,3,24,02:26 AM,01:08 PM,06:55 AM,04:56 PM,-4,6,8,6,22,8,47,0.2,1017,14,9,20,13,moreno-valley
2013-01-08,20,7,0.0,8.7,4,17,03:33 AM,02:03 PM,06:55 AM,04:57 PM,-1,12,13,12,19,1,40,0.0,1019,20,10,103,10,moreno-valley
2013-01-09,18,7,0.0,5.4,4,9,04:38 AM,03:04 PM,06:55 AM,04:58 PM,3,11,12,11,16,38,56,0.0,1018,18,10,184,9,moreno-valley
2013-01-10,7,1,0.0,5.4,3,2,05:39 AM,04:11 PM,06:55 AM,04:59 PM,1,2,5,2,25,44,74,1.4,1014,7,9,240,16,moreno-valley
2013-01-11,6,-3,0.0,8.7,2,0,06:33 AM,05:20 PM,06:55 AM,05:00 PM,-8,-0,2,-0,15,3,52,0.0,1020,6,10,269,9,moreno-valley
2013-01-12,6,-2,0.0,8.7,2,0,07:21 AM,06:29 PM,06:55 AM,05:01 PM,-8,1,3,1,11,4,49,0.0,1020,6,10,167,6,moreno-valley
2013-01-13,7,-2,0.0,8.7,2,5,08:03 AM,07:36 PM,06:54 AM,05:02 PM,-12,-1,2,-1,19,14,35,0.0,1020,7,10,143,11,moreno-valley
2013-01-14,6,-3,0.0,8.7,2,12,08:41 AM,08:40 PM,06:54 AM,05:02 PM,-18,-2,2,-2,26,9,24,0.0,1027,6,10,35,14,moreno-valley
2013-01-15,11,0,0.0,8.7,3,20,09:17 AM,09:42 PM,06:54 AM,05:03 PM,-11,3,5,3,24,1,30,0.0,1031,11,10,30,14,moreno-valley
2013-01-16,17,4,0.0,8.7,3,27,09:50 AM,10:41 PM,06:54 AM,05:04 PM,-6,7,9,7,32,0,36,0.0,1027,17,10,37,17,moreno-valley
2013-01-17,19,7,0.0,8.7,4,34,10:23 AM,11:39 PM,06:53 AM,05:05 PM,-3,11,12,11,31,0,38,0.0,1023,19,10,47,17,moreno-valley
2013-01-18,20,8,0.0,8.7,4,41,10:57 AM,No moonset,06:53 AM,05:06 PM,-3,12,13,12,24,0,35,0.0,1022,20,10,48,13,moreno-valley
2013-01-19,20,8,0.0,8.7,4,49,11:33 AM,12:35 AM,06:53 AM,05:07 PM,-6,12,13,12,25,0,27,0.0,1022,20,10,46,13,moreno-valley
2013-01-20,21,8,0.0,8.7,4,56,12:11 PM,01:30 AM,06:52 AM,05:08 PM,-8,12,13,12,25,0,22,0.0,1020,21,10,49,14,moreno-valley
2013-01-21,21,9,0.0,8.7,4,63,12:53 PM,02:23 AM,06:52 AM,05:09 PM,-8,13,14,13,24,0,21,0.0,1019,21,10,47,14,moreno-valley
2013-01-22,22,9,0.0,8.7,4,70,01:39 PM,03:15 AM,06:51 AM,05:10 PM,-9,14,15,14,17,2,21,0.0,1019,22,10,90,9,moreno-valley
2013-01-23,22,11,0.0,8.7,5,78,02:27 PM,04:04 AM,06:51 AM,05:11 PM,-5,15,16,15,19,31,26,0.0,1019,22,10,132,11,moreno-valley
2013-01-24,15,11,0.0,7.1,4,85,03:20 PM,04:50 AM,06:50 AM,05:12 PM,8,12,13,12,12,49,73,3.3,1021,15,9,135,8,moreno-valley
2013-01-25,15,11,0.0,4.0,3,92,04:15 PM,05:33 AM,06:50 AM,05:13 PM,9,12,13,12,17,68,76,1.8,1018,15,8,87,10,moreno-valley
2013-01-26,14,11,0.0,5.6,3,100,05:12 PM,06:12 AM,06:49 AM,05:14 PM,10,12,12,12,10,81,90,1.4,1013,14,6,235,7,moreno-valley
2013-01-27,10,5,0.0,7.1,2,100,06:09 PM,06:49 AM,06:49 AM,05:15 PM,7,6,8,6,15,68,89,1.0,1014,10,7,211,12,moreno-valley
2013-01-28,9,1,0.0,8.7,2,86,07:08 PM,07:24 AM,06:48 AM,05:16 PM,-3,4,5,4,11,9,59,0.4,1019,9,10,292,7,moreno-valley
2013-01-29,11,1,0.0,8.7,3,79,08:07 PM,07:57 AM,06:48 AM,05:17 PM,-1,6,7,6,10,4,60,0.0,1022,11,10,261,6,moreno-valley
2013-01-30,17,5,0.0,8.7,3,71,09:07 PM,08:30 AM,06:47 AM,05:18 PM,-0,10,11,10,13,0,48,0.0,1025,17,10,180,7,moreno-valley
2013-01-31,20,7,0.0,8.7,4,68,10:08 PM,09:04 AM,06:46 AM,05:19 PM,-1,13,14,13,17,0,38,0.0,1022,20,10,73,9,moreno-valley
2013-02-01,21,7,0.0,7.1,4,51,11:11 PM,09:40 AM,06:45 AM,05:20 PM,-0,14,14,14,10,25,39,0.0,1021,21,10,121,6,moreno-valley
2013-02-02,21,10,0.0,8.7,4,44,No moonrise,10:19 AM,06:45 AM,05:21 PM,1,15,15,15,11,41,42,0.0,1022,21,10,125,6,moreno-valley
2013-02-03,18,10,0.0,8.7,4,36,12:15 AM,11:04 AM,06:44 AM,05:22 PM,6,14,14,14,9,16,60,0.1,1018,18,10,144,5,moreno-valley
2013-02-04,19,8,0.0,8.7,4,29,01:20 AM,11:54 AM,06:43 AM,05:23 PM,4,14,15,14,10,0,52,0.0,1017,19,10,155,5,moreno-valley
2013-02-05,16,6,0.0,8.7,3,21,02:23 AM,12:50 PM,06:42 AM,05:24 PM,6,11,11,11,9,9,73,0.0,1015,16,9,245,6,moreno-valley
2013-02-06,16,5,0.0,8.7,3,14,03:24 AM,01:52 PM,06:41 AM,05:25 PM,3,10,10,10,10,16,66,0.0,1016,16,9,291,7,moreno-valley
2013-02-07,15,3,0.0,8.7,3,6,04:20 AM,02:59 PM,06:41 AM,05:26 PM,2,9,10,9,12,19,61,0.0,1017,15,9,211,8,moreno-valley
2013-02-08,6,-0,0.0,7.2,1,0,05:10 AM,04:06 PM,06:40 AM,05:27 PM,1,1,4,1,18,52,86,2.5,1013,6,8,228,14,moreno-valley
2013-02-09,7,-2,0.0,8.7,2,0,05:55 AM,05:14 PM,06:39 AM,05:28 PM,-0,1,3,1,9,10,81,0.0,1016,7,10,263,7,moreno-valley
2013-02-10,9,-1,0.0,8.7,2,0,06:34 AM,06:19 PM,06:38 AM,05:29 PM,-0,4,5,4,9,18,75,0.0,1017,9,10,270,6,moreno-valley
2013-02-11,10,1,0.0,8.7,3,1,07:12 AM,07:23 PM,06:37 AM,05:30 PM,-6,4,6,4,16,4,49,0.1,1020,10,10,135,10,moreno-valley
2013-02-12,13,1,0.0,8.7,3,9,07:47 AM,08:25 PM,06:36 AM,05:31 PM,-8,7,8,7,12,1,34,0.0,1025,13,10,142,7,moreno-valley
2013-02-13,17,3,0.0,8.7,3,16,08:21 AM,09:25 PM,06:35 AM,05:32 PM,-2,10,11,10,12,0,42,0.0,1023,17,10,132,7,moreno-valley
2013-02-14,20,6,0.0,8.7,4,24,08:55 AM,10:22 PM,06:34 AM,05:33 PM,-1,12,13,12,21,0,40,0.0,1021,20,10,28,12,moreno-valley
2013-02-15,21,9,0.0,8.7,4,31,09:31 AM,11:19 PM,06:33 AM,05:34 PM,-3,13,15,13,33,18,34,0.0,1023,21,10,51,19,moreno-valley
2013-02-16,22,10,0.0,8.7,4,39,10:09 AM,No moonset,06:32 AM,05:35 PM,-5,15,15,15,20,23,25,0.0,1019,22,10,150,11,moreno-valley
2013-02-17,17,6,0.0,8.7,3,46,10:49 AM,12:13 AM,06:31 AM,05:35 PM,2,12,12,12,10,0,54,0.0,1014,17,10,246,8,moreno-valley
2013-02-18,16,3,0.0,8.7,3,54,11:34 AM,01:06 AM,06:30 AM,05:36 PM,4,9,9,9,11,25,72,0.0,1015,16,8,181,8,moreno-valley
2013-02-19,9,3,0.0,7.2,2,62,12:21 PM,01:56 AM,06:29 AM,05:37 PM,3,3,5,3,18,56,85,0.8,1010,9,6,222,13,moreno-valley
2013-02-20,8,-2,0.6,8.7,2,69,01:12 PM,02:43 AM,06:28 AM,05:38 PM,1,-0,3,-0,20,19,84,5.7,1009,8,9,255,13,moreno-valley
2013-02-21,10,0,0.0,8.7,2,77,02:05 PM,03:28 AM,06:26 AM,05:39 PM,-2,5,6,5,7,7,60,0.0,1016,10,10,223,5,moreno-valley
2013-02-22,14,2,0.0,8.7,3,84,03:01 PM,04:08 AM,06:25 AM,05:40 PM,-3,7,8,7,10,4,47,0.0,1021,14,10,215,6,moreno-valley
2013-02-23,15,2,0.0,8.7,3,92,03:58 PM,04:46 AM,06:24 AM,05:41 PM,1,8,9,8,12,1,60,0.0,1016,15,10,223,8,moreno-valley
2013-02-24,13,3,0.0,8.7,3,99,04:57 PM,05:22 AM,06:23 AM,05:42 PM,-12,5,8,5,30,1,25,0.0,1020,13,10,37,18,moreno-valley
2013-02-25,16,4,0.0,8.7,3,100,05:57 PM,05:57 AM,06:22 AM,05:43 PM,-8,8,9,8,16,9,32,0.0,1021,16,10,155,10,moreno-valley
2013-02-26,17,2,0.0,8.7,3,86,06:58 PM,06:31 AM,06:21 AM,05:43 PM,-6,9,11,9,18,4,34,0.0,1018,17,10,86,10,moreno-valley
2013-02-27,17,7,0.0,8.7,4,78,08:00 PM,07:06 AM,06:19 AM,05:44 PM,-7,10,12,10,24,0,28,0.0,1024,17,10,44,13,moreno-valley
2013-02-28,20,8,0.0,8.7,4,71,09:04 PM,07:42 AM,06:18 AM,05:45 PM,-7,13,14,13,21,0,24,0.0,1026,20,10,35,12,moreno-valley
2013-03-01,24,11,0.0,8.7,5,68,10:08 PM,08:21 AM,06:17 AM,05:46 PM,-4,16,17,16,23,1,25,0.0,1025,24,10,54,14,moreno-valley
2013-03-02,25,11,0.0,8.7,5,61,11:13 PM,09:04 AM,06:16 AM,05:47 PM,-5,17,17,17,15,7,25,0.0,1021,25,10,157,9,moreno-valley
2013-03-03,19,8,0.0,8.7,4,53,No moonrise,09:52 AM,06:14 AM,05:48 PM,-0,13,13,13,14,15,44,0.0,1016,19,10,217,10,moreno-valley
2013-03-04,17,6,0.0,8.7,4,46,12:16 AM,10:45 AM,06:13 AM,05:48 PM,6,11,12,11,9,17,73,0.0,1017,17,8,236,7,moreno-valley
2013-03-05,18,7,0.0,8.7,4,39,01:17 AM,11:45 AM,06:12 AM,05:49 PM,8,12,12,12,11,19,77,0.0,1017,18,8,231,9,moreno-valley
2013-03-06,14,6,0.0,8.7,3,32,02:12 AM,12:47 PM,06:11 AM,05:50 PM,5,7,9,7,16,33,80,0.1,1017,14,7,248,12,moreno-valley
2013-03-07,12,5,0.0,8.7,3,24,03:03 AM,01:52 PM,06:09 AM,05:51 PM,4,6,8,6,13,39,77,0.1,1014,12,9,196,9,moreno-valley
2013-03-08,8,4,0.0,8.7,2,17,03:49 AM,02:58 PM,06:08 AM,05:52 PM,2,3,6,3,17,67,76,2.8,1011,8,9,202,13,moreno-valley
2013-03-09,12,4,0.0,8.7,3,10,04:29 AM,04:03 PM,06:07 AM,05:52 PM,2,7,8,7,11,31,70,0.2,1019,12,10,220,8,moreno-valley
2013-03-10,19,5,0.0,8.7,4,3,05:07 AM,05:06 PM,06:06 AM,05:53 PM,-5,11,12,11,17,0,32,0.0,1023,19,10,104,10,moreno-valley
2013-03-11,22,7,0.0,8.7,4,0,05:43 AM,06:08 PM,06:04 AM,05:54 PM,-4,15,15,15,11,1,29,0.0,1020,22,10,163,6,moreno-valley
2013-03-12,25,8,0.0,8.7,5,0,06:17 AM,07:09 PM,06:03 AM,05:55 PM,-1,18,17,18,10,4,33,0.0,1018,25,10,118,6,moreno-valley
2013-03-13,28,12,0.0,8.7,5,5,06:52 AM,08:08 PM,06:02 AM,05:56 PM,1,21,20,21,11,0,31,0.0,1018,28,10,121,6,moreno-valley
2013-03-14,29,12,0.0,11.6,5,12,07:28 AM,09:06 PM,06:00 AM,05:56 PM,4,21,20,21,11,0,37,0.0,1017,29,10,151,7,moreno-valley
2013-03-15,26,11,0.0,11.6,5,19,08:05 AM,10:02 PM,05:59 AM,05:57 PM,2,17,17,17,10,14,40,0.0,1014,26,10,255,7,moreno-valley
