date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01,9,4,0.0,8.7,3,68,09:33 PM,09:45 AM,07:25 AM,05:01 PM,1,5,7,5,17,6,64,0.0,1024,9,10,85,10,oakland
2013-01-02,11,4,0.0,8.7,3,60,10:33 PM,10:15 AM,07:25 AM,05:02 PM,2,7,9,7,15,0,61,0.0,1022,11,10,74,9,oakland
2013-01-03,10,3,0.0,8.7,3,53,11:36 PM,10:46 AM,07:25 AM,05:03 PM,-2,6,7,6,12,12,53,0.0,1022,10,10,55,7,oakland
2013-01-04,12,4,0.0,8.7,3,46,No moonrise,11:19 AM,07:25 AM,05:04 PM,0,7,8,7,13,20,56,0.0,1023,12,10,69,7,oakland
2013-01-05,11,6,0.0,3.7,2,38,12:40 AM,11:54 AM,07:25 AM,05:05 PM,6,8,9,8,14,79,81,0.0,1022,11,10,154,9,oakland
2013-01-06,10,5,0.0,8.7,3,31,01:47 AM,12:34 PM,07:25 AM,05:06 PM,5,7,8,7,14,43,82,0.6,1021,10,9,132,10,oakland
2013-01-07,12,5,0.0,8.7,3,24,02:55 AM,01:20 PM,07:25 AM,05:07 PM,5,9,10,9,11,7,75,0.0,1022,12,10,316,6,oakland
2013-01-08,13,7,0.0,8.7,3,17,04:03 AM,02:14 PM,07:25 AM,05:08 PM,7,10,11,10,10,16,78,0.0,1022,13,10,76,5,oakland
2013-01-09,11,7,0.0,5.4,3,9,05:09 AM,03:16 PM,07:25 AM,05:09 PM,5,7,9,7,20,27,78,0.1,1019,11,10,228,13,oakland
2013-01-10,9,5,0.0,8.7,3,2,06:09 AM,04:23 PM,07:25 AM,05:09 PM,1,4,7,4,29,15,65,0.0,1020,9,10,309,18,oakland
2013-01-11,10,3,0.0,8.7,3,0,07:02 AM,05:34 PM,07:25 AM,05:10 PM,1,4,7,4,25,24,68,0.3,1022,10,10,271,14,oakland
2013-01-12,8,2,0.0,8.7,2,0,07:49 AM,06:44 PM,07:24 AM,05:11 PM,0,5,6,5,10,10,66,0.0,1022,8,10,127,6,oakland
2013-01-13,8,1,0.0,8.7,2,5,08:28 AM,07:54 PM,07:24 AM,05:13 PM,-4,4,6,4,14,8,50,0.0,1023,8,10,119,9,oakland
2013-01-14,9,1,0.0,8.7,2,12,09:05 AM,09:00 PM,07:24 AM,05:14 PM,-4,5,6,5,14,1,47,0.0,1027,9,10,104,9,oakland
2013-01-15,10,3,0.0,8.7,3,20,09:38 AM,10:04 PM,07:24 AM,05:15 PM,1,9,9,9,8,0,59,0.0,1030,10,10,97,5,oakland
2013-01-16,11,3,0.0,8.7,3,27,10:09 AM,11:05 PM,07:23 AM,05:16 PM,-0,8,9,8,13,0,51,0.0,1027,11,10,64,8,oakland
2013-01-17,14,5,0.0,8.7,3,34,10:40 AM,No moonset,07:23 AM,05:17 PM,-0,8,10,8,20,2,49,0.0,1022,14,10,65,11,oakland
2013-01-18,14,6,0.0,8.7,3,41,11:13 AM,12:04 AM,07:22 AM,05:18 PM,0,10,11,10,18,0,48,0.0,1021,14,10,65,10,oakland
2013-01-19,14,6,0.0,7.0,3,49,11:47 AM,01:02 AM,07:22 AM,05:19 PM,-0,8,10,8,19,40,51,0.0,1022,14,10,68,10,oakland
2013-01-20,15,6,0.0,8.7,3,56,12:24 PM,01:59 AM,07:21 AM,05:20 PM,1,10,11,10,18,22,51,0.0,1021,15,10,70,10,oakland
