date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01,14,7,0.0,8.7,3,68,09:15 PM,09:21 AM,06:53 AM,04:54 PM,0,10,10,10,14,13,51,0.0,1022,14,10,71,8,oceanside
2013-01-02,16,7,0.0,8.7,4,60,10:13 PM,09:54 AM,06:53 AM,04:54 PM,-0,11,12,11,15,1,43,0.0,1020,16,10,154,8,oceanside
2013-01-03,17,8,0.0,8.7,4,53,11:13 PM,10:27 AM,06:53 AM,04:55 PM,2,14,14,14,11,0,46,0.0,1020,17,10,118,7,oceanside
2013-01-04,17,8,0.0,8.7,4,46,No moonrise,11:02 AM,06:54 AM,04:56 PM,-2,13,13,13,12,0,37,0.0,1023,17,10,117,7,oceanside
2013-01-05,16,8,0.0,8.7,4,38,12:14 AM,11:40 AM,06:54 AM,04:57 PM,-1,12,12,12,10,12,40,0.0,1024,16,10,183,6,oceanside
2013-01-06,12,7,0.0,7.1,3,31,01:19 AM,12:22 PM,06:54 AM,04:58 PM,5,9,10,9,8,42,74,0.8,1020,12,10,190,6,oceanside
2013-01-07,16,7,0.0,8.7,4,24,02:25 AM,01:10 PM,06:54 AM,04:59 PM,3,10,11,10,19,5,62,0.1,1017,16,10,260,11,oceanside
2013-01-08,19,9,0.0,8.7,4,17,03:32 AM,02:05 PM,06:54 AM,04:59 PM,6,15,15,15,8,0,57,0.0,1018,19,10,173,5,oceanside
2013-01-09,17,10,0.0,8.7,4,9,04:37 AM,03:07 PM,06:54 AM,05:00 PM,7,13,13,13,10,41,68,0.0,1018,17,10,184,6,oceanside
2013-01-10,11,8,0.0,8.7,4,2,05:38 AM,04:13 PM,06:54 AM,05:01 PM,5,7,10,7,34,35,72,1.4,1015,11,10,256,23,oceanside
2013-01-11,10,3,0.0,8.7,3,0,06:32 AM,05:22 PM,06:54 AM,05:02 PM,-2,5,7,5,17,3,53,0.0,1020,10,10,281,11,oceanside
2013-01-12,11,3,0.0,8.7,3,0,07:21 AM,06:31 PM,06:53 AM,05:03 PM,-2,7,8,7,11,2,52,0.0,1020,11,10,148,7,oceanside
2013-01-13,11,4,0.0,8.7,3,5,08:03 AM,07:38 PM,06:53 AM,05:04 PM,-5,5,7,5,19,8,42,0.0,1020,11,10,154,11,oceanside
