date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01,12,2,0.0,8.7,3,68,09:15 PM,09:23 AM,06:56 AM,04:53 PM,-8,5,7,5,19,11,35,0.0,1023,12,10,54,11,ontario
2013-01-02,15,4,0.0,8.7,3,60,10:14 PM,09:55 AM,06:57 AM,04:53 PM,-6,7,10,7,26,0,34,0.0,1021,15,10,36,14,ontario
2013-01-03,16,6,0.0,8.7,3,53,11:14 PM,10:28 AM,06:57 AM,04:54 PM,-3,9,11,9,24,0,38,0.0,1021,16,10,30,14,ontario
2013-01-04,15,5,0.0,8.7,3,46,No moonrise,11:03 AM,06:57 AM,04:55 PM,-6,10,11,10,14,1,31,0.0,1024,15,10,56,8,ontario
2013-01-05,16,4,0.0,8.7,3,38,12:16 AM,11:40 AM,06:57 AM,04:56 PM,-7,9,10,9,11,13,32,0.0,1024,16,10,138,6,ontario
2013-01-06,10,2,0.0,8.7,3,31,01:22 AM,12:21 PM,06:57 AM,04:57 PM,1,5,6,5,13,16,70,0.1,1020,10,10,172,8,ontario
2013-01-07,16,3,0.0,8.7,3,24,02:28 AM,01:09 PM,06:57 AM,04:58 PM,-5,8,9,8,24,5,42,0.0,1018,16,10,145,14,ontario
2013-01-08,20,8,0.0,8.7,4,17,03:35 AM,02:04 PM,06:57 AM,04:58 PM,-0,14,14,14,20,1,37,0.0,1019,20,10,60,11,ontario
2013-01-09,19,8,0.0,8.7,4,9,04:40 AM,03:06 PM,06:57 AM,04:59 PM,3,12,13,12,16,32,54,0.0,1018,19,10,173,9,ontario
2013-01-10,8,2,0.0,7.1,3,2,05:41 AM,04:12 PM,06:57 AM,05:00 PM,1,4,7,4,21,33,70,0.4,1014,8,8,246,14,ontario
2013-01-11,7,-2,0.0,8.7,2,0,06:35 AM,05:22 PM,06:57 AM,05:01 PM,-6,1,4,1,17,3,51,0.0,1020,7,10,281,11,ontario
2013-01-12,8,-1,0.0,8.7,2,0,07:23 AM,06:31 PM,06:57 AM,05:02 PM,-7,2,4,2,15,4,48,0.0,1020,8,10,105,8,ontario
2013-01-13,8,-1,0.0,8.7,2,5,08:05 AM,07:38 PM,06:56 AM,05:03 PM,-11,1,4,1,21,8,34,0.0,1020,8,10,139,12,ontario
2013-01-14,8,-1,0.0,8.7,2,12,08:43 AM,08:42 PM,06:56 AM,05:04 PM,-17,-1,3,-1,28,6,23,0.0,1027,8,10,34,15,ontario
2013-01-15,12,1,0.0,8.7,3,20,09:18 AM,09:44 PM,06:56 AM,05:05 PM,-10,5,7,5,23,1,29,0.0,1031,12,10,21,13,ontario
2013-01-16,17,5,0.0,8.7,4,27,09:52 AM,10:43 PM,06:56 AM,05:06 PM,-5,8,10,8,32,0,35,0.0,1027,17,10,25,18,ontario
2013-01-17,20,8,0.0,8.7,4,34,10:25 AM,11:41 PM,06:55 AM,05:07 PM,-2,12,14,12,32,0,38,0.0,1023,20,10,35,18,ontario
2013-01-18,21,9,0.0,8.7,4,41,10:59 AM,No moonset,06:55 AM,05:08 PM,-2,13,15,13,27,0,34,0.0,1022,21,10,33,15,ontario
2013-01-19,21,9,0.0,8.7,4,49,11:35 AM,12:37 AM,06:55 AM,05:09 PM,-4,13,15,13,27,0,27,0.0,1022,21,10,33,14,ontario
2013-01-20,21,9,0.0,8.7,4,56,12:13 PM,01:32 AM,06:54 AM,05:10 PM,-8,14,15,14,27,0,22,0.0,1021,21,10,40,15,ontario
2013-01-21,22,10,0.0,8.7,5,63,12:55 PM,02:25 AM,06:54 AM,05:11 PM,-6,15,16,15,25,0,23,0.0,1019,22,10,37,14,ontario
2013-01-22,23,10,0.0,8.7,5,70,01:40 PM,03:17 AM,06:53 AM,05:12 PM,-6,16,16,16,16,2,22,0.0,1019,23,10,91,9,ontario
2013-01-23,23,12,0.0,8.7,5,78,02:29 PM,04:06 AM,06:53 AM,05:13 PM,-5,16,17,16,20,38,24,0.0,1019,23,10,120,12,ontario
2013-01-24,16,12,0.0,7.1,4,85,03:22 PM,04:52 AM,06:52 AM,05:14 PM,9,13,14,13,12,53,75,3.7,1021,16,8,94,8,ontario
2013-01-25,17,12,0.0,7.1,4,92,04:16 PM,05:35 AM,06:52 AM,05:15 PM,9,14,14,14,14,60,70,1.1,1019,17,10,68,8,ontario
