date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01,14,6,0.0,8.7,3,68,09:16 PM,09:24 AM,06:56 AM,04:54 PM,-2,10,11,10,14,10,41,0.0,1023,14,10,55,8,orange
2013-01-02,17,7,0.0,8.7,4,60,10:15 PM,09:56 AM,06:57 AM,04:55 PM,-1,12,13,12,18,0,39,0.0,1020,17,10,148,10,orange
2013-01-03,18,9,0.0,8.7,4,53,11:15 PM,10:29 AM,06:57 AM,04:56 PM,2,14,15,14,17,0,42,0.0,1021,18,10,104,10,orange
2013-01-04,17,8,0.0,8.7,4,46,No moonrise,11:04 AM,06:57 AM,04:56 PM,-0,14,15,14,11,0,36,0.0,1023,17,10,121,7,orange
2013-01-05,16,7,0.0,8.7,4,38,12:17 AM,11:41 AM,06:57 AM,04:57 PM,-1,12,12,12,10,13,40,0.0,1024,16,10,154,6,orange
2013-01-06,12,6,0.0,8.7,3,31,01:22 AM,12:23 PM,06:57 AM,04:58 PM,5,9,10,9,8,26,72,0.3,1020,12,10,200,6,orange
2013-01-07,18,6,0.0,8.7,4,24,02:28 AM,01:11 PM,06:57 AM,04:59 PM,0,11,12,11,24,4,47,0.3,1017,18,10,265,14,orange
2013-01-08,20,10,0.0,8.7,4,17,03:36 AM,02:05 PM,06:57 AM,05:00 PM,4,16,17,16,14,1,44,0.0,1019,20,10,85,8,orange
2013-01-09,18,10,0.0,8.7,4,9,04:40 AM,03:07 PM,06:57 AM,05:01 PM,6,14,14,14,10,43,61,0.0,1018,18,10,207,6,orange
2013-01-10,11,6,0.0,8.7,3,2,05:41 AM,04:14 PM,06:57 AM,05:02 PM,3,8,10,8,26,28,68,1.1,1015,11,9,264,17,orange
2013-01-11,10,3,0.0,8.7,3,0,06:35 AM,05:23 PM,06:57 AM,05:03 PM,-4,4,7,4,23,4,48,0.0,1020,10,10,286,15,orange
2013-01-12,10,3,0.0,8.7,3,0,07:24 AM,06:32 PM,06:57 AM,05:03 PM,-4,6,8,6,17,3,45,0.0,1020,10,10,113,10,orange
2013-01-13,11,3,0.0,8.7,3,5,08:06 AM,07:39 PM,06:57 AM,05:04 PM,-6,5,7,5,21,12,38,0.0,1020,11,10,134,12,orange
2013-01-14,11,2,0.0,8.7,3,12,08:44 AM,08:43 PM,06:56 AM,05:05 PM,-12,4,7,4,28,6,25,0.0,1026,11,10,70,16,orange
2013-01-15,14,4,0.0,8.7,3,20,09:19 AM,09:45 PM,06:56 AM,05:06 PM,-6,10,11,10,17,1,32,0.0,1030,14,10,184,11,orange
2013-01-16,19,7,0.0,8.7,4,27,09:53 AM,10:43 PM,06:56 AM,05:07 PM,0,13,14,13,23,0,41,0.0,1026,19,10,100,13,orange
2013-01-17,22,10,0.0,8.7,5,34,10:26 AM,11:41 PM,06:56 AM,05:08 PM,3,16,17,16,23,0,40,0.0,1022,22,10,31,13,orange
2013-01-18,22,11,0.0,8.7,5,41,11:00 AM,No moonset,06:55 AM,05:09 PM,4,18,18,18,19,0,39,0.0,1021,22,10,65,10,orange
2013-01-19,22,11,0.0,8.7,5,49,11:36 AM,12:37 AM,06:55 AM,05:10 PM,1,17,18,17,21,0,33,0.0,1021,22,10,66,11,orange
2013-01-20,22,11,0.0,8.7,5,56,12:14 PM,01:32 AM,06:54 AM,05:11 PM,-1,18,18,18,22,0,29,0.0,1020,22,10,112,12,orange
