date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01,12,2,0.0,8.7,3,68,09:15 PM,09:23 AM,06:56 AM,04:52 PM,-8,5,7,5,19,12,35,0.0,1023,12,10,55,11,rancho-cucamonga
2013-01-02,15,4,0.0,8.7,3,60,10:14 PM,09:55 AM,06:56 AM,04:53 PM,-6,7,9,7,26,0,34,0.0,1021,15,10,36,14,rancho-cucamonga
2013-01-03,16,6,0.0,8.7,3,53,11:14 PM,10:28 AM,06:57 AM,04:54 PM,-4,9,11,9,24,0,39,0.0,1021,16,10,31,14,rancho-cucamonga
2013-01-04,15,5,0.0,8.7,3,46,No moonrise,11:02 AM,06:57 AM,04:55 PM,-6,10,11,10,14,1,31,0.0,1024,15,10,59,7,rancho-cucamonga
2013-01-05,16,4,0.0,8.7,3,38,12:16 AM,11:40 AM,06:57 AM,04:55 PM,-8,9,10,9,10,13,31,0.0,1024,16,10,137,6,rancho-cucamonga
2013-01-06,9,2,0.0,8.7,3,31,01:21 AM,12:21 PM,06:57 AM,04:56 PM,1,5,6,5,13,16,69,0.0,1020,9,10,172,8,rancho-cucamonga
2013-01-07,15,3,0.0,8.7,3,24,02:28 AM,01:09 PM,06:57 AM,04:57 PM,-5,7,9,7,24,6,42,0.0,1018,15,10,148,13,rancho-cucamonga
2013-01-08,20,8,0.0,8.7,4,17,03:35 AM,02:04 PM,06:57 AM,04:58 PM,-0,13,14,13,20,1,37,0.0,1019,20,10,62,11,rancho-cucamonga
2013-01-09,19,8,0.0,8.7,4,9,04:40 AM,03:05 PM,06:57 AM,04:59 PM,3,12,13,12,16,32,54,0.0,1018,19,10,174,10,rancho-cucamonga
2013-01-10,8,2,0.0,7.1,3,2,05:41 AM,04:12 PM,06:57 AM,05:00 PM,1,4,6,4,22,34,70,1.5,1014,8,8,244,14,rancho-cucamonga
2013-01-11,7,-2,0.0,8.7,2,0,06:35 AM,05:22 PM,06:57 AM,05:01 PM,-6,1,3,1,16,3,52,0.0,1020,7,10,280,11,rancho-cucamonga
2013-01-12,7,-1,0.0,8.7,2,0,07:23 AM,06:30 PM,06:56 AM,05:02 PM,-7,2,4,2,14,4,48,0.0,1020,7,10,102,7,rancho-cucamonga
2013-01-13,8,-1,0.0,8.7,2,5,08:05 AM,07:38 PM,06:56 AM,05:03 PM,-11,1,4,1,20,8,33,0.0,1020,8,10,141,11,rancho-cucamonga
2013-01-14,7,-2,0.0,8.7,2,12,08:43 AM,08:42 PM,06:56 AM,05:04 PM,-17,-1,3,-1,28,6,23,0.0,1027,7,10,34,15,rancho-cucamonga
2013-01-15,12,1,0.0,8.7,3,20,09:18 AM,09:44 PM,06:56 AM,05:05 PM,-10,4,7,4,23,1,30,0.0,1031,12,10,22,13,rancho-cucamonga
2013-01-16,17,5,0.0,8.7,4,27,09:52 AM,10:43 PM,06:55 AM,05:05 PM,-5,8,10,8,32,0,35,0.0,1027,17,10,25,18,rancho-cucamonga
2013-01-17,20,8,0.0,8.7,4,34,10:24 AM,11:41 PM,06:55 AM,05:06 PM,-2,12,13,12,31,0,38,0.0,1023,20,10,35,17,rancho-cucamonga
2013-01-18,21,9,0.0,8.7,4,41,10:59 AM,No moonset,06:55 AM,05:07 PM,-2,13,15,13,26,0,34,0.0,1022,21,10,34,14,rancho-cucamonga
2013-01-19,21,8,0.0,8.7,4,49,11:35 AM,12:36 AM,06:55 AM,05:08 PM,-4,13,15,13,27,0,28,0.0,1022,21,10,34,14,rancho-cucamonga
2013-01-20,21,9,0.0,8.7,4,56,12:13 PM,01:32 AM,06:54 AM,05:09 PM,-8,13,15,13,27,0,22,0.0,1021,21,10,41,15,rancho-cucamonga
2013-01-21,22,10,0.0,8.7,4,63,12:54 PM,02:25 AM,06:54 AM,05:10 PM,-6,15,16,15,25,0,23,0.0,1019,22,10,38,14,rancho-cucamonga
2013-01-22,23,10,0.0,8.7,4,70,01:40 PM,03:17 AM,06:53 AM,05:11 PM,-6,16,16,16,17,2,22,0.0,1019,23,10,90,9,rancho-cucamonga
2013-01-23,23,12,0.0,8.7,5,78,02:29 PM,04:05 AM,06:53 AM,05:12 PM,-5,16,16,16,20,36,24,0.0,1019,23,10,123,12,rancho-cucamonga
2013-01-24,16,12,0.0,7.1,4,85,03:21 PM,04:51 AM,06:52 AM,05:13 PM,9,13,13,13,12,55,75,2.6,1021,16,10,95,8,rancho-cucamonga
2013-01-25,17,12,0.0,7.1,4,92,04:16 PM,05:34 AM,06:52 AM,05:14 PM,9,14,14,14,15,53,70,0.6,1019,17,9,72,9,rancho-cucamonga
2013-01-26,16,11,0.0,8.7,4,100,05:13 PM,06:14 AM,06:51 AM,05:15 PM,10,13,13,13,8,60,85,0.9,1013,16,8,202,6,rancho-cucamonga
2013-01-27,11,5,0.0,4.0,2,100,06:10 PM,06:50 AM,06:51 AM,05:16 PM,7,8,9,8,14,54,89,1.3,1015,11,8,212,10,rancho-cucamonga
2013-01-28,9,1,0.0,8.7,2,86,07:09 PM,07:25 AM,06:50 AM,05:17 PM,-3,4,6,4,15,9,56,0.2,1019,9,10,295,9,rancho-cucamonga
2013-01-29,12,1,0.0,8.7,3,79,08:08 PM,07:59 AM,06:49 AM,05:18 PM,-0,7,8,7,10,5,59,0.0,1023,12,10,159,6,rancho-cucamonga
2013-01-30,17,6,0.0,8.7,4,71,09:09 PM,08:31 AM,06:49 AM,05:19 PM,2,13,13,13,13,0,47,0.0,1025,17,10,175,7,rancho-cucamonga
2013-01-31,21,8,0.0,8.7,4,68,10:10 PM,09:06 AM,06:48 AM,05:20 PM,-1,15,15,15,18,0,33,0.0,1022,21,10,66,10,rancho-cucamonga
2013-02-01,22,8,0.0,8.7,4,51,11:13 PM,09:42 AM,06:47 AM,05:21 PM,-1,16,16,16,11,19,34,0.0,1021,22,10,58,6,rancho-cucamonga
2013-02-02,22,11,0.0,8.7,5,44,No moonrise,10:21 AM,06:46 AM,05:22 PM,2,16,16,16,12,40,40,0.0,1022,22,10,104,6,rancho-cucamonga
2013-02-03,19,10,0.0,8.7,4,36,12:17 AM,11:05 AM,06:46 AM,05:23 PM,5,15,15,15,11,16,54,0.5,1019,19,9,141,6,rancho-cucamonga
2013-02-04,20,9,0.0,8.7,4,29,01:22 AM,11:55 AM,06:45 AM,05:24 PM,3,16,16,16,10,0,45,0.0,1017,20,10,160,6,rancho-cucamonga
2013-02-05,16,6,0.0,8.7,4,21,02:25 AM,12:51 PM,06:44 AM,05:25 PM,7,12,13,12,9,8,72,0.0,1015,16,9,165,6,rancho-cucamonga
2013-02-06,16,5,0.0,8.7,3,14,03:26 AM,01:54 PM,06:43 AM,05:26 PM,3,11,12,11,9,4,61,0.0,1017,16,9,297,6,rancho-cucamonga
2013-02-07,16,3,0.0,8.7,3,6,04:21 AM,03:00 PM,06:42 AM,05:27 PM,1,10,11,10,11,14,57,0.0,1017,16,10,210,8,rancho-cucamonga
