date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01,10,1,0.0,8.7,2,68,09:14 PM,09:22 AM,06:55 AM,04:51 PM,-9,3,5,3,21,11,36,0.0,1023,10,10,60,12,san-bernardino
2013-01-02,13,3,0.0,8.7,3,60,10:12 PM,09:54 AM,06:55 AM,04:52 PM,-7,5,8,5,28,0,35,0.0,1021,13,10,41,15,san-bernardino
2013-01-03,14,5,0.0,8.7,3,53,11:13 PM,10:27 AM,06:55 AM,04:53 PM,-5,7,9,7,24,0,40,0.0,1021,14,10,36,14,san-bernardino
2013-01-04,14,4,0.0,8.7,3,46,No moonrise,11:01 AM,06:55 AM,04:53 PM,-7,8,9,8,14,0,31,0.0,1024,14,10,69,8,san-bernardino
2013-01-05,15,3,0.0,8.7,3,38,12:15 AM,11:39 AM,06:55 AM,04:54 PM,-9,8,9,8,11,12,29,0.0,1024,15,10,134,6,san-bernardino
2013-01-06,8,1,0.0,8.7,2,31,01:20 AM,12:20 PM,06:56 AM,04:55 PM,-1,3,5,3,13,19,67,0.0,1019,8,10,186,8,san-bernardino
2013-01-07,13,2,0.0,8.7,3,24,02:26 AM,01:08 PM,06:56 AM,04:56 PM,-5,5,8,5,24,7,44,0.0,1017,13,10,63,14,san-bernardino
2013-01-08,19,7,0.0,8.7,4,17,03:34 AM,02:02 PM,06:56 AM,04:57 PM,-1,12,13,12,20,1,38,0.0,1019,19,10,60,11,san-bernardino
2013-01-09,18,8,0.0,8.7,4,9,04:39 AM,03:04 PM,06:55 AM,04:58 PM,2,12,12,12,17,36,54,0.0,1018,18,10,180,10,san-bernardino
2013-01-10,6,1,0.0,7.1,2,2,05:40 AM,04:11 PM,06:55 AM,04:59 PM,0,2,5,2,26,37,72,1.4,1014,6,9,240,16,san-bernardino
2013-01-11,5,-3,0.0,8.7,2,0,06:34 AM,05:20 PM,06:55 AM,05:00 PM,-8,-1,2,-1,15,4,52,0.0,1020,5,10,268,10,san-bernardino
2013-01-12,6,-2,0.0,8.7,2,0,07:22 AM,06:29 PM,06:55 AM,05:00 PM,-8,1,3,1,11,5,49,0.0,1020,6,10,175,6,san-bernardino
2013-01-13,6,-2,0.0,8.7,2,5,08:04 AM,07:36 PM,06:55 AM,05:01 PM,-13,-1,2,-1,19,13,34,0.0,1021,6,10,144,11,san-bernardino
2013-01-14,6,-3,0.0,8.7,2,12,08:42 AM,08:40 PM,06:55 AM,05:02 PM,-18,-3,1,-3,26,8,24,0.0,1027,6,10,33,15,san-bernardino
2013-01-15,11,0,0.0,8.7,2,20,09:17 AM,09:42 PM,06:55 AM,05:03 PM,-11,2,5,2,26,1,30,0.0,1031,11,10,26,15,san-bernardino
2013-01-16,16,4,0.0,8.7,3,27,09:50 AM,10:41 PM,06:54 AM,05:04 PM,-6,7,9,7,33,0,36,0.0,1027,16,10,31,18,san-bernardino
2013-01-17,18,7,0.0,8.7,4,34,10:23 AM,11:39 PM,06:54 AM,05:05 PM,-2,10,12,10,32,0,40,0.0,1023,18,10,42,18,san-bernardino
2013-01-18,19,8,0.0,8.7,4,41,10:57 AM,No moonset,06:54 AM,05:06 PM,-2,12,13,12,25,0,35,0.0,1022,19,10,41,14,san-bernardino
2013-01-19,19,8,0.0,8.7,4,49,11:33 AM,12:35 AM,06:53 AM,05:07 PM,-6,12,13,12,26,0,28,0.0,1022,19,10,41,14,san-bernardino
2013-01-20,20,8,0.0,8.7,4,56,12:11 PM,01:31 AM,06:53 AM,05:08 PM,-9,12,13,12,26,0,23,0.0,1021,20,10,45,14,san-bernardino
2013-01-21,21,9,0.0,8.7,4,63,12:53 PM,02:24 AM,06:52 AM,05:09 PM,-7,13,14,13,26,0,23,0.0,1019,21,10,42,14,san-bernardino
2013-01-22,22,9,0.0,8.7,4,70,01:39 PM,03:15 AM,06:52 AM,05:10 PM,-8,14,15,14,17,2,21,0.0,1019,22,10,88,10,san-bernardino
2013-01-23,22,11,0.0,8.7,5,78,02:27 PM,04:04 AM,06:52 AM,05:11 PM,-5,15,16,15,19,30,25,0.0,1019,22,10,132,11,san-bernardino
2013-01-24,15,11,0.0,7.1,4,85,03:20 PM,04:50 AM,06:51 AM,05:12 PM,8,12,13,12,12,43,73,3.5,1021,15,9,137,8,san-bernardino
