date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01,14,8,0.0,8.7,4,68,09:14 PM,09:20 AM,06:51 AM,04:54 PM,2,11,12,11,15,16,51,0.0,1022,14,10,58,9,san-diego
2013-01-02,16,8,0.0,8.7,4,60,10:12 PM,09:53 AM,06:51 AM,04:55 PM,-0,12,13,12,16,1,40,0.0,1019,16,10,163,9,san-diego
2013-01-03,17,10,0.0,8.7,4,53,11:12 PM,10:26 AM,06:51 AM,04:55 PM,2,15,15,15,13,0,41,0.0,1020,17,10,119,8,san-diego
2013-01-04,17,9,0.0,8.7,4,46,No moonrise,11:02 AM,06:51 AM,04:56 PM,-3,14,14,14,15,0,32,0.0,1023,17,10,121,9,san-diego
2013-01-05,17,9,0.0,8.7,4,38,12:13 AM,11:40 AM,06:52 AM,04:57 PM,-1,13,14,13,11,12,39,0.0,1023,17,10,191,7,san-diego
2013-01-06,13,8,0.0,7.1,3,31,01:17 AM,12:22 PM,06:52 AM,04:58 PM,6,10,11,10,9,39,75,0.9,1020,13,10,228,6,san-diego
2013-01-07,16,8,0.0,8.7,4,24,02:23 AM,01:10 PM,06:52 AM,04:59 PM,5,11,12,11,20,6,66,1.3,1016,16,10,255,12,san-diego
2013-01-08,18,9,0.0,8.7,4,17,03:30 AM,02:05 PM,06:52 AM,05:00 PM,7,16,16,16,8,0,59,0.0,1018,18,10,176,5,san-diego
2013-01-09,18,10,0.0,8.7,4,9,04:35 AM,03:07 PM,06:52 AM,05:00 PM,8,14,14,14,9,32,68,0.0,1018,18,10,195,6,san-diego
2013-01-10,12,9,0.0,8.7,4,2,05:36 AM,04:13 PM,06:52 AM,05:01 PM,6,8,11,8,35,33,73,0.7,1016,12,9,263,24,san-diego
2013-01-11,10,5,0.0,8.7,3,0,06:30 AM,05:22 PM,06:52 AM,05:02 PM,-0,7,8,7,19,3,56,0.2,1020,10,10,295,11,san-diego
2013-01-12,11,4,0.0,8.7,3,0,07:19 AM,06:30 PM,06:51 AM,05:03 PM,-0,8,9,8,11,3,54,0.1,1020,11,10,161,8,san-diego
2013-01-13,12,6,0.0,7.1,3,5,08:02 AM,07:37 PM,06:51 AM,05:04 PM,-4,7,9,7,18,13,43,0.0,1020,12,10,158,11,san-diego
2013-01-14,11,4,0.0,8.7,3,12,08:40 AM,08:40 PM,06:51 AM,05:05 PM,-7,6,8,6,20,4,35,0.0,1025,11,10,132,12,san-diego
2013-01-15,14,5,0.0,8.7,3,20,09:16 AM,09:42 PM,06:51 AM,05:06 PM,-6,8,10,8,18,0,32,0.0,1029,14,10,118,12,san-diego
2013-01-16,17,8,0.0,8.7,4,27,09:50 AM,10:40 PM,06:51 AM,05:07 PM,1,13,14,13,18,0,43,0.0,1025,17,10,119,11,san-diego
2013-01-17,21,11,0.0,8.7,5,34,10:24 AM,11:37 PM,06:50 AM,05:08 PM,4,17,17,17,18,0,43,0.0,1021,21,10,100,10,san-diego
2013-01-18,21,13,0.0,8.7,5,41,10:59 AM,No moonset,06:50 AM,05:09 PM,4,18,18,18,13,1,41,0.0,1020,21,10,103,7,san-diego
2013-01-19,21,13,0.0,8.7,5,49,11:35 AM,12:32 AM,06:50 AM,05:10 PM,2,18,18,18,14,4,36,0.0,1020,21,10,104,7,san-diego
2013-01-20,22,13,0.0,8.7,5,56,12:13 PM,01:27 AM,06:49 AM,05:11 PM,2,18,18,18,14,2,35,0.0,1019,22,10,155,8,san-diego
2013-01-21,21,13,0.0,8.7,5,63,12:56 PM,02:20 AM,06:49 AM,05:12 PM,2,19,19,19,14,0,32,0.0,1018,21,10,117,8,san-diego
2013-01-22,23,12,0.0,8.7,5,70,01:41 PM,03:12 AM,06:49 AM,05:12 PM,2,19,19,19,11,3,34,0.0,1018,23,10,108,6,san-diego
2013-01-23,22,15,0.0,8.7,5,78,02:30 PM,04:01 AM,06:48 AM,05:13 PM,4,18,19,18,21,41,41,0.0,1018,22,10,141,12,san-diego
2013-01-24,18,15,0.0,7.1,5,85,03:22 PM,04:47 AM,06:48 AM,05:14 PM,11,17,17,17,12,49,68,0.1,1020,18,10,174,7,san-diego
2013-01-25,17,14,0.0,5.6,4,92,04:17 PM,05:30 AM,06:47 AM,05:15 PM,13,16,16,16,13,71,82,5.3,1018,17,9,103,8,san-diego
2013-01-26,17,13,0.0,5.6,3,100,05:13 PM,06:09 AM,06:47 AM,05:16 PM,13,14,14,14,9,74,90,0.7,1013,17,7,253,6,san-diego
2013-01-27,13,10,0.0,7.1,4,100,06:10 PM,06:47 AM,06:46 AM,05:17 PM,9,11,12,11,15,54,79,0.0,1016,13,10,231,12,san-diego
2013-01-28,13,8,0.0,8.7,4,86,07:08 PM,07:22 AM,06:46 AM,05:18 PM,3,10,11,10,18,5,60,0.4,1019,13,10,264,12,san-diego
2013-01-29,14,8,0.0,8.7,4,79,08:06 PM,07:56 AM,06:45 AM,05:19 PM,6,11,11,11,12,4,69,0.0,1022,14,10,167,8,san-diego
2013-01-30,18,9,0.0,8.7,4,71,09:06 PM,08:30 AM,06:44 AM,05:20 PM,7,15,15,15,12,0,59,0.0,1024,18,10,203,8,san-diego
2013-01-31,21,11,0.0,8.7,5,68,10:07 PM,09:05 AM,06:44 AM,05:21 PM,6,16,17,16,17,6,51,0.0,1021,21,10,140,9,san-diego
2013-02-01,21,12,0.0,8.7,5,51,11:09 PM,09:41 AM,06:43 AM,05:22 PM,8,17,17,17,9,20,56,0.0,1020,21,10,94,5,san-diego
2013-02-02,21,13,0.0,8.7,5,44,No moonrise,10:21 AM,06:42 AM,05:23 PM,8,17,17,17,14,40,57,0.0,1021,21,10,178,7,san-diego
2013-02-03,19,13,0.0,8.7,5,36,12:13 AM,11:06 AM,06:42 AM,05:24 PM,10,16,16,16,14,24,68,0.0,1018,19,10,285,8,san-diego
2013-02-04,18,10,0.0,8.7,4,29,01:17 AM,11:56 AM,06:41 AM,05:25 PM,12,15,15,15,6,4,82,0.0,1017,18,9,258,5,san-diego
2013-02-05,14,9,0.0,7.2,4,21,02:20 AM,12:53 PM,06:40 AM,05:26 PM,10,12,12,12,8,26,86,0.0,1016,14,10,251,6,san-diego
2013-02-06,14,7,0.0,8.7,4,14,03:21 AM,01:55 PM,06:39 AM,05:27 PM,9,11,12,11,9,15,82,0.0,1017,14,9,290,6,san-diego
2013-02-07,15,8,0.0,8.7,4,6,04:17 AM,03:01 PM,06:38 AM,05:28 PM,10,12,12,12,11,28,84,0.0,1017,15,10,174,8,san-diego
2013-02-08,12,7,0.0,8.7,3,0,05:07 AM,04:08 PM,06:38 AM,05:29 PM,6,8,10,8,25,41,76,4.1,1014,12,10,268,17,san-diego
2013-02-09,12,5,0.0,8.7,3,0,05:53 AM,05:15 PM,06:37 AM,05:29 PM,5,9,9,9,8,10,74,0.9,1016,12,10,189,6,san-diego
2013-02-10,12,6,0.0,7.2,3,0,06:33 AM,06:20 PM,06:36 AM,05:30 PM,5,10,10,10,8,37,71,0.1,1018,12,10,175,6,san-diego
2013-02-11,13,7,0.0,8.7,3,1,07:11 AM,07:23 PM,06:35 AM,05:31 PM,6,10,10,10,13,11,74,0.3,1020,13,10,151,9,san-diego
2013-02-12,15,7,0.0,8.7,4,9,07:47 AM,08:24 PM,06:34 AM,05:32 PM,3,12,12,12,14,0,54,0.0,1025,15,10,186,10,san-diego
2013-02-13,17,8,0.0,8.7,4,16,08:21 AM,09:23 PM,06:33 AM,05:33 PM,6,13,13,13,12,0,64,0.0,1022,17,10,297,8,san-diego
2013-02-14,18,9,0.0,8.7,4,24,08:56 AM,10:20 PM,06:32 AM,05:34 PM,9,16,16,16,12,1,65,0.0,1020,18,10,206,7,san-diego
