date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01,9,4,0.0,8.7,3,68,09:33 PM,09:45 AM,07:25 AM,05:02 PM,1,6,8,6,17,6,64,0.0,1024,9,10,86,11,san-francisco
2013-01-02,11,4,0.0,8.7,3,60,10:34 PM,10:16 AM,07:26 AM,05:03 PM,2,8,9,8,15,0,60,0.0,1022,11,10,74,10,san-francisco
2013-01-03,10,3,0.0,8.7,3,53,11:37 PM,10:47 AM,07:26 AM,05:04 PM,-2,6,7,6,12,14,53,0.0,1022,10,10,55,7,san-francisco
2013-01-04,12,5,0.0,8.7,3,46,No moonrise,11:19 AM,07:26 AM,05:05 PM,0,7,9,7,13,22,56,0.0,1023,12,10,67,7,san-francisco
2013-01-05,11,6,0.0,3.7,2,38,12:41 AM,11:55 AM,07:26 AM,05:05 PM,6,8,9,8,14,82,81,6.8,1022,11,10,150,9,san-francisco
2013-01-06,10,5,0.0,7.0,3,31,01:48 AM,12:34 PM,07:26 AM,05:06 PM,6,7,8,7,14,43,82,1.4,1021,10,9,131,10,san-francisco
2013-01-07,12,5,0.0,8.7,3,24,02:56 AM,01:21 PM,07:26 AM,05:07 PM,5,9,10,9,11,8,75,0.0,1022,12,10,315,6,san-francisco
2013-01-08,13,7,0.0,8.7,3,17,04:04 AM,02:14 PM,07:26 AM,05:08 PM,7,11,11,11,10,9,78,0.0,1022,13,10,74,5,san-francisco
2013-01-09,11,7,0.0,5.4,3,9,05:10 AM,03:16 PM,07:25 AM,05:09 PM,6,7,9,7,21,28,78,0.0,1019,11,10,226,13,san-francisco
2013-01-10,10,5,0.0,8.7,3,2,06:10 AM,04:23 PM,07:25 AM,05:10 PM,1,4,7,4,29,16,64,0.0,1020,10,10,309,18,san-francisco
2013-01-11,10,3,0.0,8.7,3,0,07:03 AM,05:35 PM,07:25 AM,05:11 PM,1,4,7,4,25,25,68,0.4,1022,10,10,271,14,san-francisco
2013-01-12,8,3,0.0,8.7,3,0,07:49 AM,06:45 PM,07:25 AM,05:12 PM,1,5,7,5,11,11,66,0.0,1022,8,10,128,6,san-francisco
2013-01-13,8,1,0.0,8.7,2,5,08:29 AM,07:54 PM,07:25 AM,05:13 PM,-4,4,6,4,13,8,50,0.0,1023,8,10,74,8,san-francisco
2013-01-14,9,1,0.0,8.7,2,12,09:05 AM,09:01 PM,07:24 AM,05:14 PM,-4,5,7,5,13,1,48,0.0,1027,9,10,105,9,san-francisco
2013-01-15,10,3,0.0,8.7,3,20,09:38 AM,10:04 PM,07:24 AM,05:15 PM,2,9,10,9,8,0,60,0.0,1030,10,10,97,5,san-francisco
2013-01-16,12,3,0.0,8.7,3,27,10:10 AM,11:06 PM,07:24 AM,05:16 PM,0,9,10,9,12,0,51,0.0,1027,12,10,62,8,san-francisco
2013-01-17,14,5,0.0,8.7,3,34,10:41 AM,No moonset,07:23 AM,05:17 PM,-0,9,10,9,20,2,48,0.0,1022,14,10,65,11,san-francisco
2013-01-18,14,6,0.0,8.7,3,41,11:13 AM,12:05 AM,07:23 AM,05:18 PM,1,10,12,10,18,0,47,0.0,1021,14,10,65,10,san-francisco
2013-01-19,14,6,0.0,7.0,3,49,11:48 AM,01:03 AM,07:22 AM,05:20 PM,-0,9,10,9,19,43,50,0.0,1022,14,10,68,10,san-francisco
2013-01-20,15,6,0.0,8.7,3,56,12:25 PM,01:59 AM,07:22 AM,05:21 PM,1,10,11,10,18,22,50,0.0,1021,15,10,70,10,san-francisco
2013-01-21,15,6,0.0,8.7,3,63,01:06 PM,02:53 AM,07:21 AM,05:22 PM,1,11,12,11,18,0,49,0.0,1020,15,10,70,11,san-francisco
2013-01-22,15,7,0.0,7.1,4,70,01:51 PM,03:46 AM,07:21 AM,05:23 PM,-0,10,11,10,17,35,46,0.0,1017,15,10,87,9,san-francisco
2013-01-23,13,9,0.0,5.4,4,78,02:40 PM,04:34 AM,07:20 AM,05:24 PM,4,10,11,10,15,73,64,0.0,1017,13,9,105,8,san-francisco
