date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01,10,1,0.0,8.7,2,68,09:19 PM,09:27 AM,07:01 AM,04:55 PM,-7,2,5,2,23,10,46,0.0,1023,10,10,48,14,santa-clarita
2013-01-02,14,2,0.0,8.7,3,60,10:18 PM,09:59 AM,07:01 AM,04:56 PM,-6,5,7,5,24,0,38,0.0,1021,14,10,51,13,santa-clarita
2013-01-03,14,4,0.0,8.7,3,53,11:18 PM,10:32 AM,07:01 AM,04:57 PM,-5,6,9,6,24,0,39,0.0,1021,14,10,41,13,santa-clarita
2013-01-04,14,4,0.0,8.7,3,46,No moonrise,11:06 AM,07:01 AM,04:58 PM,-7,6,8,6,18,2,33,0.0,1023,14,10,55,10,santa-clarita
2013-01-05,14,4,0.0,8.7,3,38,12:21 AM,11:43 AM,07:01 AM,04:59 PM,-8,7,8,7,15,9,33,0.0,1023,14,10,109,8,santa-clarita
2013-01-06,9,3,0.0,8.7,3,31,01:26 AM,12:24 PM,07:01 AM,04:59 PM,2,4,6,4,16,24,74,0.0,1020,9,10,202,10,santa-clarita
2013-01-07,14,1,0.0,8.7,3,24,02:32 AM,01:12 PM,07:01 AM,05:00 PM,-4,4,7,4,34,8,52,0.0,1019,14,10,311,18,santa-clarita
2013-01-08,19,7,0.0,8.7,4,17,03:40 AM,02:07 PM,07:01 AM,05:01 PM,0,10,12,10,23,2,46,0.0,1019,19,10,32,12,santa-clarita
2013-01-09,17,7,0.0,7.1,4,9,04:45 AM,03:09 PM,07:01 AM,05:02 PM,2,10,11,10,17,46,53,0.0,1018,17,10,129,10,santa-clarita
2013-01-10,7,1,0.0,8.7,2,2,05:46 AM,04:15 PM,07:01 AM,05:03 PM,-1,2,5,2,22,9,66,0.0,1016,7,10,295,15,santa-clarita
2013-01-11,6,-2,0.0,8.7,2,0,06:39 AM,05:25 PM,07:01 AM,05:04 PM,-6,-3,1,-3,27,3,58,0.0,1021,6,10,339,15,santa-clarita
2013-01-12,7,-2,0.0,8.7,2,0,07:28 AM,06:34 PM,07:01 AM,05:05 PM,-7,-1,2,-1,20,3,53,0.0,1021,7,10,106,10,santa-clarita
2013-01-13,8,-2,0.0,8.7,2,5,08:09 AM,07:41 PM,07:01 AM,05:06 PM,-11,-1,2,-1,25,14,38,0.0,1021,8,10,138,14,santa-clarita
2013-01-14,7,-3,0.0,8.7,2,12,08:47 AM,08:46 PM,07:00 AM,05:07 PM,-16,-2,2,-2,25,6,28,0.0,1026,7,10,44,14,santa-clarita
2013-01-15,10,-0,0.0,8.7,2,20,09:22 AM,09:48 PM,07:00 AM,05:08 PM,-13,3,5,3,19,1,27,0.0,1030,10,10,76,10,santa-clarita
2013-01-16,15,3,0.0,8.7,3,27,09:55 AM,10:47 PM,07:00 AM,05:09 PM,-4,6,8,6,27,0,43,0.0,1027,15,10,49,14,santa-clarita
2013-01-17,17,6,0.0,8.7,4,34,10:28 AM,11:45 PM,07:00 AM,05:10 PM,-2,9,11,9,30,0,41,0.0,1022,17,10,49,16,santa-clarita
2013-01-18,18,7,0.0,8.7,4,41,11:02 AM,No moonset,06:59 AM,05:11 PM,-4,10,12,10,29,0,35,0.0,1021,18,10,41,16,santa-clarita
2013-01-19,19,6,0.0,8.7,4,49,11:38 AM,12:41 AM,06:59 AM,05:12 PM,-6,10,12,10,29,0,30,0.0,1022,19,10,44,16,santa-clarita
2013-01-20,19,7,0.0,8.7,4,56,12:16 PM,01:36 AM,06:59 AM,05:13 PM,-9,11,12,11,27,0,22,0.0,1021,19,10,45,15,santa-clarita
2013-01-21,20,8,0.0,8.7,4,63,12:58 PM,02:29 AM,06:58 AM,05:14 PM,-6,12,13,12,25,0,25,0.0,1019,20,10,41,13,santa-clarita
2013-01-22,20,9,0.0,8.7,4,70,01:43 PM,03:21 AM,06:58 AM,05:15 PM,-5,13,14,13,23,4,27,0.0,1019,20,10,54,13,santa-clarita
2013-01-23,20,11,0.0,8.7,4,78,02:32 PM,04:10 AM,06:57 AM,05:16 PM,-4,14,15,14,22,48,30,0.0,1018,20,10,106,13,santa-clarita
2013-01-24,14,10,0.0,5.6,3,85,03:25 PM,04:56 AM,06:57 AM,05:17 PM,9,11,12,11,15,62,83,0.1,1020,14,10,97,10,santa-clarita
2013-01-25,13,11,0.0,4.0,3,92,04:19 PM,05:39 AM,06:56 AM,05:18 PM,7,10,11,10,21,59,73,0.7,1018,13,9,31,11,santa-clarita
2013-01-26,16,8,0.0,8.7,4,100,05:16 PM,06:18 AM,06:56 AM,05:19 PM,8,11,12,11,14,27,78,0.0,1013,16,10,168,8,santa-clarita
2013-01-27,9,2,0.0,8.7,3,100,06:14 PM,06:55 AM,06:55 AM,05:20 PM,3,5,7,5,19,29,76,0.0,1016,9,8,289,12,santa-clarita
2013-01-28,9,-0,0.0,8.7,2,86,07:13 PM,07:29 AM,06:54 AM,05:21 PM,-5,-1,4,-1,34,8,55,0.0,1020,9,10,344,20,santa-clarita
2013-01-29,12,1,0.0,8.7,3,79,08:12 PM,08:02 AM,06:54 AM,05:22 PM,-1,4,6,4,20,3,60,0.0,1023,12,10,299,11,santa-clarita
2013-01-30,16,5,0.0,8.7,3,71,09:13 PM,08:35 AM,06:53 AM,05:23 PM,1,9,11,9,16,0,53,0.0,1025,16,10,157,9,santa-clarita
2013-01-31,19,7,0.0,8.7,4,68,10:14 PM,09:09 AM,06:52 AM,05:24 PM,-3,12,13,12,17,0,33,0.0,1022,19,10,22,9,santa-clarita
2013-02-01,20,8,0.0,8.7,4,51,11:17 PM,09:45 AM,06:52 AM,05:25 PM,-4,13,14,13,13,20,30,0.0,1021,20,10,51,7,santa-clarita
2013-02-02,20,11,0.0,8.7,4,44,No moonrise,10:24 AM,06:51 AM,05:26 PM,0,14,15,14,19,47,38,0.0,1022,20,10,79,10,santa-clarita
2013-02-03,19,9,0.0,8.7,4,36,12:21 AM,11:08 AM,06:50 AM,05:27 PM,1,13,13,13,18,11,46,0.0,1019,19,10,140,10,santa-clarita
2013-02-04,19,8,0.0,8.7,4,29,01:27 AM,11:58 AM,06:49 AM,05:28 PM,-2,12,13,12,15,0,37,0.0,1018,19,10,112,8,santa-clarita
2013-02-05,15,6,0.0,8.7,3,21,02:30 AM,12:55 PM,06:48 AM,05:29 PM,5,11,11,11,11,20,68,0.0,1016,15,10,240,7,santa-clarita
2013-02-06,15,3,0.0,8.7,3,14,03:31 AM,01:57 PM,06:47 AM,05:30 PM,-3,8,9,8,18,0,43,0.0,1018,15,10,293,10,santa-clarita
2013-02-07,14,2,0.0,8.7,3,6,04:26 AM,03:03 PM,06:47 AM,05:31 PM,-1,8,9,8,13,1,51,0.0,1018,14,10,227,8,santa-clarita
2013-02-08,7,0,0.0,7.2,2,0,05:16 AM,04:11 PM,06:46 AM,05:32 PM,-0,1,4,1,21,30,75,0.0,1014,7,10,275,14,santa-clarita
2013-02-09,10,-1,0.0,8.7,2,0,06:00 AM,05:19 PM,06:45 AM,05:33 PM,-2,2,4,2,16,3,67,0.0,1016,10,10,291,9,santa-clarita
2013-02-10,10,-0,0.0,8.7,2,0,06:40 AM,06:25 PM,06:44 AM,05:34 PM,0,4,5,4,9,21,71,0.0,1018,10,10,174,6,santa-clarita
2013-02-11,11,2,0.0,8.7,3,1,07:17 AM,07:29 PM,06:43 AM,05:35 PM,-6,5,7,5,12,3,45,0.0,1021,11,10,45,7,santa-clarita
2013-02-12,13,2,0.0,8.7,3,9,07:52 AM,08:30 PM,06:42 AM,05:35 PM,-9,7,8,7,12,2,29,0.0,1026,13,10,134,7,santa-clarita
2013-02-13,17,4,0.0,8.7,3,16,08:26 AM,09:31 PM,06:41 AM,05:36 PM,-5,9,11,9,16,0,34,0.0,1023,17,10,103,8,santa-clarita
2013-02-14,19,6,0.0,8.7,4,24,09:00 AM,10:28 PM,06:40 AM,05:37 PM,-0,11,12,11,18,0,43,0.0,1021,19,10,53,10,santa-clarita
2013-02-15,20,9,0.0,8.7,4,31,09:36 AM,11:25 PM,06:39 AM,05:38 PM,-0,13,15,13,26,9,39,0.0,1023,20,10,45,14,santa-clarita
2013-02-16,21,10,0.0,8.7,4,39,10:13 AM,No moonset,06:38 AM,05:39 PM,-2,14,15,14,21,28,32,0.0,1019,21,10,152,12,santa-clarita
2013-02-17,18,6,0.0,8.7,4,46,10:54 AM,12:20 AM,06:37 AM,05:40 PM,-1,12,12,12,11,0,43,0.0,1015,18,10,236,6,santa-clarita
2013-02-18,15,3,0.0,8.7,3,54,11:38 AM,01:13 AM,06:36 AM,05:41 PM,5,9,9,9,12,11,75,0.0,1015,15,9,166,8,santa-clarita
2013-02-19,8,4,0.0,5.7,3,62,12:25 PM,02:03 AM,06:34 AM,05:42 PM,4,4,7,4,19,52,83,0.0,1011,8,9,208,14,santa-clarita
2013-02-20,8,-1,0.0,8.7,2,69,01:16 PM,02:50 AM,06:33 AM,05:43 PM,-3,-1,3,-1,33,4,68,0.0,1011,8,10,323,20,santa-clarita
2013-02-21,11,0,0.0,8.7,3,77,02:10 PM,03:34 AM,06:32 AM,05:44 PM,-5,2,5,2,22,11,49,0.0,1017,11,10,143,12,santa-clarita
2013-02-22,14,3,0.0,8.7,3,84,03:06 PM,04:14 AM,06:31 AM,05:45 PM,-0,6,8,6,18,4,58,0.0,1021,14,10,201,9,santa-clarita
2013-02-23,15,4,0.0,8.7,3,92,04:03 PM,04:52 AM,06:30 AM,05:46 PM,-3,6,8,6,23,2,45,0.0,1018,15,10,329,13,santa-clarita
2013-02-24,13,3,0.0,8.7,3,99,05:02 PM,05:28 AM,06:29 AM,05:46 PM,-7,5,8,5,26,2,39,0.0,1021,13,10,63,14,santa-clarita
2013-02-25,16,4,0.0,7.2,3,100,06:02 PM,06:02 AM,06:27 AM,05:47 PM,-10,8,9,8,19,16,25,0.0,1022,16,10,168,11,santa-clarita
2013-02-26,17,4,0.0,8.7,3,86,07:04 PM,06:36 AM,06:26 AM,05:48 PM,-8,8,10,8,24,7,29,0.0,1018,17,10,63,13,santa-clarita
2013-02-27,17,7,0.0,8.7,4,78,08:06 PM,07:11 AM,06:25 AM,05:49 PM,-5,11,12,11,23,1,31,0.0,1024,17,10,63,12,santa-clarita
2013-02-28,20,8,0.0,8.7,4,71,09:10 PM,07:47 AM,06:24 AM,05:50 PM,-7,13,14,13,19,1,24,0.0,1027,20,10,100,10,santa-clarita
2013-03-01,23,11,0.0,8.7,5,68,10:14 PM,08:25 AM,06:22 AM,05:51 PM,-5,16,16,16,22,0,24,0.0,1025,23,10,41,12,santa-clarita
2013-03-02,24,12,0.0,8.7,5,61,11:20 PM,09:09 AM,06:21 AM,05:52 PM,-2,16,16,16,20,10,29,0.0,1021,24,10,141,11,santa-clarita
2013-03-03,18,8,0.0,8.7,4,53,No moonrise,09:57 AM,06:20 AM,05:52 PM,3,12,13,12,13,18,54,0.0,1017,18,10,235,9,santa-clarita
2013-03-04,18,6,0.0,8.7,4,46,12:23 AM,10:50 AM,06:19 AM,05:53 PM,5,11,12,11,10,4,66,0.0,1018,18,10,269,6,santa-clarita
2013-03-05,16,5,0.0,8.7,3,39,01:24 AM,11:49 AM,06:17 AM,05:54 PM,6,9,10,9,13,31,80,0.0,1018,16,7,200,9,santa-clarita
2013-03-06,13,5,0.0,8.7,3,32,02:19 AM,12:52 PM,06:16 AM,05:55 PM,5,6,8,6,15,31,81,0.1,1018,13,9,225,10,santa-clarita
2013-03-07,12,4,0.0,8.7,3,24,03:10 AM,01:57 PM,06:15 AM,05:56 PM,3,6,8,6,15,41,75,0.0,1015,12,10,198,11,santa-clarita
2013-03-08,9,5,0.0,8.7,2,17,03:55 AM,03:03 PM,06:13 AM,05:57 PM,3,5,7,5,16,38,78,3.2,1012,9,9,238,11,santa-clarita
2013-03-09,14,3,0.0,8.7,3,10,04:35 AM,04:08 PM,06:12 AM,05:57 PM,1,5,7,5,19,4,65,0.0,1020,14,10,291,11,santa-clarita
2013-03-10,19,5,0.0,8.7,4,3,05:13 AM,05:12 PM,06:11 AM,05:58 PM,-4,10,12,10,21,0,40,0.0,1024,19,10,42,11,santa-clarita
