date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-01-01,28,24,0.0,7.2,6,68,08:55 PM,08:49 AM,06:20 AM,05:38 PM,22,28,28,26,18,64,81,0.0,1012,28,10,62,13,santa-rosa
2013-01-02,29,24,0.0,8.7,7,60,09:45 PM,09:30 AM,06:20 AM,05:39 PM,23,29,29,26,16,45,80,0.0,1012,29,10,61,12,santa-rosa
2013-01-03,27,25,0.0,4.2,6,53,10:36 PM,10:10 AM,06:21 AM,05:40 PM,23,29,29,26,17,68,85,0.2,1012,27,9,45,12,santa-rosa
2013-01-04,28,25,0.0,7.2,7,46,11:29 PM,10:52 AM,06:21 AM,05:40 PM,23,29,29,26,19,60,82,0.0,1010,28,10,62,14,santa-rosa
2013-01-05,30,24,0.0,8.7,7,38,No moonrise,11:36 AM,06:21 AM,05:41 PM,23,30,30,27,14,53,81,0.4,1009,30,10,65,11,santa-rosa
2013-01-06,30,24,0.0,8.7,7,31,12:23 AM,12:22 PM,06:22 AM,05:41 PM,23,30,30,27,15,29,79,0.1,1010,30,10,65,12,santa-rosa
2013-01-07,28,24,0.0,5.7,7,24,01:21 AM,01:13 PM,06:22 AM,05:42 PM,23,29,29,26,14,56,83,0.0,1011,28,10,61,11,santa-rosa
2013-01-08,30,24,0.0,8.7,7,17,02:21 AM,02:08 PM,06:22 AM,05:42 PM,23,30,30,27,14,38,81,7.2,1011,30,10,57,11,santa-rosa
2013-01-09,29,23,0.0,7.2,7,9,03:24 AM,03:08 PM,06:22 AM,05:43 PM,23,30,30,26,13,35,82,0.0,1010,29,10,67,10,santa-rosa
2013-01-10,29,24,0.0,8.7,7,2,04:27 AM,04:11 PM,06:23 AM,05:44 PM,22,29,29,26,17,30,77,0.0,1010,29,10,61,13,santa-rosa
2013-01-11,26,24,0.0,5.7,5,0,05:29 AM,05:15 PM,06:23 AM,05:44 PM,23,28,28,25,12,69,86,0.1,1010,26,10,43,9,santa-rosa
2013-01-12,27,23,0.0,7.2,6,0,06:26 AM,06:18 PM,06:23 AM,05:45 PM,23,28,28,25,11,59,89,0.0,1009,27,8,39,9,santa-rosa
2013-01-13,30,23,0.0,8.7,7,5,07:19 AM,07:19 PM,06:23 AM,05:45 PM,23,30,30,27,10,26,83,0.0,1007,30,10,237,7,santa-rosa
2013-01-14,28,22,0.0,4.2,6,12,08:08 AM,08:16 PM,06:23 AM,05:46 PM,22,27,27,25,15,50,82,0.0,1010,28,10,44,11,santa-rosa
2013-01-15,26,22,0.0,8.7,6,20,08:53 AM,09:11 PM,06:24 AM,05:46 PM,19,26,26,24,23,27,76,0.0,1014,26,10,68,17,santa-rosa
2013-01-16,26,22,0.0,7.2,6,27,09:36 AM,10:03 PM,06:24 AM,05:47 PM,20,26,26,24,18,47,81,0.0,1014,26,10,66,14,santa-rosa
2013-01-17,27,22,0.0,7.2,6,34,10:17 AM,10:54 PM,06:24 AM,05:48 PM,20,26,26,24,16,41,77,0.0,1015,27,10,60,12,santa-rosa
2013-01-18,26,22,0.0,7.2,6,41,10:59 AM,11:44 PM,06:24 AM,05:48 PM,20,26,26,24,23,46,77,0.0,1016,26,10,57,17,santa-rosa
2013-01-19,25,22,0.0,5.7,5,49,11:40 AM,No moonset,06:24 AM,05:49 PM,20,26,26,24,24,60,81,0.0,1015,25,10,64,17,santa-rosa
2013-01-20,27,22,0.0,8.7,6,56,12:22 PM,12:33 AM,06:24 AM,05:49 PM,19,26,26,24,21,29,75,0.0,1016,27,10,64,16,santa-rosa
2013-01-21,28,21,0.0,7.2,6,63,01:06 PM,01:22 AM,06:24 AM,05:50 PM,21,27,27,25,12,40,79,0.0,1015,28,10,54,9,santa-rosa
2013-01-22,28,23,0.0,7.2,6,70,01:52 PM,02:11 AM,06:24 AM,05:50 PM,21,27,27,25,14,46,80,0.0,1014,28,10,63,11,santa-rosa
2013-01-23,28,22,0.0,8.7,6,78,02:39 PM,03:00 AM,06:24 AM,05:51 PM,21,27,27,25,13,38,78,0.1,1014,28,10,65,10,santa-rosa
2013-01-24,29,21,0.0,8.7,6,85,03:29 PM,03:49 AM,06:24 AM,05:51 PM,20,28,28,25,12,16,75,0.0,1013,29,10,73,9,santa-rosa
2013-01-25,28,22,0.0,5.7,6,92,04:19 PM,04:35 AM,06:24 AM,05:52 PM,22,28,28,25,10,44,80,0.0,1012,28,10,65,8,santa-rosa
2013-01-26,29,23,0.0,7.2,7,100,05:10 PM,05:22 AM,06:24 AM,05:52 PM,23,28,28,26,10,57,84,0.0,1012,29,10,63,7,santa-rosa
2013-01-27,30,23,0.0,8.7,7,100,06:00 PM,06:05 AM,06:24 AM,05:53 PM,23,29,29,26,11,34,81,0.0,1013,30,8,59,8,santa-rosa
2013-01-28,28,23,0.0,8.7,6,86,06:51 PM,06:48 AM,06:24 AM,05:53 PM,21,27,27,25,21,27,77,0.0,1014,28,10,69,16,santa-rosa
2013-01-29,28,23,0.0,8.7,6,79,07:42 PM,07:30 AM,06:24 AM,05:54 PM,20,27,27,25,20,49,76,0.0,1015,28,10,64,15,santa-rosa
2013-01-30,27,22,0.0,8.7,6,71,08:33 PM,08:11 AM,06:24 AM,05:54 PM,19,26,26,25,23,17,72,0.0,1016,27,10,65,18,santa-rosa
2013-01-31,27,22,0.0,7.2,5,68,09:26 PM,08:53 AM,06:23 AM,05:55 PM,21,27,27,25,16,56,80,0.1,1015,27,10,53,12,santa-rosa
2013-02-01,30,24,0.0,8.7,7,51,10:19 PM,09:36 AM,06:23 AM,05:55 PM,23,30,30,27,16,33,79,0.0,1015,30,10,68,12,santa-rosa
2013-02-02,29,24,0.0,8.7,7,44,11:15 PM,10:20 AM,06:23 AM,05:55 PM,23,29,29,26,19,46,81,0.0,1015,29,9,73,14,santa-rosa
2013-02-03,29,24,0.0,8.7,7,36,No moonrise,11:08 AM,06:23 AM,05:56 PM,21,28,28,26,22,45,76,0.0,1015,29,10,70,16,santa-rosa
2013-02-04,29,23,0.0,8.7,7,29,12:12 AM,12:00 PM,06:23 AM,05:56 PM,21,28,28,26,21,29,75,0.1,1015,29,10,70,16,santa-rosa
2013-02-05,30,22,0.0,8.7,7,21,01:12 AM,12:56 PM,06:22 AM,05:57 PM,22,29,29,26,14,27,77,0.0,1015,30,10,68,12,santa-rosa
2013-02-06,30,22,0.0,8.7,7,14,02:13 AM,01:56 PM,06:22 AM,05:57 PM,22,29,29,26,14,35,80,0.0,1013,30,8,75,11,santa-rosa
2013-02-07,30,24,0.0,8.7,7,6,03:13 AM,02:57 PM,06:22 AM,05:57 PM,22,30,30,27,13,43,76,0.0,1011,30,10,76,10,santa-rosa
2013-02-08,31,23,0.0,8.7,7,0,04:10 AM,03:59 PM,06:22 AM,05:58 PM,23,30,30,27,11,20,77,0.0,1012,31,10,67,9,santa-rosa
2013-02-09,29,23,0.0,7.2,7,0,05:05 AM,05:00 PM,06:21 AM,05:58 PM,22,29,29,26,14,33,80,0.1,1013,29,9,75,11,santa-rosa
2013-02-10,29,23,0.0,8.7,7,0,05:55 AM,05:59 PM,06:21 AM,05:59 PM,22,28,28,26,16,34,77,0.2,1013,29,10,73,13,santa-rosa
2013-02-11,29,24,0.0,8.7,7,1,06:42 AM,06:55 PM,06:21 AM,05:59 PM,21,28,28,26,18,37,74,0.1,1013,29,10,63,14,santa-rosa
2013-02-12,30,24,0.0,8.7,7,9,07:28 AM,07:50 PM,06:20 AM,05:59 PM,22,30,30,27,18,41,79,0.0,1013,30,10,68,14,santa-rosa
2013-02-13,29,24,0.0,8.8,7,16,08:10 AM,08:42 PM,06:20 AM,06:00 PM,22,29,29,26,21,56,77,0.0,1012,29,10,64,16,santa-rosa
2013-02-14,29,24,0.0,11.6,7,24,08:52 AM,09:34 PM,06:20 AM,06:00 PM,21,29,29,26,20,36,73,0.2,1012,29,10,62,16,santa-rosa
2013-02-15,30,23,0.0,11.6,7,31,09:35 AM,10:24 PM,06:19 AM,06:00 PM,22,29,29,26,15,37,80,0.0,1012,30,10,69,11,santa-rosa
2013-02-16,29,24,0.0,11.6,7,39,10:17 AM,11:14 PM,06:19 AM,06:00 PM,20,28,28,26,20,26,72,0.0,1012,29,10,75,16,santa-rosa
2013-02-17,29,24,0.0,11.6,7,46,11:01 AM,No moonset,06:18 AM,06:01 PM,20,28,28,26,21,34,71,0.0,1011,29,10,73,16,santa-rosa
2013-02-18,30,22,0.0,11.6,7,54,11:47 AM,12:04 AM,06:18 AM,06:01 PM,21,29,29,27,15,10,73,0.0,1011,30,10,66,13,santa-rosa
2013-02-19,30,23,0.0,11.6,7,62,12:33 PM,12:53 AM,06:17 AM,06:01 PM,21,29,29,26,16,36,75,0.0,1010,30,10,61,13,santa-rosa
2013-02-20,27,24,0.0,7.3,6,69,01:22 PM,01:42 AM,06:17 AM,06:02 PM,21,27,27,25,23,72,76,0.6,1010,27,10,55,17,santa-rosa
2013-02-21,27,24,0.0,8.8,7,77,02:11 PM,02:29 AM,06:16 AM,06:02 PM,22,28,28,25,24,59,81,0.0,1010,27,10,57,17,santa-rosa
2013-02-22,28,24,0.0,5.9,6,84,03:01 PM,03:15 AM,06:16 AM,06:02 PM,23,29,29,26,20,73,83,0.1,1012,28,10,58,15,santa-rosa
2013-02-23,29,24,0.0,11.6,7,92,03:52 PM,04:00 AM,06:15 AM,06:02 PM,22,29,29,26,23,39,78,0.0,1013,29,10,70,17,santa-rosa
2013-02-24,29,25,0.0,10.2,7,99,04:43 PM,04:43 AM,06:15 AM,06:03 PM,22,29,29,26,22,61,76,0.0,1013,29,10,68,17,santa-rosa
2013-02-25,29,24,0.0,11.6,7,100,05:35 PM,05:26 AM,06:14 AM,06:03 PM,22,29,29,26,22,54,78,0.0,1013,29,10,67,17,santa-rosa
2013-02-26,30,24,0.0,11.6,7,86,06:27 PM,06:08 AM,06:14 AM,06:03 PM,22,29,29,27,17,31,77,0.0,1013,30,10,71,14,santa-rosa
2013-02-27,31,23,0.0,11.6,7,78,07:20 PM,06:50 AM,06:13 AM,06:03 PM,23,31,31,27,12,27,76,0.0,1012,31,10,79,10,santa-rosa
2013-02-28,32,23,0.0,11.6,7,71,08:14 PM,07:34 AM,06:13 AM,06:03 PM,22,31,31,27,12,15,76,0.0,1011,32,9,90,10,santa-rosa
2013-03-01,31,22,0.0,11.6,7,68,09:10 PM,08:19 AM,06:12 AM,06:04 PM,22,31,31,28,13,8,73,0.0,1013,31,10,89,10,santa-rosa
2013-03-02,32,22,0.0,11.6,7,61,10:08 PM,09:07 AM,06:12 AM,06:04 PM,22,31,31,28,12,9,72,0.0,1014,32,10,82,10,santa-rosa
2013-03-03,29,23,0.0,8.8,7,53,11:07 PM,09:58 AM,06:11 AM,06:04 PM,21,28,28,26,16,44,77,0.0,1013,29,10,74,12,santa-rosa
2013-03-04,29,23,0.0,11.6,7,46,No moonrise,10:52 AM,06:10 AM,06:04 PM,20,28,28,26,21,41,73,0.0,1014,29,10,67,17,santa-rosa
2013-03-05,29,23,0.0,11.6,7,39,12:06 AM,11:50 AM,06:10 AM,06:04 PM,20,27,27,26,22,29,71,0.0,1015,29,10,69,17,santa-rosa
2013-03-06,29,22,0.0,11.6,7,32,01:05 AM,12:49 PM,06:09 AM,06:05 PM,20,28,28,26,18,29,72,0.0,1015,29,10,73,14,santa-rosa
2013-03-07,30,23,0.0,11.6,7,24,02:02 AM,01:49 PM,06:09 AM,06:05 PM,21,29,29,26,15,36,73,0.0,1014,30,10,60,12,santa-rosa
2013-03-08,28,23,0.0,11.6,7,17,02:56 AM,02:48 PM,06:08 AM,06:05 PM,21,28,28,26,16,39,78,0.0,1013,28,10,66,12,santa-rosa
2013-03-09,31,24,0.0,11.6,7,10,03:47 AM,03:46 PM,06:07 AM,06:05 PM,22,29,29,27,15,55,73,0.1,1012,31,10,71,12,santa-rosa
2013-03-10,32,23,0.0,11.6,7,3,04:34 AM,04:42 PM,06:07 AM,06:05 PM,24,32,32,28,10,32,79,5.5,1012,32,10,71,7,santa-rosa
2013-03-11,31,24,0.0,11.6,7,0,05:19 AM,05:37 PM,06:06 AM,06:05 PM,24,32,32,28,11,34,80,0.0,1012,31,10,85,9,santa-rosa
2013-03-12,32,24,0.0,11.6,7,0,06:02 AM,06:30 PM,06:05 AM,06:05 PM,24,32,32,28,13,20,78,0.0,1012,32,10,86,10,santa-rosa
2013-03-13,32,24,0.0,11.6,7,5,06:45 AM,07:22 PM,06:05 AM,06:06 PM,24,33,33,28,8,34,79,0.0,1012,32,10,78,6,santa-rosa
2013-03-14,31,24,0.0,11.6,7,12,07:28 AM,08:13 PM,06:04 AM,06:06 PM,24,32,32,28,12,18,80,0.0,1013,31,10,70,9,santa-rosa
2013-03-15,31,24,0.0,11.6,7,19,08:10 AM,09:04 PM,06:03 AM,06:06 PM,22,30,30,27,15,26,76,0.0,1014,31,10,79,12,santa-rosa
2013-03-16,30,24,0.0,11.6,7,26,08:54 AM,09:55 PM,06:03 AM,06:06 PM,22,30,30,27,13,37,77,0.0,1014,30,10,77,10,santa-rosa
2013-03-17,31,23,0.0,11.6,7,34,09:40 AM,10:44 PM,06:02 AM,06:06 PM,22,30,30,27,14,19,76,0.0,1012,31,10,78,11,santa-rosa
2013-03-18,33,23,0.0,11.6,7,41,10:26 AM,11:34 PM,06:01 AM,06:06 PM,23,32,32,28,9,31,76,0.0,1011,33,10,91,7,santa-rosa
2013-03-19,32,24,0.0,11.6,7,48,11:14 AM,No moonset,06:01 AM,06:06 PM,24,32,32,28,11,17,76,0.0,1011,32,10,82,9,santa-rosa
2013-03-20,32,23,0.0,12.1,7,55,12:03 PM,12:21 AM,06:00 AM,06:06 PM,23,33,33,29,12,10,75,0.0,1012,32,10,83,10,santa-rosa
